date,open,high,low,close
2023-06-01,229.35,233.0,229.0,230.55
2023-06-02,230.55,239.55,230.55,233.95
2023-06-05,235.95,236.7,231.5,233.5
2023-06-06,233.0,235.1,229.5,230.25
2023-06-07,230.4,233.0,228.15,230.25
2023-06-08,230.55,232.55,225.0,227.6
2023-06-09,229.4,229.9,223.5,225.1
2023-06-12,227.3,227.3,218.9,220.9
2023-06-13,221.1,254.0,221.1,246.85
2023-06-14,247.2,252.0,240.6,244.65
2023-06-15,244.05,254.4,244.0,250.3
2023-06-16,252.9,256.5,245.3,248.55
2023-06-19,252.9,255.1,247.0,248.1
2023-06-20,247.0,249.4,236.0,237.45
2023-06-21,238.4,244.95,235.55,238.15
2023-06-22,237.35,241.95,236.9,238.7
2023-06-23,237.3,238.75,234.05,235.2
2023-06-26,235.9,237.0,232.9,235.5
2023-06-27,235.5,238.8,235.5,236.9
2023-06-28,238.0,240.4,235.0,235.55
2023-06-30,239.0,244.85,235.05,240.2
2023-07-03,243.0,246.1,236.55,237.7
2023-07-04,238.8,241.95,236.1,236.95
2023-07-05,237.5,242.3,236.35,237.0
2023-07-06,237.9,240.95,236.55,237.45
2023-07-07,237.4,244.0,236.05,239.45
2023-07-10,241.0,241.05,236.3,237.25
2023-07-11,238.1,239.5,233.05,235.5
2023-07-12,236.8,237.9,234.6,235.7
2023-07-13,236.55,237.15,230.05,231.0
2023-07-14,231.75,234.35,229.25,231.15
2023-07-17,232.3,239.8,232.3,233.35
2023-07-18,234.95,237.6,232.05,234.5
2023-07-19,236.7,236.7,233.0,234.1
2023-07-20,235.0,235.3,231.7,232.4
2023-07-21,232.4,234.55,229.95,232.1
2023-07-24,232.7,234.4,229.05,229.7
2023-07-25,231.0,232.7,227.65,229.05
2023-07-26,231.7,238.2,229.05,232.8
2023-07-27,233.0,234.8,230.0,230.45
2023-07-28,231.0,232.35,229.0,229.6
2023-07-31,230.95,232.5,228.4,229.0
2023-08-01,229.8,233.35,228.95,229.3
2023-08-02,228.9,235.0,228.85,230.8
2023-08-03,230.0,234.05,228.0,228.9
2023-08-04,230.2,231.95,228.0,228.8
2023-08-07,230.0,232.0,228.1,228.95
2023-08-08,229.95,232.95,228.05,228.7
2023-08-09,229.5,239.9,228.8,236.9
2023-08-10,236.8,237.75,231.55,232.4
2023-08-11,232.2,241.5,228.0,233.85
2023-08-14,235.0,243.85,224.95,233.55
2023-08-16,232.0,237.6,232.0,234.35
2023-08-17,234.9,241.5,233.95,235.35
2023-08-18,237.8,243.0,231.6,235.55
2023-08-21,235.65,242.0,234.25,237.9
2023-08-22,238.4,264.55,238.35,258.25
2023-08-23,259.9,269.6,259.85,261.65
2023-08-24,262.05,264.85,252.05,253.55
2023-08-25,252.8,257.5,245.0,245.4
2023-08-28,246.7,251.65,242.85,244.2
2023-08-29,245.0,252.4,242.8,248.6
2023-08-30,249.7,260.9,248.4,257.8
2023-08-31,260.1,260.65,251.5,252.45
