date,open,high,low,close
2023-07-03,22.4,22.65,21.9,22.0
2023-07-04,22.35,22.45,21.8,21.95
2023-07-05,22.3,23.25,21.9,22.4
2023-07-06,22.75,22.85,22.3,22.45
2023-07-07,22.7,23.0,22.2,22.45
2023-07-10,22.85,23.9,22.4,23.05
2023-07-11,23.3,24.8,23.1,23.6
2023-07-12,23.95,24.35,23.5,23.65
2023-07-13,23.95,27.15,23.95,24.95
2023-07-14,26.0,28.5,26.0,28.1
2023-07-17,28.75,30.0,27.05,29.45
2023-07-18,29.75,29.9,25.05,25.5
2023-07-19,26.0,27.7,26.0,27.05
2023-07-20,27.3,27.3,26.05,26.2
2023-07-21,26.0,26.95,25.65,26.2
2023-07-24,26.75,27.9,25.4,25.7
2023-07-25,25.9,26.5,25.1,25.45
2023-07-26,25.95,26.9,25.55,26.15
2023-07-27,26.2,26.6,25.75,26.15
2023-07-28,26.7,26.7,25.4,25.7
2023-07-31,25.45,26.2,25.1,25.4
2023-08-01,25.9,25.9,25.15,25.4
2023-08-02,25.5,25.7,24.95,25.25
2023-08-03,25.25,25.7,25.25,25.5
2023-08-04,25.4,26.15,25.4,25.6
2023-08-07,26.05,26.4,25.1,25.25
2023-08-08,25.5,25.6,24.6,24.75
2023-08-09,25.1,25.5,24.8,25.1
2023-08-10,25.4,25.7,24.55,24.85
2023-08-11,25.15,25.4,24.95,25.05
2023-08-14,25.7,25.7,24.35,24.65
2023-08-16,24.65,24.9,24.2,24.5
2023-08-17,25.5,25.7,24.75,24.95
2023-08-18,25.05,25.4,24.45,25.15
2023-08-21,25.15,25.5,24.2,24.6
2023-08-22,24.65,25.25,24.5,24.55
2023-08-23,24.55,25.1,24.55,24.6
2023-08-24,25.0,25.2,24.55,24.7
2023-08-25,24.9,25.15,24.5,24.75
2023-08-28,25.0,26.0,24.4,24.8
2023-08-29,25.1,25.75,24.6,25.15
2023-08-30,25.6,25.6,24.9,25.05
2023-08-31,25.05,25.4,24.8,24.95
