date,open,high,low,close
2023-07-03,1510.0,1600.0,1510.0,1595.3
2023-07-04,1614.0,1635.5,1580.3,1630.9
2023-07-05,1640.0,1684.0,1635.0,1670.65
2023-07-06,1686.0,1690.0,1650.0,1673.95
2023-07-07,1673.95,1673.95,1605.0,1635.15
2023-07-10,1640.0,1649.0,1591.0,1601.2
2023-07-11,1605.1,1681.25,1602.0,1681.25
2023-07-12,1694.0,1765.3,1694.0,1724.45
2023-07-13,1734.0,1734.0,1640.0,1686.45
2023-07-14,1640.0,1770.75,1640.0,1768.9
2023-07-17,1767.0,1813.9,1718.9,1791.15
2023-07-18,1791.0,1809.0,1701.6,1715.3
2023-07-19,1725.0,1749.0,1675.0,1707.9
2023-07-20,1651.0,1709.95,1626.0,1679.65
2023-07-21,1679.65,1725.1,1679.65,1689.75
2023-07-24,1704.95,1704.95,1644.75,1674.45
2023-07-25,1674.45,1684.0,1630.2,1643.55
2023-07-26,1615.0,1700.0,1615.0,1692.15
2023-07-27,1662.0,1699.0,1660.0,1676.4
2023-07-28,1652.0,1678.95,1599.0,1655.6
2023-07-31,1655.6,1698.0,1600.0,1675.5
2023-08-01,1655.0,1740.0,1655.0,1723.05
2023-08-02,1709.95,1723.0,1645.8,1687.9
2023-08-03,1650.0,1687.9,1630.0,1648.5
2023-08-04,1688.0,1726.4,1685.0,1703.15
2023-08-07,1754.0,1788.3,1725.0,1774.4
2023-08-08,1779.0,1785.0,1699.0,1712.65
2023-08-09,1738.95,1785.0,1685.0,1779.6
2023-08-10,1780.0,1810.0,1710.0,1738.2
2023-08-11,1749.0,1779.0,1721.1,1764.8
2023-08-14,1789.0,1789.0,1700.0,1742.0
2023-08-16,1778.95,1829.1,1725.0,1829.1
2023-08-17,1844.05,1920.55,1831.5,1920.25
2023-08-18,1934.0,1937.6,1838.0,1852.65
2023-08-21,1869.0,1870.0,1810.0,1823.3
2023-08-22,1848.0,1897.4,1820.15,1877.35
2023-08-23,1896.9,1896.9,1828.05,1864.7
2023-08-24,1860.0,1907.9,1849.4,1877.8
2023-08-25,1877.8,1895.85,1832.15,1846.6
2023-08-28,1840.0,1914.9,1840.0,1895.05
2023-08-29,1899.0,1909.0,1856.1,1870.85
2023-08-30,1884.0,1898.35,1862.45,1869.1
2023-08-31,1852.0,1905.8,1852.0,1901.3
