date,open,high,low,close
2023-07-03,536.7,536.7,523.25,526.45
2023-07-04,526.85,539.95,524.25,538.55
2023-07-05,534.5,542.05,525.3,527.7
2023-07-06,530.5,530.5,513.3,517.05
2023-07-09,518.0,529.8,516.55,527.1
2023-07-10,529.9,534.0,522.2,531.55
2023-07-11,531.55,539.0,531.5,537.75
2023-07-12,541.8,547.8,530.55,533.55
2023-07-13,536.0,541.4,533.55,539.45
2023-07-16,539.4,543.0,529.3,531.65
2023-07-17,535.15,535.4,525.7,530.5
2023-07-18,531.0,534.45,529.2,531.85
2023-07-19,532.7,541.0,530.1,539.15
2023-07-20,538.4,542.5,535.0,538.65
2023-07-23,538.25,541.1,531.05,535.4
2023-07-24,535.35,541.9,532.35,540.6
2023-07-25,541.85,542.9,531.1,532.7
2023-07-26,536.55,556.0,531.7,554.05
2023-07-27,555.95,578.15,553.05,574.35
2023-07-30,574.95,577.0,557.2,560.55
2023-07-31,563.0,566.95,555.7,557.7
2023-08-01,560.8,564.0,554.7,562.8
2023-08-02,568.0,575.0,563.65,572.35
2023-08-03,575.0,581.85,571.6,576.2
2023-08-06,576.15,577.45,572.25,575.8
2023-08-07,575.8,578.5,573.45,577.25
2023-08-08,578.0,587.9,573.5,585.15
2023-08-09,585.15,586.65,574.05,576.85
2023-08-10,577.95,580.8,573.1,576.95
2023-08-13,576.15,576.15,561.0,568.1
2023-08-15,567.95,569.4,557.2,559.6
2023-08-16,564.05,564.05,555.15,558.45
2023-08-17,558.2,558.2,547.65,550.75
2023-08-20,550.7,557.1,546.05,554.95
2023-08-21,556.25,560.0,554.3,558.8
2023-08-22,558.45,558.7,551.3,553.45
2023-08-23,554.0,565.0,553.5,563.5
2023-08-24,564.0,570.8,556.15,560.2
2023-08-27,560.2,564.55,553.05,558.15
2023-08-28,557.45,563.6,552.2,562.5
2023-08-29,565.5,573.0,562.3,571.15
2023-08-30,573.0,575.0,566.15,570.05
2023-08-31,574.25,575.95,563.5,569.35
