date,open,high,low,close
2023-06-01,30.94,31.0,30.35,30.43
2023-06-02,31.35,31.35,30.61,30.92
2023-06-05,31.37,31.37,31.01,31.07
2023-06-06,31.19,31.3,30.91,30.97
2023-06-07,30.99,31.36,30.95,31.13
2023-06-08,31.28,31.3,30.93,31.19
2023-06-09,31.49,31.49,30.88,30.89
2023-06-12,31.29,31.75,30.91,31.19
2023-06-13,31.22,31.49,31.18,31.4
2023-06-14,31.55,31.98,31.3,31.45
2023-06-15,31.5,31.75,31.3,31.5
2023-06-16,31.69,31.98,31.69,31.85
2023-06-19,32.23,32.23,31.67,32.03
2023-06-20,32.38,32.38,31.91,31.95
2023-06-21,32.29,32.29,31.6,31.63
2023-06-22,31.66,31.93,31.25,31.27
2023-06-23,31.36,31.77,31.04,31.12
2023-06-26,31.58,31.58,31.03,31.33
2023-06-27,31.68,32.32,31.23,31.68
2023-06-28,32.04,32.04,31.46,31.81
2023-06-30,32.75,32.75,31.73,31.79
2023-07-03,32.48,32.48,31.5,32.02
2023-07-04,32.34,32.34,31.81,31.94
2023-07-05,32.27,32.27,31.57,31.79
2023-07-06,32.22,32.24,31.69,32.06
2023-07-07,32.3,32.31,31.23,32.09
2023-07-10,32.25,32.25,31.59,31.73
2023-07-11,32.14,32.14,31.61,31.63
2023-07-12,32.07,32.07,31.67,31.86
2023-07-13,31.87,32.17,31.87,32.1
2023-07-14,32.29,32.5,32.22,32.33
2023-07-17,32.32,32.53,32.32,32.38
2023-07-18,32.69,32.69,32.32,32.4
2023-07-19,32.5,32.95,32.5,32.84
2023-07-20,32.5,34.0,32.5,32.78
2023-07-21,32.86,32.86,32.19,32.62
2023-07-24,32.97,33.09,32.36,32.57
2023-07-25,32.64,32.84,32.03,32.47
2023-07-26,32.5,32.8,32.46,32.67
2023-07-27,32.88,32.88,32.57,32.77
2023-07-28,32.97,32.97,32.41,32.78
2023-07-31,32.99,33.17,31.63,33.01
2023-08-01,33.17,33.2,32.94,32.97
2023-08-02,33.19,33.19,32.73,32.81
2023-08-03,32.83,32.83,32.25,32.48
2023-08-04,32.94,32.99,32.3,32.75
2023-08-07,32.97,33.07,32.42,32.46
2023-08-08,33.45,33.45,32.56,32.62
2023-08-09,32.97,33.22,32.49,32.71
2023-08-10,32.88,32.88,32.4,32.75
2023-08-11,32.63,32.97,31.75,32.35
2023-08-14,32.68,32.9,32.03,32.8
2023-08-16,32.97,32.97,32.06,32.48
2023-08-17,33.0,33.45,31.81,31.96
2023-08-18,32.12,32.29,31.13,32.05
2023-08-21,32.24,32.88,31.72,31.94
2023-08-22,32.49,32.75,31.96,32.21
2023-08-23,32.58,32.58,32.03,32.41
2023-08-24,32.3,32.8,32.3,32.45
2023-08-25,32.45,32.49,32.11,32.25
2023-08-28,32.24,32.38,32.0,32.31
2023-08-29,32.2,32.59,32.2,32.33
2023-08-30,32.51,32.82,32.49,32.51
2023-08-31,33.5,33.51,32.69,32.91
