date,open,high,low,close
2023-07-03,101.5,101.5,99.95,101.15
2023-07-04,102.2,102.8,100.7,101.3
2023-07-05,101.4,103.8,101.35,103.0
2023-07-06,103.7,104.0,102.55,103.4
2023-07-07,100.6,103.6,98.9,99.85
2023-07-10,99.5,99.75,97.4,97.65
2023-07-11,98.4,98.4,97.2,97.6
2023-07-12,98.35,100.25,97.55,99.05
2023-07-13,99.85,100.8,98.3,99.05
2023-07-14,99.9,100.9,99.0,99.75
2023-07-17,99.75,101.0,99.35,99.8
2023-07-18,100.3,100.55,98.6,99.1
2023-07-19,99.85,100.4,98.1,98.7
2023-07-20,100.75,104.9,99.45,100.55
2023-07-21,99.1,104.85,99.1,103.5
2023-07-24,104.35,110.0,104.0,106.15
2023-07-25,107.35,107.75,103.55,104.3
2023-07-26,104.8,105.5,102.15,104.15
2023-07-27,104.55,105.15,102.0,103.1
2023-07-28,103.5,104.6,101.1,101.6
2023-07-31,102.5,104.65,101.0,101.3
2023-08-01,101.6,102.9,100.25,100.45
2023-08-02,100.9,102.25,96.7,98.35
2023-08-03,98.95,100.85,98.25,99.2
2023-08-04,99.75,101.95,98.6,100.6
2023-08-07,101.4,105.7,101.1,102.75
2023-08-08,102.95,104.6,102.3,103.4
2023-08-09,103.25,107.8,100.4,104.9
2023-08-10,104.9,108.45,104.9,105.95
2023-08-11,106.95,107.35,103.4,104.45
2023-08-14,101.0,101.0,96.65,98.95
2023-08-16,98.95,100.9,97.55,100.35
2023-08-17,107.0,107.0,100.65,101.4
2023-08-18,101.4,102.55,99.2,99.55
2023-08-21,100.1,100.2,98.55,99.5
2023-08-22,99.75,100.5,97.7,98.15
2023-08-23,98.3,99.7,97.95,98.25
2023-08-24,99.0,102.4,98.25,99.3
2023-08-25,99.3,99.9,96.1,96.75
2023-08-28,98.9,99.5,97.5,98.45
2023-08-29,98.95,99.5,98.1,98.45
2023-08-30,98.5,101.25,98.45,98.85
2023-08-31,99.35,100.4,98.5,99.0
