date,open,high,low,close
2023-06-01,958.15,979.0,957.7,971.1
2023-06-02,977.0,1013.0,970.55,985.1
2023-06-05,995.0,995.0,944.85,952.25
2023-06-06,956.8,977.0,954.4,972.25
2023-06-07,972.3,990.0,959.0,981.7
2023-06-08,981.95,989.3,960.5,966.25
2023-06-09,969.6,981.0,943.0,954.05
2023-06-12,954.05,961.8,939.9,958.8
2023-06-13,961.45,974.95,953.6,966.25
2023-06-14,963.45,979.1,956.3,961.5
2023-06-15,967.2,975.0,962.0,969.8
2023-06-16,966.1,1007.5,964.05,979.85
2023-06-19,985.9,1006.6,980.0,988.9
2023-06-20,989.0,998.8,982.25,990.0
2023-06-21,992.85,1032.85,992.85,1018.7
2023-06-22,1018.7,1034.3,972.9,1004.3
2023-06-23,1001.0,1003.8,951.0,967.3
2023-06-26,960.0,975.0,956.0,959.75
2023-06-27,967.0,1000.0,958.5,978.25
2023-06-28,977.7,992.8,963.0,967.3
2023-06-30,970.1,982.0,929.0,936.5
2023-07-03,944.9,958.0,940.0,955.15
2023-07-04,956.6,967.0,950.0,957.7
2023-07-05,964.9,969.0,954.2,966.0
2023-07-06,973.0,1003.0,960.25,998.05
2023-07-07,997.9,1018.1,987.95,1014.15
2023-07-10,1015.5,1019.9,994.65,1003.7
2023-07-11,1003.35,1021.05,998.0,1014.4
2023-07-12,1018.6,1032.0,1005.7,1024.75
2023-07-13,1026.3,1080.0,1019.45,1061.65
2023-07-14,1066.0,1090.0,1061.65,1076.4
2023-07-17,1081.5,1090.3,1071.9,1087.55
2023-07-18,1088.9,1098.8,1060.55,1071.8
2023-07-19,1072.0,1089.95,1050.05,1057.8
2023-07-20,1052.5,1071.2,1047.75,1055.35
2023-07-21,1064.0,1091.0,1056.95,1086.45
2023-07-24,1092.75,1093.25,1072.7,1084.2
2023-07-25,1075.0,1085.4,1066.5,1074.4
2023-07-26,1077.1,1110.0,1071.9,1094.85
2023-07-27,1105.0,1107.45,1062.9,1068.45
2023-07-28,1072.5,1076.05,1040.0,1044.5
2023-07-31,1046.5,1058.25,1025.0,1034.0
2023-08-01,1037.65,1065.0,1035.85,1041.25
2023-08-02,1021.0,1108.0,982.55,1056.15
2023-08-03,1056.15,1086.95,1047.7,1073.9
2023-08-04,1081.2,1084.25,1046.45,1068.9
2023-08-07,1075.3,1086.0,1060.1,1073.85
2023-08-08,1076.55,1083.0,1065.0,1072.75
2023-08-09,1075.0,1075.85,1055.0,1067.55
2023-08-10,1070.6,1072.7,1031.1,1034.15
2023-08-11,1035.1,1083.85,1035.1,1077.0
2023-08-14,1069.0,1102.0,1065.95,1095.4
2023-08-16,1090.0,1127.2,1074.0,1087.15
2023-08-17,1089.95,1099.95,1082.05,1094.15
2023-08-18,1094.2,1104.95,1075.05,1096.55
2023-08-21,1100.0,1109.9,1055.55,1066.55
2023-08-22,1069.55,1080.0,1034.0,1036.35
2023-08-23,1045.0,1049.45,1023.0,1045.4
2023-08-24,1048.25,1056.35,1000.65,1030.35
2023-08-25,1030.25,1032.75,1011.15,1025.15
2023-08-28,1027.0,1036.0,1015.8,1032.25
2023-08-29,1034.25,1052.95,1022.2,1048.7
2023-08-30,1048.65,1070.0,1031.8,1065.35
2023-08-31,1066.95,1070.3,1033.25,1047.95
