date,open,high,low,close
2023-06-01,930.5,944.0,930.0,933.2
2023-06-02,938.3,944.6,920.25,928.6
2023-06-05,945.0,971.5,937.0,961.5
2023-06-06,969.0,1112.8,965.0,1096.7
2023-06-07,1093.0,1093.0,1060.0,1067.65
2023-06-08,1074.65,1078.25,1031.0,1033.65
2023-06-09,1030.0,1086.85,1030.0,1040.85
2023-06-12,1040.0,1046.85,1023.25,1029.2
2023-06-13,1040.0,1057.85,1033.1,1037.0
2023-06-14,1031.0,1044.95,1022.65,1031.6
2023-06-15,1030.0,1039.95,1011.0,1015.7
2023-06-16,1030.0,1169.0,1023.55,1115.9
2023-06-19,1138.0,1166.8,1124.5,1155.0
2023-06-20,1152.0,1183.9,1125.8,1130.0
2023-06-21,1139.9,1153.45,1111.05,1115.75
2023-06-22,1125.05,1166.8,1115.95,1131.2
2023-06-23,1139.9,1156.0,1105.35,1136.5
2023-06-26,1145.0,1145.05,1111.0,1115.6
2023-06-27,1126.0,1142.0,1107.95,1114.8
2023-06-28,1121.75,1134.0,1100.25,1114.6
2023-06-30,1124.15,1145.85,1105.0,1107.0
2023-07-03,1120.0,1123.9,1075.3,1088.45
2023-07-04,1089.9,1111.0,1068.75,1071.5
2023-07-05,1074.9,1079.0,1045.05,1048.9
2023-07-06,1053.35,1087.85,1050.0,1073.45
2023-07-07,1073.45,1076.65,1036.0,1038.7
2023-07-10,1044.7,1047.1,1012.2,1019.75
2023-07-11,1023.0,1035.8,987.55,993.2
2023-07-12,985.8,1010.0,975.0,979.95
2023-07-13,990.0,1043.0,987.0,994.95
2023-07-14,1009.85,1019.95,996.0,1011.6
2023-07-17,1016.15,1027.75,998.0,1001.55
2023-07-18,1002.0,1012.0,975.4,986.55
2023-07-19,991.35,1004.55,978.3,983.55
2023-07-20,987.05,998.1,976.9,979.0
2023-07-21,978.55,980.0,960.0,963.85
2023-07-24,970.45,982.55,947.4,950.4
2023-07-25,954.85,967.85,930.7,933.85
2023-07-26,937.9,945.0,916.3,920.45
2023-07-27,924.0,934.1,906.05,909.4
2023-07-28,912.0,939.7,895.0,924.25
2023-07-31,918.0,949.95,918.0,945.6
2023-08-01,950.95,999.0,945.6,989.35
2023-08-02,992.65,998.5,960.0,981.15
2023-08-03,981.5,989.95,947.15,975.8
2023-08-04,976.0,981.05,942.45,950.4
2023-08-07,862.05,917.3,862.05,908.2
2023-08-08,908.6,932.95,904.1,906.65
2023-08-09,907.0,924.25,907.0,916.15
2023-08-10,919.85,926.4,904.0,910.05
2023-08-11,914.95,919.9,898.4,905.55
2023-08-14,904.95,909.8,891.1,898.35
2023-08-16,892.0,919.95,892.0,897.55
2023-08-17,897.6,918.0,890.0,893.85
2023-08-18,895.0,907.0,881.05,886.85
2023-08-21,890.0,906.65,886.05,895.4
2023-08-22,883.0,906.0,883.0,891.4
2023-08-23,891.0,915.0,885.0,888.45
2023-08-24,895.0,899.95,881.0,884.65
2023-08-25,885.0,895.0,880.0,885.15
2023-08-28,890.0,900.0,884.05,885.65
2023-08-29,891.0,1006.9,887.0,993.25
2023-08-30,1005.0,1052.0,1000.05,1026.55
2023-08-31,1030.0,1036.6,987.55,1005.95
