date,open,high,low,close
2023-07-03,21.95,21.95,21.21,21.32
2023-07-04,20.85,21.47,20.85,21.46
2023-07-05,21.46,21.95,21.43,21.91
2023-07-06,22.3,22.3,21.36,21.48
2023-07-09,21.48,21.9,21.35,21.48
2023-07-10,21.48,21.72,21.48,21.68
2023-07-11,21.89,21.89,20.83,21.61
2023-07-12,21.85,22.25,21.35,21.48
2023-07-13,21.85,21.95,21.41,21.76
2023-07-16,21.25,21.75,21.25,21.61
2023-07-17,21.54,25.0,21.41,22.15
2023-07-18,22.15,22.15,21.52,21.98
2023-07-19,21.69,21.94,21.65,21.76
2023-07-20,22.05,22.05,21.59,21.66
2023-07-23,21.99,22.1,21.57,21.67
2023-07-24,21.95,21.95,21.63,21.75
2023-07-25,22.24,22.24,21.52,21.87
2023-07-26,22.2,22.4,21.45,21.89
2023-07-27,21.89,22.15,21.89,22.11
2023-07-30,22.66,22.66,21.37,22.24
2023-07-31,22.23,22.35,21.71,22.22
2023-08-01,22.3,22.5,21.71,22.04
2023-08-02,22.5,22.5,21.61,21.84
2023-08-03,22.38,22.38,21.64,21.88
2023-08-06,22.35,22.35,21.77,21.92
2023-08-07,21.92,22.04,21.76,21.87
2023-08-08,21.87,22.3,21.81,21.98
2023-08-09,21.98,22.09,21.91,21.94
2023-08-10,21.94,22.68,21.81,21.96
2023-08-13,21.96,22.65,21.57,22.15
2023-08-15,22.4,22.63,21.55,21.73
2023-08-16,22.16,22.16,21.55,21.8
2023-08-17,22.25,22.25,21.32,21.85
2023-08-20,21.85,22.5,21.05,22.02
2023-08-21,22.02,22.22,21.47,22.18
2023-08-22,22.5,22.5,21.23,22.33
2023-08-23,22.63,22.63,22.21,22.27
2023-08-24,21.72,22.4,21.69,22.12
2023-08-27,22.5,22.63,21.75,22.2
2023-08-28,22.2,22.36,22.2,22.21
2023-08-29,21.8,22.55,21.8,22.37
2023-08-30,22.55,24.5,21.8,22.32
2023-08-31,23.0,23.0,21.85,22.45
