date,open,high,low,close
2023-07-03,741.0,741.0,716.1,718.15
2023-07-04,721.0,742.0,720.0,738.7
2023-07-05,738.55,749.75,725.05,740.75
2023-07-06,743.9,745.75,719.2,721.55
2023-07-09,722.0,745.4,722.0,734.9
2023-07-10,742.0,745.8,736.0,742.05
2023-07-11,745.0,746.0,732.0,741.65
2023-07-12,742.75,759.9,742.75,755.3
2023-07-13,762.55,763.95,728.4,742.95
2023-07-16,750.0,751.85,743.6,747.4
2023-07-17,746.7,751.2,725.45,728.55
2023-07-18,731.9,750.05,729.4,744.9
2023-07-19,744.9,748.6,741.05,746.6
2023-07-20,745.0,745.75,738.0,744.55
2023-07-23,744.9,746.25,726.2,742.75
2023-07-24,745.0,785.0,736.1,782.4
2023-07-25,785.0,854.9,782.0,836.0
2023-07-26,833.05,835.0,814.0,818.0
2023-07-27,855.35,889.95,815.0,822.75
2023-07-30,845.95,845.95,827.1,838.45
2023-07-31,841.0,845.95,820.6,829.55
2023-08-01,830.4,835.25,797.45,804.45
2023-08-02,807.9,863.8,806.0,838.5
2023-08-03,840.0,850.45,825.7,830.85
2023-08-06,844.8,866.95,837.1,862.8
2023-08-07,862.45,876.7,849.05,853.45
2023-08-08,855.8,855.8,838.45,853.9
2023-08-09,854.85,892.7,848.0,877.3
2023-08-10,877.3,924.75,871.05,915.1
2023-08-13,909.5,954.0,893.25,943.7
2023-08-15,945.0,962.8,940.55,948.9
2023-08-16,949.95,949.95,896.0,904.8
2023-08-17,908.9,919.5,884.8,896.8
2023-08-20,907.4,924.8,897.85,914.0
2023-08-21,915.0,920.5,904.0,908.5
2023-08-22,914.9,914.9,895.15,898.0
2023-08-23,898.85,909.0,890.4,892.45
2023-08-24,888.0,910.0,868.9,882.8
2023-08-27,882.8,886.95,860.0,865.4
2023-08-28,867.3,884.0,865.2,879.55
2023-08-29,884.2,905.05,884.2,900.0
2023-08-30,901.7,924.9,891.6,919.95
2023-08-31,922.0,922.0,902.6,908.7
