date,open,high,low,close
2023-07-03,130.05,130.05,125.05,125.8
2023-07-04,128.0,129.5,125.0,125.4
2023-07-05,126.1,126.4,123.6,124.7
2023-07-06,124.0,128.95,123.3,125.05
2023-07-07,126.0,126.4,123.6,124.7
2023-07-10,125.0,125.0,123.4,123.9
2023-07-11,123.0,126.95,122.65,123.05
2023-07-12,123.05,124.5,122.1,123.1
2023-07-13,125.55,125.55,118.55,119.3
2023-07-14,118.8,126.95,118.8,126.1
2023-07-17,129.25,132.7,128.1,131.0
2023-07-18,130.65,132.7,124.45,126.5
2023-07-19,128.55,137.8,126.0,131.25
2023-07-20,131.85,131.85,126.5,126.8
2023-07-21,126.65,128.5,125.05,126.65
2023-07-24,127.95,128.4,124.45,125.0
2023-07-25,125.0,126.55,122.5,123.45
2023-07-26,124.15,126.75,121.85,123.3
2023-07-27,124.1,126.4,122.1,122.75
2023-07-28,123.15,123.85,120.95,122.8
2023-07-31,123.85,125.0,122.7,123.95
2023-08-01,125.9,126.95,123.45,123.8
2023-08-02,123.8,124.55,121.05,122.1
2023-08-03,123.9,123.9,121.05,122.05
2023-08-04,121.2,128.45,121.2,125.2
2023-08-07,126.3,127.95,121.1,122.65
2023-08-08,124.9,125.8,121.8,122.55
2023-08-09,123.75,124.3,120.5,121.5
2023-08-10,120.05,122.1,118.5,118.75
2023-08-11,120.9,120.9,115.5,116.6
2023-08-14,118.8,118.8,112.05,115.25
2023-08-16,110.3,112.15,107.2,108.1
2023-08-17,110.75,112.9,110.3,112.3
2023-08-18,113.0,113.0,105.6,109.0
2023-08-21,109.0,114.0,108.0,112.55
2023-08-22,112.7,114.6,110.5,111.8
2023-08-23,112.6,114.4,111.6,112.35
2023-08-24,113.5,114.5,111.05,111.75
2023-08-25,111.0,116.0,109.2,113.9
2023-08-28,115.25,115.5,112.6,112.75
2023-08-29,112.75,119.85,112.7,115.75
2023-08-30,117.0,121.6,117.0,117.6
2023-08-31,118.1,120.0,116.9,117.2
