date,open,high,low,close
2023-06-01,429.98,429.98,425.16,426.12
2023-06-02,427.95,428.08,425.75,427.3
2023-06-05,427.93,429.64,427.36,428.76
2023-06-06,428.76,430.17,427.14,429.73
2023-06-07,431.3,434.98,430.93,434.55
2023-06-08,434.55,435.46,430.28,430.61
2023-06-09,431.67,432.67,430.03,431.27
2023-06-12,432.69,433.96,431.37,433.55
2023-06-13,433.67,437.94,433.67,437.5
2023-06-14,437.52,438.94,437.27,437.52
2023-06-15,438.11,440.05,437.77,438.97
2023-06-16,439.55,443.99,439.55,443.39
2023-06-19,445.15,445.15,441.04,441.32
2023-06-20,442.0,444.75,442.0,444.24
2023-06-21,444.34,446.11,441.74,444.11
2023-06-22,440.3,440.3,438.01,439.0
2023-06-23,438.12,438.12,431.6,431.9
2023-06-26,433.0,435.52,431.65,435.44
2023-06-27,435.71,437.12,435.39,435.41
2023-06-28,434.31,439.76,434.31,438.32
2023-06-30,439.72,442.59,439.7,441.16
2023-07-03,442.62,444.0,441.99,442.99
2023-07-04,444.43,444.83,440.91,442.31
2023-07-05,398.07,445.57,398.07,444.15
2023-07-06,445.1,447.6,445.1,447.43
2023-07-07,448.26,449.96,443.0,444.19
2023-07-10,443.3,444.59,441.26,441.26
2023-07-11,443.28,446.99,443.28,446.09
2023-07-12,446.0,447.21,444.53,446.05
2023-07-13,447.6,449.72,442.55,444.04
2023-07-14,444.94,447.78,443.38,447.59
2023-07-17,448.72,449.44,446.95,448.12
2023-07-18,449.46,449.92,445.25,445.84
2023-07-19,447.28,449.29,447.28,448.26
2023-07-20,447.47,449.12,447.0,447.42
2023-07-21,446.08,449.11,446.0,446.44
2023-07-24,446.26,448.19,445.86,447.53
2023-07-25,446.3,449.45,446.3,449.27
2023-07-26,449.48,451.25,449.05,451.22
2023-07-27,451.23,452.77,450.01,451.7
2023-07-28,453.85,457.28,453.83,456.44
2023-07-31,456.82,458.58,456.82,458.21
2023-08-01,458.6,458.6,456.58,457.03
2023-08-02,462.98,462.98,448.72,452.06
2023-08-03,450.89,451.56,446.3,449.33
2023-08-04,452.8,453.99,451.55,453.32
2023-08-07,452.41,454.55,451.63,452.45
2023-08-08,453.7,454.23,450.51,452.62
2023-08-09,453.59,455.34,452.11,454.96
2023-08-10,453.42,454.59,450.83,451.31
2023-08-11,451.2,453.87,450.75,452.11
2023-08-14,448.0,448.0,441.7,444.03
2023-08-16,444.03,445.91,442.5,445.77
2023-08-17,444.45,446.65,444.43,444.43
2023-08-18,443.37,444.34,440.8,442.45
2023-08-21,443.25,446.09,442.89,444.64
2023-08-22,446.22,449.11,446.22,448.78
2023-08-23,449.71,451.3,447.8,447.96
2023-08-24,450.62,453.1,449.22,449.56
2023-08-25,449.47,449.47,446.0,446.05
2023-08-28,446.78,449.72,446.78,449.25
2023-08-29,449.26,452.04,449.26,451.65
2023-08-30,453.64,453.77,452.31,453.2
2023-08-31,452.3,452.3,449.01,449.92
