date,open,high,low,close
2023-07-03,2414.5,2466.9,2383.85,2432.45
2023-07-04,2450.0,2452.0,2375.0,2425.85
2023-07-05,2403.0,2449.95,2403.0,2431.25
2023-07-06,2443.45,2443.9,2400.0,2436.25
2023-07-09,2441.9,2460.0,2415.1,2438.0
2023-07-10,2414.0,2449.95,2400.15,2409.1
2023-07-11,2478.0,2490.0,2365.0,2459.1
2023-07-12,2463.45,2484.95,2339.15,2415.2
2023-07-13,2423.6,2443.6,2405.5,2417.25
2023-07-16,2405.0,2454.95,2402.95,2446.6
2023-07-17,2450.25,2460.0,2422.55,2450.4
2023-07-18,2468.0,2547.0,2425.05,2497.75
2023-07-19,2510.25,2540.0,2430.0,2437.15
2023-07-20,2442.25,2460.0,2400.0,2450.75
2023-07-23,2430.0,2661.9,2417.6,2532.85
2023-07-24,2649.4,2739.55,2565.0,2712.7
2023-07-25,2721.95,2758.0,2684.9,2731.85
2023-07-26,2735.0,2792.7,2720.05,2778.65
2023-07-27,2726.0,2778.2,2707.55,2744.85
2023-07-30,2744.95,2805.0,2708.05,2766.5
2023-07-31,2789.0,2789.0,2691.15,2713.4
2023-08-01,2712.65,2734.05,2630.35,2645.4
2023-08-02,2683.45,2683.45,2550.0,2618.1
2023-08-03,2602.1,2618.0,2512.6,2558.65
2023-08-06,2558.65,2570.0,2480.0,2491.1
2023-08-07,2521.0,2521.0,2474.0,2498.8
2023-08-08,2498.8,2548.75,2488.05,2495.15
2023-08-09,2489.0,2542.0,2489.0,2538.7
2023-08-10,2551.4,2599.95,2525.05,2553.85
2023-08-13,2540.0,2540.0,2496.05,2510.0
2023-08-15,2510.0,2518.4,2454.05,2470.75
2023-08-16,2481.75,2497.45,2434.0,2451.2
2023-08-17,2411.2,2412.05,2334.75,2370.55
2023-08-20,2370.05,2388.3,2330.8,2367.3
2023-08-21,2378.25,2409.9,2359.25,2380.75
2023-08-22,2389.95,2405.95,2327.05,2371.85
2023-08-23,2372.0,2417.95,2348.2,2356.9
2023-08-24,2333.35,2366.0,2325.0,2331.75
2023-08-27,2343.45,2359.65,2300.55,2348.05
2023-08-28,2359.8,2365.0,2339.05,2348.15
2023-08-29,2355.0,2520.35,2332.05,2488.2
2023-08-30,2496.35,2509.95,2429.55,2469.1
2023-08-31,2469.1,2499.0,2418.9,2421.15
