date,open,high,low,close
2023-07-03,222.05,225.0,220.1,220.4
2023-07-04,220.95,221.65,217.2,217.95
2023-07-05,219.95,219.95,215.5,215.95
2023-07-06,215.95,216.85,213.3,214.1
2023-07-07,215.0,215.25,207.9,208.85
2023-07-10,211.85,213.9,204.35,205.45
2023-07-11,207.2,211.3,206.2,207.95
2023-07-12,208.25,209.5,207.3,208.05
2023-07-13,208.2,210.4,207.8,208.1
2023-07-14,208.15,212.8,208.1,211.2
2023-07-17,212.45,213.4,210.95,211.9
2023-07-18,212.05,213.85,209.9,211.1
2023-07-19,210.5,214.45,210.5,213.95
2023-07-20,214.0,215.7,212.35,212.7
2023-07-21,212.15,213.2,211.05,212.4
2023-07-24,210.65,211.9,210.0,210.05
2023-07-25,211.0,211.15,207.95,209.25
2023-07-26,209.55,214.0,209.0,213.45
2023-07-27,212.25,213.55,210.1,210.7
2023-07-28,210.7,215.05,210.45,214.45
2023-07-31,216.7,225.7,216.05,220.8
2023-08-01,215.0,233.2,214.25,227.8
2023-08-02,229.7,231.6,222.25,223.7
2023-08-03,222.8,226.15,218.0,218.6
2023-08-04,220.2,225.5,218.95,224.4
2023-08-07,226.7,229.8,225.2,228.5
2023-08-08,229.1,229.65,223.1,224.0
2023-08-09,223.2,225.3,222.0,223.0
2023-08-10,224.0,228.75,220.75,227.25
2023-08-11,227.05,234.35,225.05,231.9
2023-08-14,233.9,233.9,224.0,225.1
2023-08-16,224.1,233.0,221.5,231.2
2023-08-17,231.4,231.4,225.25,226.2
2023-08-18,225.75,229.6,223.0,225.05
2023-08-21,224.2,226.15,222.5,223.25
2023-08-22,223.25,226.45,221.0,222.25
2023-08-23,222.6,224.75,218.0,218.45
2023-08-24,219.0,222.5,215.25,215.75
2023-08-25,215.05,218.2,209.75,211.25
2023-08-28,213.25,219.1,211.95,218.05
2023-08-29,218.5,229.8,216.2,228.7
2023-08-30,229.8,230.0,223.75,224.55
2023-08-31,225.9,227.0,222.5,224.45
