date,open,high,low,close
2023-07-03,51.65,51.9,50.75,51.1
2023-07-04,50.55,51.4,50.35,50.8
2023-07-05,51.3,51.3,50.3,50.45
2023-07-06,50.45,51.0,49.9,50.4
2023-07-09,50.95,51.0,49.0,49.85
2023-07-10,50.25,50.25,49.15,49.3
2023-07-11,49.35,49.65,49.0,49.2
2023-07-12,49.45,49.85,48.8,49.0
2023-07-13,49.15,49.15,48.05,48.25
2023-07-16,48.7,48.7,46.7,46.85
2023-07-17,47.05,47.55,46.1,47.1
2023-07-18,47.0,48.25,47.0,47.7
2023-07-19,48.1,49.95,47.6,49.2
2023-07-20,49.5,49.75,49.0,49.6
2023-07-23,50.2,50.55,48.7,48.95
2023-07-24,49.25,49.25,47.6,47.85
2023-07-25,48.2,48.2,47.0,47.2
2023-07-26,47.55,47.6,46.8,47.0
2023-07-27,46.8,47.5,46.5,46.9
2023-07-30,47.0,48.1,46.9,47.25
2023-07-31,47.5,47.5,46.8,46.95
2023-08-01,46.7,47.15,46.5,46.9
2023-08-02,47.5,48.3,46.55,46.95
2023-08-03,47.5,47.5,46.7,46.8
2023-08-06,47.5,47.5,46.75,46.95
2023-08-07,46.95,47.25,46.1,46.35
2023-08-08,46.8,46.9,46.15,46.55
2023-08-09,46.8,49.7,46.65,48.85
2023-08-10,49.05,49.8,48.1,48.6
2023-08-13,49.35,49.35,47.5,48.1
2023-08-15,48.15,48.5,47.65,48.1
2023-08-16,48.6,49.5,47.9,48.25
2023-08-17,48.75,49.15,47.55,47.95
2023-08-20,48.25,51.5,47.95,50.55
2023-08-21,50.95,56.45,43.55,46.2
2023-08-22,47.0,47.5,46.2,46.35
2023-08-23,46.75,47.05,45.7,45.9
2023-08-24,45.8,46.0,44.9,44.95
2023-08-27,45.3,46.35,44.35,44.65
2023-08-28,45.0,45.2,42.05,42.7
2023-08-29,42.8,46.5,42.8,45.6
2023-08-30,46.15,47.5,45.8,45.9
2023-08-31,46.15,46.65,45.05,45.7
