date,open,high,low,close
2023-07-03,30.05,32.95,29.85,32.1
2023-07-04,32.25,32.45,29.9,30.15
2023-07-05,30.45,30.9,30.15,30.5
2023-07-06,30.75,30.95,30.25,30.65
2023-07-07,30.7,30.85,29.8,30.2
2023-07-10,30.2,30.55,29.75,29.9
2023-07-11,30.4,30.4,29.8,30.05
2023-07-12,30.35,30.4,29.9,30.0
2023-07-13,30.45,30.6,29.4,29.45
2023-07-14,29.6,29.95,29.45,29.75
2023-07-17,30.0,32.55,29.85,30.3
2023-07-18,30.5,30.9,30.05,30.2
2023-07-19,31.35,31.35,28.35,28.8
2023-07-20,28.9,29.9,28.65,28.95
2023-07-21,29.0,29.35,27.55,28.05
2023-07-24,28.5,28.7,27.65,27.85
2023-07-25,28.45,28.5,27.1,27.4
2023-07-26,27.7,27.9,26.05,26.7
2023-07-27,27.1,27.45,26.85,27.05
2023-07-28,27.1,27.4,26.75,27.1
2023-07-31,27.1,27.95,27.0,27.6
2023-08-01,27.7,28.2,27.15,27.45
2023-08-02,27.65,27.65,26.5,26.85
2023-08-03,27.25,27.3,26.45,26.75
2023-08-04,27.35,27.7,26.55,27.1
2023-08-07,27.45,28.15,27.3,27.9
2023-08-08,28.15,28.15,27.5,27.55
2023-08-09,27.95,30.5,27.55,29.5
2023-08-10,29.35,29.4,28.55,29.0
2023-08-11,29.4,29.8,28.55,29.3
2023-08-14,29.45,29.45,28.6,28.8
2023-08-16,28.5,29.35,28.5,28.85
2023-08-17,29.75,30.0,28.4,29.05
2023-08-18,29.5,30.1,28.7,29.1
2023-08-21,29.2,30.25,29.15,29.35
2023-08-22,29.85,29.85,28.95,29.05
2023-08-23,29.15,29.9,28.85,29.05
2023-08-24,29.55,29.75,29.05,29.15
2023-08-25,29.55,31.15,28.75,30.45
2023-08-28,30.75,31.7,30.0,31.15
2023-08-29,30.9,31.5,30.0,30.45
2023-08-30,30.7,30.85,30.15,30.3
2023-08-31,30.8,33.7,30.75,31.9
