date,open,high,low,close
2023-06-01,68.9,69.9,68.1,68.4
2023-06-02,68.85,69.75,68.5,69.05
2023-06-05,69.6,73.6,69.2,73.05
2023-06-06,73.5,77.9,72.15,77.15
2023-06-07,78.0,80.4,77.4,79.35
2023-06-08,79.95,81.5,76.5,76.95
2023-06-09,77.55,77.65,75.9,76.2
2023-06-12,76.55,79.8,76.0,76.8
2023-06-13,77.0,78.6,76.5,77.1
2023-06-14,77.3,78.35,76.05,76.2
2023-06-15,76.8,77.15,74.7,75.05
2023-06-16,75.1,77.0,74.5,76.2
2023-06-19,76.8,81.8,76.3,79.75
2023-06-20,79.6,81.95,79.45,79.8
2023-06-21,80.0,81.7,79.1,79.5
2023-06-22,79.7,80.25,76.9,77.75
2023-06-23,77.8,78.0,75.2,75.6
2023-06-26,75.95,77.2,75.8,76.35
2023-06-27,76.7,78.45,76.4,77.4
2023-06-28,77.8,78.2,76.4,77.3
2023-06-30,77.9,78.35,77.0,77.15
2023-07-03,77.7,79.75,77.4,78.55
2023-07-04,78.9,81.25,77.3,79.4
2023-07-05,79.4,80.95,76.6,77.35
2023-07-06,77.75,79.45,77.45,78.7
2023-07-07,78.65,84.4,78.05,83.3
2023-07-10,84.2,85.45,81.0,81.45
2023-07-11,81.95,84.0,80.5,82.75
2023-07-12,83.0,83.85,80.5,80.95
2023-07-13,81.4,88.05,81.35,87.15
2023-07-14,88.6,89.95,86.15,87.0
2023-07-17,87.0,87.65,84.75,84.95
2023-07-18,85.3,90.45,83.7,88.9
2023-07-19,89.7,90.9,87.4,87.8
2023-07-20,87.75,87.8,85.4,86.0
2023-07-21,85.8,86.6,80.85,82.45
2023-07-24,82.65,84.3,81.35,83.1
2023-07-25,83.45,84.55,81.7,82.05
2023-07-26,82.45,83.95,81.0,81.35
2023-07-27,81.6,84.4,81.5,83.85
2023-07-28,83.85,84.8,81.4,82.15
2023-07-31,82.55,84.5,82.3,82.55
2023-08-01,83.05,84.5,81.9,82.5
2023-08-02,82.15,83.1,79.1,79.7
2023-08-03,79.5,80.45,77.55,78.65
2023-08-04,78.95,80.95,78.4,79.45
2023-08-07,81.1,85.9,81.1,85.05
2023-08-08,85.45,87.3,84.4,85.15
2023-08-09,85.5,86.6,82.0,84.75
2023-08-10,85.6,88.5,81.5,82.65
2023-08-11,83.15,86.9,82.05,86.4
2023-08-14,86.5,88.25,83.5,86.65
2023-08-16,90.95,96.35,90.0,91.85
2023-08-17,93.0,94.35,91.55,92.0
2023-08-18,92.0,96.85,91.5,95.0
2023-08-21,96.0,111.05,94.6,108.9
2023-08-22,109.5,110.5,105.1,105.85
2023-08-23,106.5,109.4,105.5,108.35
2023-08-24,108.55,109.2,103.0,104.9
2023-08-25,103.2,111.8,103.2,108.3
2023-08-28,111.4,118.1,111.3,114.6
2023-08-29,115.5,119.0,115.0,116.75
2023-08-30,117.65,118.25,113.05,114.65
2023-08-31,114.95,119.95,114.95,118.3
