date,open,high,low,close
2023-06-01,981.85,981.85,971.0,973.2
2023-06-02,975.95,981.0,966.35,969.7
2023-06-05,969.0,977.9,965.0,968.15
2023-06-06,975.0,975.0,963.0,965.7
2023-06-07,973.0,977.0,964.0,970.15
2023-06-08,970.15,999.0,970.15,993.05
2023-06-09,993.05,1027.7,974.7,986.9
2023-06-12,992.75,996.45,980.0,983.2
2023-06-13,990.0,994.8,979.0,984.7
2023-06-14,983.9,1001.15,983.85,997.35
2023-06-15,1008.0,1150.0,1005.0,1126.45
2023-06-16,1119.95,1153.0,1094.85,1146.35
2023-06-19,1154.0,1157.95,1125.05,1143.6
2023-06-20,1140.0,1150.8,1128.0,1148.85
2023-06-21,1173.95,1189.9,1129.0,1151.2
2023-06-22,1142.0,1163.1,1133.5,1150.2
2023-06-23,1158.95,1158.95,1119.25,1150.4
2023-06-26,1150.0,1154.45,1130.0,1135.8
2023-06-27,1131.3,1162.95,1131.3,1148.4
2023-06-28,1152.0,1158.3,1133.15,1149.65
2023-06-30,1164.0,1184.65,1133.0,1149.9
2023-07-03,1159.0,1159.0,1135.5,1149.45
2023-07-04,1150.0,1155.4,1136.5,1149.6
2023-07-05,1162.75,1174.55,1149.05,1155.3
2023-07-06,1159.3,1160.15,1120.0,1135.1
2023-07-07,1134.05,1154.85,1121.15,1147.9
2023-07-10,1147.9,1161.85,1136.55,1144.55
2023-07-11,1140.8,1170.0,1137.0,1144.8
2023-07-12,1140.6,1314.7,1075.0,1104.05
2023-07-13,1134.05,1199.3,1120.0,1125.7
2023-07-14,1130.0,1131.1,1104.75,1115.9
2023-07-17,1125.35,1160.95,1075.25,1085.35
2023-07-18,1101.65,1159.0,1092.0,1107.9
2023-07-19,1109.0,1127.0,1100.0,1109.25
2023-07-20,1113.0,1119.1,1091.25,1106.25
2023-07-21,1107.85,1133.9,1100.0,1128.55
2023-07-24,1132.75,1185.0,1130.3,1145.2
2023-07-25,1151.9,1160.05,1145.0,1155.9
2023-07-26,1162.9,1179.35,1135.1,1145.5
2023-07-27,1152.55,1270.45,1145.5,1222.2
2023-07-28,1225.0,1240.0,1207.05,1232.6
2023-07-31,1242.1,1242.1,1221.2,1236.15
2023-08-01,1244.85,1244.85,1208.0,1212.35
2023-08-02,1213.0,1276.0,1201.65,1264.45
2023-08-03,1279.0,1300.0,1263.0,1272.3
2023-08-04,1283.0,1283.0,1247.9,1271.4
2023-08-07,1282.9,1494.7,1260.45,1455.35
2023-08-08,1454.0,1454.0,1380.0,1391.5
2023-08-09,1405.4,1506.75,1382.55,1431.4
2023-08-10,1473.95,1494.0,1451.6,1475.4
2023-08-11,1460.0,1476.6,1431.3,1447.5
2023-08-14,1450.0,1499.0,1422.05,1464.2
2023-08-16,1455.05,1457.95,1381.0,1396.85
2023-08-17,1408.1,1409.35,1370.15,1382.2
2023-08-18,1387.1,1394.7,1330.0,1340.95
2023-08-21,1330.0,1453.85,1321.05,1428.9
2023-08-22,1435.25,1476.9,1406.25,1438.35
2023-08-23,1451.55,1575.0,1398.0,1411.35
2023-08-24,1418.85,1445.0,1406.0,1420.55
2023-08-25,1425.0,1425.0,1386.0,1412.0
2023-08-28,1425.0,1453.9,1416.25,1440.65
2023-08-29,1440.65,1451.75,1412.05,1426.9
2023-08-30,1439.7,1439.7,1415.1,1420.35
2023-08-31,1430.9,1492.95,1410.75,1464.6
