date,open,high,low,close
2023-07-03,380.0,383.95,375.9,376.8
2023-07-04,376.95,379.65,369.35,370.0
2023-07-05,370.25,375.9,365.95,369.15
2023-07-06,370.9,379.0,368.0,370.6
2023-07-07,380.0,405.95,378.0,397.35
2023-07-10,400.5,415.4,400.25,409.25
2023-07-11,412.0,415.8,404.3,407.85
2023-07-12,409.8,411.0,401.75,409.15
2023-07-13,411.25,413.85,394.35,398.5
2023-07-14,401.0,409.7,398.05,406.65
2023-07-17,408.6,426.9,407.1,425.6
2023-07-18,427.8,429.0,418.4,421.7
2023-07-19,420.0,425.8,414.35,423.9
2023-07-20,423.9,424.85,415.0,416.15
2023-07-21,415.0,418.7,412.1,417.0
2023-07-24,420.8,425.95,419.05,423.3
2023-07-25,424.0,425.3,413.25,414.9
2023-07-26,417.1,423.95,401.15,404.8
2023-07-27,406.95,417.75,398.0,415.9
2023-07-28,415.9,418.4,411.75,416.9
2023-07-31,420.85,435.45,419.65,427.8
2023-08-01,430.0,434.5,428.65,431.85
2023-08-02,432.0,432.45,416.35,421.4
2023-08-03,421.4,430.0,417.75,428.75
2023-08-04,434.3,437.0,432.0,434.65
2023-08-07,438.9,452.0,431.7,444.6
2023-08-08,446.8,474.0,442.8,469.75
2023-08-09,472.0,485.0,465.0,476.3
2023-08-10,478.0,495.0,478.0,487.4
2023-08-11,487.0,487.0,472.9,474.85
2023-08-14,474.3,478.65,458.1,472.95
2023-08-16,470.0,474.05,462.2,466.55
2023-08-17,466.55,494.9,466.55,484.35
2023-08-18,486.05,492.05,474.0,478.05
2023-08-21,480.0,504.8,478.05,498.9
2023-08-22,503.15,514.0,485.35,489.85
2023-08-23,494.4,495.7,480.05,484.85
2023-08-24,486.0,494.4,484.05,485.95
2023-08-25,485.95,493.75,467.0,469.7
2023-08-28,472.6,481.45,472.0,476.55
2023-08-29,479.5,494.6,478.2,481.15
2023-08-30,484.5,492.0,480.05,482.1
2023-08-31,485.5,495.0,472.75,492.55
