date,open,high,low,close
2023-07-03,92.0,92.75,88.15,88.8
2023-07-04,89.0,89.25,87.15,88.15
2023-07-05,89.0,91.45,88.2,89.3
2023-07-06,89.95,91.8,89.35,90.15
2023-07-07,90.6,95.8,90.5,92.85
2023-07-10,93.3,94.8,90.8,92.5
2023-07-11,93.2,93.7,90.55,91.05
2023-07-12,91.8,93.5,90.95,91.75
2023-07-13,92.45,93.0,88.8,90.15
2023-07-14,90.95,92.0,90.1,90.6
2023-07-17,90.65,94.45,90.6,91.15
2023-07-18,92.2,94.5,90.2,92.35
2023-07-19,93.4,99.7,92.8,97.2
2023-07-20,97.9,98.55,95.4,95.95
2023-07-21,95.6,96.35,93.95,94.75
2023-07-24,94.75,98.8,94.75,96.8
2023-07-25,97.5,97.7,95.15,95.45
2023-07-26,95.75,96.7,93.7,94.9
2023-07-27,95.45,96.9,94.1,94.55
2023-07-28,95.15,95.85,89.05,89.95
2023-07-31,89.95,92.7,88.5,91.4
2023-08-01,91.5,95.5,91.5,94.55
2023-08-02,94.45,95.65,89.8,91.1
2023-08-03,91.3,92.8,90.1,91.55
2023-08-04,92.4,93.5,91.55,91.9
2023-08-07,92.5,97.75,92.15,95.7
2023-08-08,96.0,96.6,93.65,94.15
2023-08-09,94.45,95.1,93.1,93.7
2023-08-10,94.35,96.95,90.6,92.1
2023-08-11,92.0,93.1,89.35,90.5
2023-08-14,91.1,91.25,88.05,90.3
2023-08-16,90.0,91.8,89.2,91.05
2023-08-17,91.0,92.2,89.2,90.05
2023-08-18,89.9,91.0,89.2,89.95
2023-08-21,90.45,91.9,89.3,90.65
2023-08-22,90.65,92.8,90.1,91.1
2023-08-23,91.1,92.45,90.8,91.15
2023-08-24,91.9,94.15,90.1,90.8
2023-08-25,90.85,92.8,88.75,89.65
2023-08-28,90.05,96.4,89.75,95.1
2023-08-29,95.45,99.45,95.15,98.4
2023-08-30,99.2,105.25,99.05,102.15
2023-08-31,102.65,105.9,101.35,101.9
