date,open,high,low,close
2023-06-01,34.95,35.85,34.65,35.55
2023-06-02,35.65,36.85,35.3,35.9
2023-06-05,36.45,36.5,35.3,35.45
2023-06-06,35.5,35.9,35.1,35.25
2023-06-07,35.75,36.2,34.9,35.15
2023-06-08,35.4,35.85,34.75,35.5
2023-06-09,35.8,35.8,35.0,35.45
2023-06-12,35.7,38.2,35.5,37.3
2023-06-13,37.5,37.9,36.5,36.95
2023-06-14,38.5,42.1,37.9,39.55
2023-06-15,39.8,40.2,39.0,39.1
2023-06-16,39.5,39.55,39.0,39.3
2023-06-19,39.3,39.65,38.6,39.1
2023-06-20,39.1,40.5,38.3,38.5
2023-06-21,38.85,38.85,37.85,38.15
2023-06-22,38.3,38.5,37.9,38.3
2023-06-23,37.8,38.4,37.8,38.0
2023-06-26,37.45,38.25,36.95,37.45
2023-06-27,37.9,38.1,37.0,37.55
2023-06-28,37.55,40.25,36.95,40.0
2023-06-30,39.9,39.95,38.75,39.0
2023-07-03,39.25,39.55,38.55,39.05
2023-07-04,39.15,39.45,37.45,37.9
2023-07-05,38.0,38.1,36.45,36.9
2023-07-06,36.9,37.95,36.85,37.7
2023-07-07,37.9,38.0,37.05,37.3
2023-07-10,37.8,37.8,36.8,36.9
2023-07-11,36.5,37.25,35.05,35.6
2023-07-12,35.9,36.7,35.65,36.45
2023-07-13,38.0,38.0,35.8,36.2
2023-07-14,36.5,36.5,35.5,35.85
2023-07-17,36.25,36.25,35.5,35.7
2023-07-18,35.7,35.9,34.8,35.0
2023-07-19,35.35,37.4,34.7,36.25
2023-07-20,36.5,37.1,35.35,35.9
2023-07-21,36.1,37.0,35.5,35.85
2023-07-24,36.0,36.25,31.0,32.7
2023-07-25,33.5,34.8,33.2,34.7
2023-07-26,35.05,35.1,34.25,34.35
2023-07-27,33.75,35.2,33.75,34.9
2023-07-28,34.9,35.3,34.5,34.95
2023-07-31,34.95,36.5,34.95,36.15
2023-08-01,37.15,38.0,36.15,37.05
2023-08-02,37.4,37.45,35.1,36.25
2023-08-03,35.7,36.45,35.7,36.2
2023-08-04,36.2,36.45,35.5,36.05
2023-08-07,36.3,36.35,35.5,35.7
2023-08-08,35.8,36.3,34.85,34.95
2023-08-09,34.95,35.5,34.7,34.8
2023-08-10,34.8,35.35,34.35,34.6
2023-08-11,34.6,36.6,34.55,36.25
2023-08-14,36.5,37.0,35.0,35.7
2023-08-16,37.0,37.0,35.35,35.65
2023-08-17,36.15,36.15,35.3,35.65
2023-08-18,35.7,35.75,34.65,35.1
2023-08-21,35.1,36.25,35.1,35.8
2023-08-22,36.2,36.2,35.35,35.6
2023-08-23,35.5,36.0,35.25,35.45
2023-08-24,35.5,35.7,34.5,34.95
2023-08-25,34.95,36.15,34.7,35.5
2023-08-28,35.7,36.1,35.3,35.6
2023-08-29,35.65,35.7,35.0,35.2
2023-08-30,35.55,35.6,34.65,35.0
2023-08-31,34.7,35.1,33.8,34.15
