date,open,high,low,close
2023-07-03,180.2,181.4,173.3,175.7
2023-07-04,176.0,177.2,173.1,174.95
2023-07-05,174.0,179.3,171.75,175.8
2023-07-06,176.6,179.25,173.0,174.6
2023-07-07,174.8,176.5,172.6,174.1
2023-07-10,174.1,175.85,172.1,174.45
2023-07-11,175.05,176.9,173.95,174.8
2023-07-12,175.0,176.45,172.8,174.7
2023-07-13,175.25,175.9,170.5,171.45
2023-07-14,172.0,173.95,166.05,171.05
2023-07-17,171.95,174.05,170.95,173.05
2023-07-18,173.1,175.0,169.5,170.55
2023-07-19,171.55,171.9,168.25,170.65
2023-07-20,168.7,170.65,166.95,168.15
2023-07-21,167.0,168.0,162.8,165.0
2023-07-24,166.5,173.0,166.5,169.2
2023-07-25,169.85,171.35,165.65,166.95
2023-07-26,168.75,172.05,167.3,169.25
2023-07-27,170.1,170.1,166.0,167.7
2023-07-28,168.05,168.85,163.25,164.25
2023-07-31,165.25,174.0,164.6,173.15
2023-08-01,173.45,177.95,170.6,176.75
2023-08-02,176.0,178.95,173.0,177.3
2023-08-03,177.0,180.0,173.3,176.15
2023-08-04,177.05,192.0,176.65,190.95
2023-08-07,194.8,208.8,194.0,207.2
2023-08-08,207.2,218.0,201.25,204.2
2023-08-09,207.3,221.0,205.25,219.85
2023-08-10,220.9,225.0,216.05,220.4
2023-08-11,222.0,229.45,222.0,224.6
2023-08-14,223.0,223.05,213.1,220.1
2023-08-16,227.2,242.9,225.45,233.35
2023-08-17,235.5,238.65,221.5,223.15
2023-08-18,224.5,230.35,220.0,225.35
2023-08-21,225.0,227.0,220.05,223.4
2023-08-22,224.0,229.7,223.05,225.2
2023-08-23,226.85,227.6,221.25,224.95
2023-08-24,229.95,243.65,225.15,240.8
2023-08-25,240.0,243.5,228.05,234.2
2023-08-28,236.05,236.65,227.85,230.15
2023-08-29,231.8,234.5,226.9,232.45
2023-08-30,233.0,238.0,227.25,234.95
2023-08-31,235.0,236.75,229.9,234.95
