date,open,high,low,close
2023-07-03,311.0,311.0,303.9,306.5
2023-07-04,306.5,338.7,304.95,329.45
2023-07-05,329.3,329.7,318.05,323.85
2023-07-06,321.0,325.65,311.55,315.75
2023-07-09,315.95,323.7,307.1,313.65
2023-07-10,312.0,322.35,312.0,315.85
2023-07-11,318.55,318.55,307.85,310.05
2023-07-12,310.9,319.0,308.05,310.1
2023-07-13,313.2,319.1,309.5,316.6
2023-07-16,319.9,325.5,313.1,314.1
2023-07-17,315.0,316.6,308.0,310.3
2023-07-18,310.0,313.25,303.75,306.25
2023-07-19,308.5,311.3,307.9,309.7
2023-07-20,307.0,310.6,301.85,304.95
2023-07-23,305.95,307.55,296.35,299.45
2023-07-24,299.7,327.7,298.9,316.45
2023-07-25,322.0,327.9,316.2,317.6
2023-07-26,318.4,328.3,316.0,322.95
2023-07-27,324.9,337.1,320.5,323.35
2023-07-30,325.7,334.5,323.35,328.4
2023-07-31,330.0,338.5,329.2,337.1
2023-08-01,337.1,338.35,312.65,320.8
2023-08-02,320.9,342.95,320.9,333.75
2023-08-03,341.0,341.0,325.3,334.0
2023-08-06,345.0,369.0,342.1,347.55
2023-08-07,350.5,357.45,334.9,346.45
2023-08-08,349.45,389.9,349.45,383.75
2023-08-09,381.0,388.0,375.4,384.7
2023-08-10,385.0,386.9,365.25,368.75
2023-08-13,371.0,376.5,354.6,372.75
2023-08-15,370.0,385.45,369.1,376.65
2023-08-16,378.95,384.45,372.05,375.4
2023-08-17,375.0,381.4,366.65,372.8
2023-08-20,375.0,406.95,373.7,402.5
2023-08-21,412.0,417.0,398.05,403.45
2023-08-22,403.0,405.6,391.55,394.0
2023-08-23,399.0,400.2,387.5,389.45
2023-08-24,390.0,390.4,379.05,383.4
2023-08-27,390.0,397.65,380.0,391.35
2023-08-28,403.0,403.0,386.5,388.85
2023-08-29,388.95,395.9,386.0,387.9
2023-08-30,391.35,393.0,384.95,388.0
2023-08-31,389.95,394.0,385.05,387.05
