date,open,high,low,close
2023-06-01,569.9,616.9,561.8,616.9
2023-06-02,663.9,664.0,610.1,619.7
2023-06-05,629.0,630.0,585.5,589.2
2023-06-06,598.5,598.5,567.1,578.15
2023-06-07,584.95,596.75,574.1,578.75
2023-06-08,578.0,590.1,556.0,562.65
2023-06-09,566.9,586.9,561.2,577.1
2023-06-12,578.0,589.6,571.0,575.05
2023-06-13,578.7,592.6,570.0,589.05
2023-06-14,594.5,598.0,578.0,586.5
2023-06-15,586.5,586.5,577.7,579.2
2023-06-16,593.0,593.0,572.0,574.6
2023-06-19,584.9,584.9,563.6,566.5
2023-06-20,575.0,582.0,562.2,577.05
2023-06-21,574.9,599.7,573.95,580.1
2023-06-22,584.7,584.7,567.0,570.5
2023-06-23,572.05,579.9,567.1,570.15
2023-06-26,579.9,579.9,568.5,570.9
2023-06-27,574.0,607.0,574.0,596.9
2023-06-28,597.25,635.75,597.25,608.45
2023-06-30,601.65,669.25,601.65,667.65
2023-07-03,675.0,677.65,642.15,657.0
2023-07-04,662.95,675.0,635.35,645.95
2023-07-05,652.4,710.5,650.0,700.85
2023-07-06,705.0,747.0,684.05,701.2
2023-07-07,700.0,771.3,693.1,771.3
2023-07-10,789.9,825.0,781.55,815.05
2023-07-11,815.0,838.0,776.55,784.75
2023-07-12,794.7,799.9,780.05,794.95
2023-07-13,794.95,794.95,755.2,755.2
2023-07-14,755.0,774.0,717.45,761.05
2023-07-17,761.0,797.95,751.55,761.1
2023-07-18,761.0,774.8,723.05,725.15
2023-07-19,736.7,744.4,718.1,722.7
2023-07-20,739.5,739.5,720.0,725.75
2023-07-21,718.2,745.0,700.05,729.7
2023-07-24,740.0,762.0,714.85,741.2
2023-07-25,730.0,775.0,727.65,748.65
2023-07-26,748.7,786.05,748.7,786.05
2023-07-27,784.0,825.35,756.85,807.75
2023-07-28,802.8,827.0,785.05,794.0
2023-07-31,794.0,798.6,754.3,754.3
2023-08-01,725.25,759.0,720.15,754.6
2023-08-02,773.4,773.4,730.0,733.65
2023-08-03,721.0,748.4,715.1,727.5
2023-08-04,730.1,746.8,729.05,737.55
2023-08-07,745.4,774.05,743.0,755.95
2023-08-08,735.2,779.6,735.2,760.7
2023-08-09,750.0,795.0,726.0,744.85
2023-08-10,759.5,782.05,744.0,782.05
2023-08-11,821.15,821.15,821.15,821.15
2023-08-14,860.0,860.0,825.0,835.4
2023-08-16,852.1,862.0,834.0,843.7
2023-08-17,859.95,862.0,801.55,834.4
2023-08-18,866.0,876.1,805.0,829.3
2023-08-21,839.3,870.75,839.3,870.75
2023-08-22,883.95,892.8,832.25,839.2
2023-08-23,833.1,873.85,830.0,854.5
2023-08-24,859.95,864.35,832.2,838.1
2023-08-25,834.95,844.0,822.0,824.95
2023-08-28,824.95,843.0,806.15,835.25
2023-08-29,837.0,852.95,820.0,849.9
2023-08-30,863.95,863.95,833.2,839.6
2023-08-31,850.0,858.95,811.0,853.7
