date,open,high,low,close
2023-07-03,61.7,63.45,60.15,61.3
2023-07-04,61.3,62.7,60.0,60.45
2023-07-05,59.45,61.7,59.25,61.25
2023-07-06,61.4,61.4,58.5,59.35
2023-07-09,59.45,60.15,58.75,59.15
2023-07-10,58.95,61.4,58.8,60.4
2023-07-11,59.3,60.9,59.15,60.1
2023-07-12,60.3,60.8,57.1,58.0
2023-07-13,57.55,59.0,57.0,58.05
2023-07-16,57.3,63.5,57.3,59.5
2023-07-17,58.6,60.55,58.6,59.25
2023-07-18,60.0,63.4,59.15,61.65
2023-07-19,61.65,62.6,59.9,60.35
2023-07-20,59.0,62.5,59.0,59.95
2023-07-23,62.4,62.4,59.55,60.3
2023-07-24,61.0,61.35,57.9,58.8
2023-07-25,60.75,62.1,58.95,59.55
2023-07-26,60.9,60.9,58.95,59.55
2023-07-27,60.8,60.8,58.5,58.95
2023-07-30,58.5,61.05,58.5,59.95
2023-07-31,60.45,63.0,60.1,62.3
2023-08-01,63.45,63.45,60.35,62.05
2023-08-02,62.6,62.9,59.8,60.1
2023-08-03,60.55,61.5,60.1,60.95
2023-08-06,61.25,61.8,60.1,60.4
2023-08-07,62.4,62.4,60.5,60.7
2023-08-08,60.7,62.25,60.3,61.85
2023-08-09,62.0,62.85,61.4,62.2
2023-08-10,61.85,61.95,60.9,61.05
2023-08-13,61.55,62.85,59.1,59.3
2023-08-15,59.35,60.5,59.3,59.95
2023-08-16,60.05,65.4,59.4,64.3
2023-08-17,64.5,66.05,59.5,60.4
2023-08-20,61.3,61.3,60.0,60.7
2023-08-21,61.05,61.65,60.15,60.55
2023-08-22,61.8,61.9,59.85,60.55
2023-08-23,60.5,64.9,60.3,61.3
2023-08-24,62.25,65.0,61.75,64.2
2023-08-27,65.0,67.95,62.5,64.3
2023-08-28,64.3,77.15,64.0,75.2
2023-08-29,75.25,81.8,72.35,76.35
2023-08-30,76.75,79.0,73.7,74.55
2023-08-31,77.0,77.5,73.0,75.4
