date,open,high,low,close
2023-06-01,38.0,38.85,37.7,37.85
2023-06-02,38.15,38.4,37.75,37.95
2023-06-05,38.7,38.9,38.0,38.15
2023-06-06,38.25,38.4,37.75,38.0
2023-06-07,38.1,41.7,37.9,40.65
2023-06-08,40.75,41.05,38.85,39.35
2023-06-09,39.45,39.7,38.8,38.9
2023-06-12,38.95,39.7,38.5,38.65
2023-06-13,38.8,39.45,38.5,38.9
2023-06-14,39.1,39.2,38.6,38.7
2023-06-15,38.7,39.15,38.05,38.15
2023-06-16,38.25,38.7,38.05,38.1
2023-06-19,38.25,38.6,38.0,38.3
2023-06-20,38.45,38.55,37.95,38.15
2023-06-21,38.2,38.85,38.0,38.15
2023-06-22,38.05,41.0,37.55,39.45
2023-06-23,40.05,41.65,38.65,40.6
2023-06-26,40.8,44.4,40.7,43.35
2023-06-27,44.7,44.7,41.25,41.7
2023-06-28,41.95,43.2,41.55,41.9
2023-06-30,42.2,42.45,41.5,41.7
2023-07-03,42.1,42.8,41.55,41.8
2023-07-04,42.0,42.1,40.85,40.95
2023-07-05,40.85,41.15,40.2,40.55
2023-07-06,40.55,41.15,40.45,40.6
2023-07-07,40.6,40.7,39.7,39.95
2023-07-10,40.05,40.1,39.35,39.5
2023-07-11,39.25,40.6,39.25,39.9
2023-07-12,40.0,40.3,39.5,39.7
2023-07-13,39.75,43.15,39.75,41.3
2023-07-14,41.5,42.85,41.05,42.2
2023-07-17,42.3,42.5,41.25,41.35
2023-07-18,41.5,41.7,40.0,40.4
2023-07-19,40.4,41.6,40.4,40.7
2023-07-20,40.6,41.75,40.5,40.8
2023-07-21,40.6,41.1,39.8,39.9
2023-07-24,40.0,40.7,39.15,39.3
2023-07-25,39.5,40.3,39.4,40.05
2023-07-26,40.2,41.0,39.85,40.15
2023-07-27,40.3,42.75,40.05,41.3
2023-07-28,41.1,42.2,41.0,41.35
2023-07-31,41.5,41.5,40.4,40.55
2023-08-01,40.7,42.35,40.5,40.75
2023-08-02,40.75,43.8,40.65,43.5
2023-08-03,44.3,44.3,41.9,42.7
2023-08-04,43.0,48.15,42.75,47.0
2023-08-07,47.45,48.45,45.7,47.7
2023-08-08,48.1,48.5,45.1,45.65
2023-08-09,45.8,54.75,45.55,54.75
2023-08-10,54.4,55.7,49.65,50.45
2023-08-11,50.0,51.55,48.6,48.85
2023-08-14,48.8,48.85,46.35,47.85
2023-08-16,47.8,52.15,47.3,50.75
2023-08-17,50.95,51.75,48.35,49.5
2023-08-18,49.5,52.6,49.15,50.1
2023-08-21,50.35,50.9,49.3,50.5
2023-08-22,50.5,51.7,50.15,50.8
2023-08-23,51.0,52.5,50.9,51.15
2023-08-24,51.5,55.1,51.3,53.35
2023-08-25,53.5,58.35,52.65,55.85
2023-08-28,56.6,60.7,55.2,57.8
2023-08-29,58.3,58.8,56.0,57.25
2023-08-30,57.95,63.1,57.65,62.2
2023-08-31,62.9,63.8,60.6,61.65
