date,open,high,low,close
2023-07-03,5.4,5.55,5.05,5.2
2023-07-04,5.3,5.35,5.15,5.2
2023-07-05,5.25,5.4,5.2,5.2
2023-07-06,5.25,5.4,5.1,5.15
2023-07-09,5.2,5.2,4.95,5.05
2023-07-10,5.05,5.1,4.95,5.0
2023-07-11,5.0,5.05,4.85,4.85
2023-07-12,4.9,5.0,4.7,4.75
2023-07-13,4.8,4.85,4.3,4.7
2023-07-16,4.7,4.75,4.65,4.65
2023-07-17,4.7,4.75,4.3,4.55
2023-07-18,4.55,4.7,4.55,4.55
2023-07-19,4.6,5.0,4.55,4.75
2023-07-20,4.8,5.0,4.75,4.95
2023-07-23,5.05,5.2,5.0,5.1
2023-07-24,5.2,5.4,5.15,5.15
2023-07-25,5.0,5.05,4.8,4.9
2023-07-26,4.9,5.0,4.85,4.85
2023-07-27,4.85,4.9,4.8,4.85
2023-07-30,4.9,5.05,4.8,5.0
2023-07-31,5.05,5.3,5.0,5.2
2023-08-01,5.2,5.3,4.8,5.0
2023-08-02,5.0,5.0,4.85,4.9
2023-08-03,4.95,5.1,4.85,4.9
2023-08-06,4.9,5.0,4.8,4.85
2023-08-07,4.9,4.9,4.7,4.8
2023-08-08,4.8,5.05,4.8,4.9
2023-08-09,4.85,4.9,4.8,4.8
2023-08-10,4.8,4.85,4.7,4.75
2023-08-13,4.75,4.8,4.65,4.75
2023-08-15,4.7,4.8,4.65,4.7
2023-08-16,4.7,4.9,4.7,4.8
2023-08-17,4.8,4.85,4.7,4.75
2023-08-20,4.8,4.85,4.7,4.75
2023-08-21,4.75,5.15,4.7,5.0
2023-08-22,5.0,5.5,5.0,5.5
2023-08-23,5.85,5.9,5.35,5.45
2023-08-24,5.55,5.65,5.25,5.35
2023-08-27,5.4,5.85,5.4,5.5
2023-08-28,5.55,6.05,5.55,5.95
2023-08-29,6.1,6.5,6.05,6.5
2023-08-30,6.85,7.1,6.5,6.8
2023-08-31,6.95,7.15,6.8,7.0
