date,open,high,low,close
2023-07-03,113.65,114.4,112.2,112.95
2023-07-04,112.3,114.2,111.7,113.1
2023-07-05,112.85,114.0,112.35,113.35
2023-07-06,113.45,114.8,112.95,113.6
2023-07-09,114.6,115.9,112.75,113.2
2023-07-10,114.4,114.5,113.05,113.35
2023-07-11,114.35,114.35,111.5,112.0
2023-07-12,112.7,113.7,109.25,109.9
2023-07-13,110.8,112.0,110.8,110.95
2023-07-16,111.0,113.0,111.0,111.7
2023-07-17,112.6,112.95,110.8,111.1
2023-07-18,111.95,112.5,111.1,111.55
2023-07-19,111.55,111.75,108.95,109.6
2023-07-20,108.55,109.4,108.4,108.65
2023-07-23,108.1,113.0,108.0,112.1
2023-07-24,113.7,113.7,111.0,111.65
2023-07-25,112.05,112.8,111.4,111.55
2023-07-26,112.0,112.0,108.65,109.6
2023-07-27,109.6,110.5,109.15,109.75
2023-07-30,110.1,111.6,110.0,110.9
2023-07-31,111.8,113.6,111.0,112.7
2023-08-01,113.25,113.3,108.1,109.95
2023-08-02,110.25,112.0,110.0,111.4
2023-08-03,112.6,113.05,111.6,112.05
2023-08-06,112.95,114.4,112.4,113.65
2023-08-07,113.9,115.0,112.9,114.05
2023-08-08,114.05,114.1,112.9,113.75
2023-08-09,114.1,118.0,113.7,116.95
2023-08-10,117.95,122.85,115.2,118.25
2023-08-13,120.35,121.8,117.15,120.55
2023-08-15,121.25,127.4,120.8,126.2
2023-08-16,126.3,130.85,126.3,128.65
2023-08-17,129.0,130.55,126.85,128.45
2023-08-20,130.5,130.95,128.9,129.25
2023-08-21,131.0,139.4,130.1,134.1
2023-08-22,135.1,142.8,135.1,139.2
2023-08-23,140.7,148.0,140.15,143.6
2023-08-24,143.6,146.4,137.65,139.0
2023-08-27,140.1,143.9,140.1,141.35
2023-08-28,142.4,143.9,139.0,139.35
2023-08-29,140.15,142.6,140.15,141.3
2023-08-30,141.85,143.5,141.0,141.95
2023-08-31,142.2,152.0,142.2,150.15
