date,open,high,low,close
2023-07-03,85.9,88.25,85.6,87.5
2023-07-04,87.85,88.5,86.9,87.25
2023-07-05,87.7,88.7,87.6,88.05
2023-07-06,87.9,88.25,87.0,87.8
2023-07-07,87.4,88.1,86.2,86.8
2023-07-10,87.0,90.6,86.9,90.05
2023-07-11,90.6,90.6,89.5,90.0
2023-07-12,90.0,90.75,89.25,89.6
2023-07-13,91.0,91.4,89.35,89.85
2023-07-14,90.6,91.75,90.0,91.25
2023-07-17,91.6,92.45,91.15,91.6
2023-07-18,91.65,91.95,89.75,90.3
2023-07-19,90.8,91.15,90.25,90.8
2023-07-20,90.95,91.25,89.75,89.9
2023-07-21,89.7,91.25,89.1,90.15
2023-07-24,90.25,90.4,89.2,89.9
2023-07-25,90.0,92.75,89.75,92.25
2023-07-26,92.85,93.2,92.0,92.2
2023-07-27,92.8,93.4,92.1,92.5
2023-07-28,92.4,93.2,91.75,92.7
2023-07-31,93.2,95.1,93.05,94.6
2023-08-01,95.3,96.15,94.8,95.6
2023-08-02,95.35,95.35,92.2,92.95
2023-08-03,92.65,93.2,92.0,92.9
2023-08-04,93.8,94.25,93.1,94.0
2023-08-07,94.5,94.5,93.2,94.05
2023-08-08,94.05,94.2,92.15,92.6
2023-08-09,92.8,93.35,90.95,92.95
2023-08-10,92.5,93.95,92.3,92.9
2023-08-11,91.3,92.4,90.35,91.1
2023-08-14,91.0,91.05,86.65,87.1
2023-08-16,87.1,87.45,84.75,84.9
2023-08-17,85.05,86.0,84.6,84.9
2023-08-18,85.05,85.5,83.9,84.35
2023-08-21,84.4,86.25,84.0,86.05
2023-08-22,86.7,86.7,85.45,85.7
2023-08-23,86.35,87.15,85.8,86.05
2023-08-24,86.9,88.45,86.3,86.55
2023-08-25,86.15,86.5,85.3,85.65
2023-08-28,86.0,87.15,85.8,86.95
2023-08-29,87.7,88.6,87.25,88.45
2023-08-30,89.0,91.6,88.8,91.4
2023-08-31,91.85,92.1,90.45,90.7
