date,open,high,low,close
2023-07-03,924.0,936.1,915.85,926.0
2023-07-04,929.75,975.0,925.0,956.05
2023-07-05,979.0,1000.0,957.0,965.25
2023-07-06,965.25,965.25,923.05,931.8
2023-07-09,931.8,947.95,915.0,939.5
2023-07-10,942.4,952.4,941.0,942.95
2023-07-11,949.95,956.95,915.35,922.15
2023-07-12,928.4,989.0,928.4,962.0
2023-07-13,975.0,985.0,951.0,958.0
2023-07-16,958.05,971.5,944.15,957.0
2023-07-17,953.0,956.1,944.0,944.45
2023-07-18,945.95,956.0,937.55,954.15
2023-07-19,950.05,1120.0,943.0,1062.75
2023-07-20,1065.0,1115.0,1049.65,1060.65
2023-07-23,1075.55,1075.55,1006.0,1009.05
2023-07-24,1019.0,1025.85,993.25,1003.9
2023-07-25,1008.95,1023.65,991.05,995.05
2023-07-26,998.35,1006.0,965.65,974.4
2023-07-27,984.15,1006.0,972.0,997.7
2023-07-30,1001.95,1019.0,997.0,1006.25
2023-07-31,1009.05,1015.0,1001.0,1009.15
2023-08-01,1009.15,1051.0,1009.15,1022.8
2023-08-02,1029.4,1053.0,1017.1,1027.75
2023-08-03,1028.9,1028.9,1011.1,1020.95
2023-08-06,1030.4,1042.45,1007.0,1008.15
2023-08-07,1014.5,1014.5,983.6,990.4
2023-08-08,997.45,1009.95,991.0,996.05
2023-08-09,1009.8,1010.0,998.0,1004.3
2023-08-10,1018.4,1028.6,992.05,1006.5
2023-08-13,1101.0,1165.0,1025.0,1035.45
2023-08-15,1048.4,1064.0,1040.0,1046.0
2023-08-16,1060.65,1068.0,1034.05,1056.5
2023-08-17,1071.3,1071.3,1035.0,1040.15
2023-08-20,1055.25,1069.95,1030.0,1034.45
2023-08-21,1045.9,1049.0,1027.6,1034.5
2023-08-22,1034.5,1047.4,1012.0,1028.05
2023-08-23,1030.35,1041.4,1012.0,1018.4
2023-08-24,1018.45,1031.35,1010.05,1012.65
2023-08-27,1012.65,1022.4,1002.05,1008.5
2023-08-28,1017.65,1017.65,1002.3,1006.0
2023-08-29,1019.2,1037.0,1010.0,1031.3
2023-08-30,1045.8,1112.45,1038.0,1084.2
2023-08-31,1080.25,1110.0,1067.55,1084.2
