date,open,high,low,close
2023-06-01,1450.6,1450.6,1420.0,1438.25
2023-06-02,1438.25,1450.0,1421.0,1431.45
2023-06-05,1439.0,1449.75,1423.65,1442.85
2023-06-06,1448.7,1449.9,1423.5,1443.6
2023-06-07,1424.1,1449.5,1402.3,1434.05
2023-06-08,1431.95,1431.95,1385.0,1394.8
2023-06-09,1400.0,1424.95,1360.1,1367.0
2023-06-12,1367.0,1381.5,1342.0,1345.1
2023-06-13,1341.0,1413.75,1336.0,1403.9
2023-06-14,1415.7,1417.9,1384.4,1391.45
2023-06-15,1409.95,1409.95,1373.15,1384.1
2023-06-16,1395.65,1404.6,1380.0,1397.3
2023-06-19,1408.85,1425.0,1367.1,1374.9
2023-06-20,1368.0,1409.0,1367.2,1386.75
2023-06-21,1394.7,1423.5,1393.95,1420.4
2023-06-22,1420.25,1429.5,1375.0,1389.65
2023-06-23,1396.9,1396.9,1350.1,1358.0
2023-06-26,1370.0,1399.55,1358.0,1391.0
2023-06-27,1449.0,1449.0,1395.85,1410.35
2023-06-28,1430.0,1448.85,1400.0,1415.65
2023-06-30,1431.0,1435.0,1372.35,1374.15
2023-07-03,1389.6,1389.6,1345.1,1370.9
2023-07-04,1370.9,1412.0,1370.9,1405.1
2023-07-05,1413.95,1418.0,1390.05,1400.9
2023-07-06,1418.9,1418.9,1381.2,1385.8
2023-07-07,1390.0,1399.0,1377.35,1390.05
2023-07-10,1382.5,1410.0,1381.8,1399.85
2023-07-11,1400.0,1403.65,1373.65,1379.65
2023-07-12,1382.05,1399.45,1354.95,1389.05
2023-07-13,1389.0,1413.6,1373.0,1385.2
2023-07-14,1407.8,1419.0,1387.55,1405.25
2023-07-17,1414.95,1435.05,1400.1,1407.7
2023-07-18,1414.65,1416.75,1391.15,1402.45
2023-07-19,1410.0,1446.25,1402.4,1428.9
2023-07-20,1448.0,1479.9,1422.0,1430.15
2023-07-21,1430.15,1450.0,1411.0,1427.8
2023-07-24,1427.75,1437.95,1418.05,1423.75
2023-07-25,1423.75,1434.8,1383.0,1391.6
2023-07-26,1392.0,1408.5,1373.0,1384.15
2023-07-27,1386.1,1392.9,1353.75,1364.55
2023-07-28,1364.55,1396.95,1364.55,1389.9
2023-07-31,1405.9,1405.9,1361.5,1373.05
2023-08-01,1390.0,1390.0,1350.05,1357.4
2023-08-02,1360.9,1379.9,1309.95,1341.65
2023-08-03,1364.9,1364.9,1320.25,1336.7
2023-08-04,1336.7,1388.85,1323.0,1358.45
2023-08-07,1360.0,1389.95,1346.05,1385.3
2023-08-08,1389.85,1389.85,1350.0,1375.8
2023-08-09,1371.0,1384.0,1355.0,1377.05
2023-08-10,1379.0,1379.0,1351.7,1362.7
2023-08-11,1362.7,1373.35,1351.0,1363.25
2023-08-14,1366.95,1370.4,1335.0,1353.15
2023-08-16,1358.7,1362.7,1337.8,1344.6
2023-08-17,1359.95,1361.0,1310.5,1325.5
2023-08-18,1324.9,1338.05,1312.75,1328.85
2023-08-21,1321.2,1342.8,1314.35,1335.1
2023-08-22,1336.05,1353.85,1324.95,1335.85
2023-08-23,1335.8,1363.95,1323.8,1359.55
2023-08-24,1368.0,1374.95,1351.1,1364.15
2023-08-25,1370.0,1391.0,1351.85,1375.45
2023-08-28,1375.45,1402.95,1363.0,1389.2
2023-08-29,1398.8,1398.8,1370.0,1385.2
2023-08-30,1388.95,1406.0,1385.05,1399.65
2023-08-31,1399.65,1443.15,1399.55,1425.35
