date,open,high,low,close
2023-07-03,376.3,401.85,374.55,386.7
2023-07-04,387.15,393.45,376.85,381.35
2023-07-05,384.05,388.45,377.55,379.6
2023-07-06,379.6,387.6,375.05,379.85
2023-07-09,383.75,383.75,374.95,377.75
2023-07-10,377.8,381.45,369.35,372.1
2023-07-11,374.0,377.5,366.55,372.1
2023-07-12,375.65,383.7,370.1,374.3
2023-07-13,377.75,407.65,377.25,401.7
2023-07-16,405.9,411.5,388.2,398.4
2023-07-17,400.65,432.1,400.15,419.7
2023-07-18,428.4,458.8,426.75,454.2
2023-07-19,458.4,458.4,419.95,426.15
2023-07-20,425.3,430.25,408.7,413.05
2023-07-23,417.25,435.85,417.25,420.7
2023-07-24,423.95,425.55,403.15,405.45
2023-07-25,408.25,418.95,392.3,397.4
2023-07-26,397.0,416.85,381.0,411.3
2023-07-27,407.0,411.3,399.0,403.35
2023-07-30,409.0,409.0,390.0,394.5
2023-07-31,396.0,414.2,395.0,414.2
2023-08-01,415.0,415.0,393.5,399.15
2023-08-02,399.5,410.0,389.0,406.4
2023-08-03,406.0,409.9,390.0,392.45
2023-08-06,395.45,404.95,390.0,399.2
2023-08-07,399.95,399.95,391.65,393.05
2023-08-08,393.0,397.95,382.0,392.45
2023-08-09,395.05,408.95,388.0,391.6
2023-08-10,392.0,396.4,385.0,386.45
2023-08-13,382.0,394.85,380.0,390.95
2023-08-15,390.95,397.6,384.0,386.1
2023-08-16,388.45,390.0,383.7,385.9
2023-08-17,386.95,401.0,384.65,398.3
2023-08-20,399.95,403.5,392.1,399.05
2023-08-21,399.0,401.65,393.5,397.75
2023-08-22,396.0,401.95,393.55,395.45
2023-08-23,395.15,398.1,387.0,389.6
2023-08-24,389.95,394.8,382.8,385.4
2023-08-27,383.75,389.0,381.0,381.55
2023-08-28,385.55,387.45,379.75,381.2
2023-08-29,383.8,388.8,380.0,382.55
2023-08-30,382.65,399.7,382.65,396.75
2023-08-31,400.0,401.8,390.6,392.3
