date,open,high,low,close
2023-07-03,289.55,289.55,281.7,284.15
2023-07-04,284.9,286.1,277.3,278.75
2023-07-05,280.0,282.2,277.85,279.9
2023-07-06,281.7,298.0,280.35,288.75
2023-07-07,288.75,289.3,283.3,285.5
2023-07-10,285.3,295.0,284.45,290.15
2023-07-11,294.2,294.2,285.0,287.0
2023-07-12,290.05,294.45,288.8,291.2
2023-07-13,289.65,294.05,287.0,287.75
2023-07-14,296.0,296.0,279.95,285.65
2023-07-17,290.9,290.9,274.85,277.85
2023-07-18,278.0,284.25,278.0,279.35
2023-07-19,278.25,283.0,266.0,269.2
2023-07-20,268.0,270.85,261.0,264.2
2023-07-21,267.0,267.0,262.75,265.4
2023-07-24,266.0,267.5,257.1,259.55
2023-07-25,260.05,265.0,254.85,262.65
2023-07-26,263.0,264.9,253.7,257.1
2023-07-27,262.15,266.0,257.0,260.15
2023-07-28,263.0,264.95,249.05,259.7
2023-07-31,261.75,268.0,257.05,264.25
2023-08-01,260.0,266.3,258.0,260.65
2023-08-02,255.05,262.2,252.0,255.95
2023-08-03,259.45,259.95,253.1,257.6
2023-08-04,254.5,262.0,254.5,261.3
2023-08-07,261.3,264.95,256.6,260.15
2023-08-08,261.15,265.0,257.5,259.1
2023-08-09,259.05,267.65,256.9,265.6
2023-08-10,268.8,274.3,262.0,267.0
2023-08-11,270.95,275.95,263.0,272.4
2023-08-14,290.0,311.5,280.25,290.9
2023-08-16,289.15,310.0,289.15,308.8
2023-08-17,314.0,334.75,309.15,325.8
2023-08-18,328.0,329.3,309.95,315.75
2023-08-21,320.95,320.95,300.7,305.8
2023-08-22,305.8,311.05,294.15,298.75
2023-08-23,304.55,305.7,293.8,295.55
2023-08-24,298.3,309.4,297.05,299.3
2023-08-25,297.85,299.9,288.0,289.9
2023-08-28,294.15,295.6,282.15,285.55
2023-08-29,287.45,298.0,284.3,294.6
2023-08-30,292.5,298.0,288.0,288.95
2023-08-31,298.0,298.0,279.55,288.1
