date,open,high,low,close
2023-07-13,430.0,444.0,401.2,405.3
2023-07-16,406.0,412.5,385.0,400.55
2023-07-17,398.0,406.65,387.0,390.3
2023-07-18,392.0,394.9,384.35,385.2
2023-07-19,383.0,385.0,361.45,364.15
2023-07-20,361.95,381.8,358.45,375.0
2023-07-23,375.3,381.95,365.0,371.5
2023-07-24,374.8,379.3,370.05,377.55
2023-07-25,379.05,391.9,378.4,383.4
2023-07-26,384.5,386.95,380.5,384.6
2023-07-27,384.6,418.0,384.0,413.95
2023-07-30,418.4,426.0,413.0,415.15
2023-07-31,416.0,419.75,405.0,406.75
2023-08-01,404.9,408.35,387.8,391.1
2023-08-02,396.85,396.85,384.2,387.0
2023-08-03,390.7,399.65,390.05,393.95
2023-08-06,397.7,402.95,391.5,394.0
2023-08-07,395.95,397.8,388.55,393.05
2023-08-08,392.4,406.8,387.75,400.55
2023-08-09,398.4,415.7,386.0,389.7
2023-08-10,391.9,403.2,388.1,397.15
2023-08-13,399.9,410.4,391.15,405.95
2023-08-15,409.8,413.45,396.0,398.0
2023-08-16,402.95,408.0,396.15,405.5
2023-08-17,410.0,424.25,405.5,407.0
2023-08-20,415.0,419.7,401.1,412.15
2023-08-21,412.95,418.7,410.15,413.45
2023-08-22,416.5,432.3,412.45,418.4
2023-08-23,420.85,426.95,419.05,422.6
2023-08-24,420.6,422.85,411.15,415.15
2023-08-27,419.75,423.65,411.1,413.6
2023-08-28,417.9,418.35,403.5,404.55
2023-08-29,408.45,410.2,400.05,405.55
2023-08-30,408.0,414.45,400.0,407.1
2023-08-31,408.95,412.5,404.3,408.1
