date,open,high,low,close
2023-07-03,460.0,462.19,458.0,458.49
2023-07-04,460.5,462.89,452.0,461.58
2023-07-05,462.16,466.0,461.84,465.34
2023-07-06,464.55,466.69,459.71,461.91
2023-07-09,460.11,463.0,458.19,460.5
2023-07-10,460.9,463.9,458.67,462.31
2023-07-11,463.99,464.0,460.61,462.61
2023-07-12,463.17,467.07,459.72,461.39
2023-07-13,462.0,464.94,460.0,463.36
2023-07-16,463.36,466.36,463.25,465.43
2023-07-17,465.11,466.89,461.37,464.34
2023-07-18,464.34,467.57,463.65,466.39
2023-07-19,465.5,466.39,461.31,465.69
2023-07-20,465.99,466.9,460.36,464.15
2023-07-23,464.99,465.1,461.99,463.02
2023-07-24,463.79,465.94,462.3,464.63
2023-07-25,464.67,469.39,464.66,468.13
2023-07-26,466.13,471.0,465.93,469.93
2023-07-27,467.67,473.72,467.66,472.83
2023-07-30,474.49,476.93,472.84,475.34
2023-07-31,475.99,477.9,473.24,475.55
2023-08-01,475.54,475.54,465.54,469.05
2023-08-02,469.89,469.89,464.22,467.46
2023-08-03,469.39,471.89,468.18,470.34
2023-08-06,472.33,472.33,468.25,471.34
2023-08-07,471.34,472.84,467.43,469.94
2023-08-08,470.0,472.86,468.75,472.2
2023-08-09,472.2,472.89,468.83,469.92
2023-08-10,469.0,471.49,468.0,468.54
2023-08-13,464.11,467.16,458.01,462.96
2023-08-15,461.89,461.9,458.13,460.32
2023-08-16,465.0,465.0,460.56,461.44
2023-08-17,461.45,461.45,458.2,458.81
2023-08-20,458.14,475.0,458.14,469.73
2023-08-21,467.98,467.98,461.87,466.48
2023-08-22,467.89,468.25,464.36,466.56
2023-08-23,466.87,470.23,466.57,467.13
2023-08-24,467.0,468.39,462.6,464.24
2023-08-27,465.89,467.17,463.21,466.54
2023-08-28,467.89,469.0,466.06,467.53
2023-08-29,469.0,472.0,468.62,470.66
2023-08-30,471.0,471.99,466.7,467.28
2023-08-31,468.9,475.0,466.71,471.73
