date,open,high,low,close
2023-07-03,151.8,153.0,150.1,150.7
2023-07-04,151.8,154.7,150.15,153.95
2023-07-05,154.45,156.5,153.55,154.2
2023-07-06,155.0,156.1,151.55,153.35
2023-07-09,153.3,154.65,151.6,152.8
2023-07-10,153.9,155.65,153.05,153.7
2023-07-11,154.0,156.4,153.2,154.15
2023-07-12,155.0,155.9,151.9,152.1
2023-07-13,153.4,162.0,152.5,155.85
2023-07-16,157.0,159.45,154.1,154.65
2023-07-17,154.85,155.55,154.0,154.8
2023-07-18,154.8,156.4,152.5,153.3
2023-07-19,153.05,155.0,152.0,154.0
2023-07-20,155.0,156.8,152.8,154.05
2023-07-23,154.25,155.0,153.0,154.05
2023-07-24,155.0,155.7,152.85,153.4
2023-07-25,155.0,155.0,152.3,152.4
2023-07-26,154.5,155.45,152.0,154.85
2023-07-27,155.0,155.35,152.05,154.8
2023-07-30,155.35,155.45,153.5,154.1
2023-07-31,155.0,156.45,154.25,154.8
2023-08-01,154.8,156.0,153.5,153.9
2023-08-02,154.55,157.9,153.05,154.45
2023-08-03,156.4,157.45,154.3,155.0
2023-08-06,156.5,157.0,154.55,156.4
2023-08-07,156.5,157.15,155.0,156.05
2023-08-08,156.5,159.4,154.25,157.2
2023-08-09,158.45,158.65,156.2,156.75
2023-08-10,157.0,160.0,155.95,156.55
2023-08-13,157.5,157.5,151.5,153.25
2023-08-15,155.35,159.15,147.55,158.0
2023-08-16,158.95,158.95,154.55,155.55
2023-08-17,155.3,158.7,155.3,156.6
2023-08-20,158.15,166.0,157.95,161.0
2023-08-21,160.5,168.85,160.0,162.35
2023-08-22,163.1,165.0,159.2,160.55
2023-08-23,161.05,162.4,158.65,160.1
2023-08-24,158.6,161.95,155.8,157.0
2023-08-27,159.0,165.45,158.7,163.4
2023-08-28,164.65,165.55,162.15,164.3
2023-08-29,165.0,165.65,162.4,163.0
2023-08-30,164.0,164.85,160.5,161.45
2023-08-31,162.7,163.0,159.45,160.35
