date,open,high,low,close
2023-07-03,70.47,70.48,69.01,69.95
2023-07-04,70.86,70.86,69.1,69.95
2023-07-05,70.75,70.99,69.51,70.75
2023-07-06,70.31,70.54,69.78,69.86
2023-07-09,71.47,71.47,69.88,70.51
2023-07-10,70.81,71.3,70.41,70.87
2023-07-11,71.0,71.0,70.77,70.78
2023-07-12,72.4,73.27,72.1,73.14
2023-07-13,73.5,75.1,73.5,74.92
2023-07-16,75.01,75.2,74.6,74.68
2023-07-17,74.96,75.19,74.9,74.9
2023-07-18,72.85,75.89,72.85,75.3
2023-07-19,75.4,76.28,75.4,75.5
2023-07-20,75.51,75.8,74.31,74.59
2023-07-23,75.0,75.0,73.6,73.61
2023-07-24,74.39,74.39,73.44,73.8
2023-07-25,74.78,74.78,74.02,74.29
2023-07-26,75.48,75.48,74.61,75.0
2023-07-27,72.8,74.0,72.8,73.08
2023-07-30,73.88,73.88,73.12,73.56
2023-07-31,74.0,74.79,73.79,74.03
2023-08-01,73.85,74.47,73.75,73.75
2023-08-02,72.81,73.0,71.84,71.85
2023-08-03,72.0,72.99,71.72,71.72
2023-08-06,71.8,72.29,71.8,72.08
2023-08-07,72.08,72.08,70.4,71.24
2023-08-08,71.3,71.3,70.24,70.49
2023-08-09,71.47,71.48,69.91,70.39
2023-08-10,71.48,71.48,69.8,70.32
2023-08-13,70.21,70.3,69.62,70.23
2023-08-15,70.21,70.47,70.0,70.4
2023-08-16,70.67,70.67,69.65,70.0
2023-08-17,70.2,70.59,70.2,70.44
2023-08-20,70.45,70.99,70.21,70.57
2023-08-21,71.59,71.99,71.3,71.91
2023-08-22,71.06,72.6,71.06,72.52
2023-08-23,72.55,74.8,72.55,73.17
2023-08-24,73.16,73.59,73.0,73.36
2023-08-27,73.59,73.61,73.5,73.59
2023-08-28,73.59,73.9,73.59,73.66
2023-08-29,74.23,74.69,73.8,74.35
2023-08-30,74.35,74.35,73.99,74.18
2023-08-31,74.01,74.86,73.2,74.84
