date,open,high,low,close
2023-06-01,527.75,533.75,519.0,520.15
2023-06-02,521.0,529.0,519.0,524.7
2023-06-05,530.0,533.5,526.15,528.0
2023-06-06,531.9,531.9,526.1,529.4
2023-06-07,530.7,543.75,529.55,540.0
2023-06-08,547.0,561.0,539.9,544.5
2023-06-09,549.9,560.0,543.2,547.7
2023-06-12,550.0,561.0,549.5,556.3
2023-06-13,560.9,567.7,556.0,559.5
2023-06-14,562.3,565.0,545.35,548.4
2023-06-15,548.6,559.0,546.85,549.5
2023-06-16,554.4,564.0,550.05,552.6
2023-06-19,557.7,559.0,545.0,551.95
2023-06-20,551.95,560.0,550.0,553.85
2023-06-21,558.0,559.15,542.6,543.95
2023-06-22,544.6,551.75,538.5,539.3
2023-06-23,535.1,540.8,532.55,535.2
2023-06-26,532.6,542.85,530.2,535.55
2023-06-27,537.95,540.0,532.0,534.85
2023-06-28,535.15,543.8,533.0,535.9
2023-06-30,535.9,555.25,530.5,541.2
2023-07-03,545.0,554.7,536.0,539.4
2023-07-04,540.1,545.7,534.1,538.35
2023-07-05,539.9,553.0,535.15,546.55
2023-07-06,546.55,562.85,544.35,557.2
2023-07-07,560.0,565.65,551.6,558.6
2023-07-10,563.95,572.5,552.2,561.8
2023-07-11,562.0,575.0,558.1,562.55
2023-07-12,567.9,573.95,555.05,566.05
2023-07-13,566.0,569.95,554.0,559.2
2023-07-14,560.2,568.0,556.7,558.95
2023-07-17,560.0,570.0,555.85,559.9
2023-07-18,564.0,570.0,549.3,558.4
2023-07-19,563.0,569.0,549.0,553.8
2023-07-20,558.8,563.0,552.1,554.5
2023-07-21,554.9,564.9,553.0,557.65
2023-07-24,558.9,560.0,551.05,552.3
2023-07-25,556.0,558.0,550.05,551.65
2023-07-26,556.0,557.65,548.1,550.65
2023-07-27,552.9,556.4,540.65,542.75
2023-07-28,547.55,547.7,538.1,539.4
2023-07-31,549.0,555.3,537.1,551.7
2023-08-01,553.0,555.9,549.85,552.15
2023-08-02,552.0,558.45,538.7,541.5
2023-08-03,537.1,547.35,537.1,541.0
2023-08-04,546.5,549.25,540.1,541.3
2023-08-07,544.9,549.95,542.15,544.55
2023-08-08,547.25,561.85,538.95,557.8
2023-08-09,561.0,561.55,548.1,549.4
2023-08-10,563.0,564.6,550.25,554.75
2023-08-11,557.05,565.0,548.0,551.0
2023-08-14,539.6,539.6,500.1,526.95
2023-08-16,525.1,527.1,515.45,524.9
2023-08-17,527.0,533.1,524.0,527.8
2023-08-18,524.0,529.95,524.0,527.15
2023-08-21,529.5,540.4,528.0,535.3
2023-08-22,538.0,542.0,530.0,533.55
2023-08-23,536.0,543.15,532.45,535.65
2023-08-24,538.4,539.95,532.8,534.65
2023-08-25,535.9,539.0,531.0,536.5
2023-08-28,537.0,539.0,527.5,530.2
2023-08-29,530.2,537.55,524.2,526.65
2023-08-30,528.0,537.0,525.0,527.0
2023-08-31,530.0,536.2,530.0,533.8
