date,open,high,low,close
2023-07-03,5003.0,5017.1,4977.55,5003.75
2023-07-04,5004.0,5116.1,4976.85,5029.1
2023-07-05,5050.0,5095.6,5021.1,5053.55
2023-07-06,5078.9,5174.85,5039.85,5120.1
2023-07-07,5118.0,5164.95,5076.15,5130.1
2023-07-10,5125.0,5169.95,4910.0,4964.8
2023-07-11,4950.0,5088.0,4930.3,5001.1
2023-07-12,5043.0,5147.0,4959.9,5092.95
2023-07-13,5169.9,5197.0,5081.25,5145.7
2023-07-14,5145.0,5350.0,5144.95,5289.75
2023-07-17,5338.45,5381.95,5290.0,5317.85
2023-07-18,5397.0,5397.0,5248.7,5297.2
2023-07-19,5275.0,5325.05,5229.95,5267.5
2023-07-20,5266.95,5353.0,5205.55,5237.3
2023-07-21,5264.85,5274.6,5210.0,5258.9
2023-07-24,5285.2,5289.55,5187.05,5237.4
2023-07-25,5245.0,5279.35,5184.8,5251.8
2023-07-26,5251.8,5277.75,5115.55,5185.0
2023-07-27,5165.0,5243.9,5021.0,5050.4
2023-07-28,5100.0,5348.95,5097.75,5312.5
2023-07-31,5340.0,5426.4,5332.55,5364.9
2023-08-01,5485.0,5534.95,5305.85,5335.7
2023-08-02,5399.0,5399.0,5090.15,5141.6
2023-08-03,5222.0,5315.95,5115.05,5148.25
2023-08-04,5200.75,5394.7,5180.1,5233.05
2023-08-07,5339.95,5339.95,5140.1,5162.7
2023-08-08,5188.55,5214.8,5102.6,5139.0
2023-08-09,5165.8,5186.95,5102.0,5115.45
2023-08-10,5130.0,5156.15,5100.45,5108.9
2023-08-11,5130.0,5130.0,5039.05,5068.85
2023-08-14,5068.8,5115.8,4934.9,4997.8
2023-08-16,5030.0,5040.05,4965.15,4992.8
2023-08-17,4992.65,5012.85,4923.0,4932.4
2023-08-18,4934.0,5128.0,4895.0,5101.35
2023-08-21,5099.95,5113.5,5019.0,5044.05
2023-08-22,5049.9,5109.85,5002.0,5053.4
2023-08-23,5073.9,5166.25,5060.0,5096.85
2023-08-24,5179.5,5179.5,5055.45,5148.85
2023-08-25,5148.55,5175.0,4999.0,5045.4
2023-08-28,5096.3,5096.3,5010.0,5085.6
2023-08-29,5085.0,5136.9,5042.0,5092.3
2023-08-30,5200.0,5255.95,5161.35,5183.7
2023-08-31,5230.0,5254.25,5160.05,5212.05
