date,open,high,low,close
2023-07-03,75.9,75.9,74.8,75.1
2023-07-04,74.95,75.35,74.6,75.0
2023-07-05,75.0,75.5,74.4,74.5
2023-07-06,75.0,75.0,74.2,74.45
2023-07-07,74.15,74.95,73.7,74.0
2023-07-10,74.6,74.6,72.2,73.05
2023-07-11,73.9,73.9,73.2,73.35
2023-07-12,73.4,73.95,72.95,73.5
2023-07-13,74.5,74.5,73.25,73.65
2023-07-14,73.4,74.4,73.15,73.55
2023-07-17,74.4,74.4,73.1,73.35
2023-07-18,74.0,74.0,73.1,73.4
2023-07-19,73.85,73.95,73.3,73.45
2023-07-20,73.5,73.9,73.2,73.75
2023-07-21,73.55,73.8,72.9,73.4
2023-07-24,73.4,73.95,71.3,72.6
2023-07-25,73.6,73.8,72.95,73.15
2023-07-26,73.15,73.3,72.35,72.75
2023-07-27,73.6,73.8,72.6,73.7
2023-07-28,74.1,74.7,73.25,74.35
2023-07-31,75.45,75.45,72.65,73.45
2023-08-01,74.1,74.45,73.0,73.8
2023-08-02,73.6,74.45,72.95,73.2
2023-08-03,72.7,74.35,72.7,72.95
2023-08-04,72.95,74.0,72.75,72.9
2023-08-07,73.9,75.15,73.2,74.65
2023-08-08,75.45,76.15,74.75,75.35
2023-08-09,75.85,75.85,74.35,75.2
2023-08-10,77.0,77.4,74.85,75.25
2023-08-11,76.4,76.4,74.75,75.05
2023-08-14,75.4,75.4,74.3,74.5
2023-08-16,75.0,76.0,74.0,75.25
2023-08-17,75.9,75.9,74.85,75.6
2023-08-18,71.0,80.9,71.0,78.75
2023-08-21,80.45,80.5,77.7,78.65
2023-08-22,79.85,80.55,78.6,79.0
2023-08-23,78.25,80.35,78.25,79.4
2023-08-24,79.55,80.0,77.5,77.85
2023-08-25,78.35,79.0,76.2,76.85
2023-08-28,78.0,78.65,76.9,77.3
2023-08-29,78.0,78.85,77.5,77.6
2023-08-30,78.9,78.9,77.25,78.0
2023-08-31,78.75,78.75,76.9,77.15
