date,open,high,low,close
2023-06-01,3752.4,3774.9,3710.0,3765.9
2023-06-02,3779.9,3800.0,3760.0,3783.3
2023-06-05,3811.0,3850.0,3787.5,3831.45
2023-06-06,3850.0,3860.0,3825.05,3847.0
2023-06-07,3857.0,3890.0,3838.2,3886.9
2023-06-08,3905.0,3950.0,3869.0,3888.6
2023-06-09,3900.0,3900.05,3861.2,3884.0
2023-06-12,3890.35,3894.9,3830.9,3881.75
2023-06-13,3899.75,3951.95,3861.0,3871.7
2023-06-14,3899.0,3899.0,3851.0,3868.75
2023-06-15,3888.9,3888.9,3835.0,3845.45
2023-06-16,3847.9,3877.0,3750.0,3799.15
2023-06-19,3816.0,3857.95,3803.7,3833.8
2023-06-20,3810.0,3833.8,3788.05,3811.35
2023-06-21,3816.65,3885.0,3802.2,3849.05
2023-06-22,3866.1,3894.0,3821.0,3832.6
2023-06-23,3832.6,3845.0,3730.35,3746.05
2023-06-26,3765.0,3775.0,3706.15,3753.2
2023-06-27,3770.0,3790.0,3707.0,3745.2
2023-06-28,3775.7,3850.0,3725.2,3843.0
2023-06-30,3780.05,3788.05,3730.0,3740.3
2023-07-03,3739.3,3780.0,3720.0,3724.6
2023-07-04,3730.35,3764.2,3706.05,3727.1
2023-07-05,3756.95,3756.95,3697.6,3708.0
2023-07-06,3733.3,3745.0,3681.1,3702.6
2023-07-07,3716.95,3726.95,3658.5,3667.2
2023-07-10,3698.95,3698.95,3536.95,3550.4
2023-07-11,3579.75,3592.85,3453.35,3543.85
2023-07-12,3530.0,3646.8,3511.5,3603.0
2023-07-13,3625.0,3705.0,3625.0,3665.4
2023-07-14,3684.75,3714.95,3660.85,3684.25
2023-07-17,3693.45,3724.0,3655.15,3681.4
2023-07-18,3681.0,3699.95,3665.0,3686.05
2023-07-19,3699.8,3715.0,3673.65,3699.55
2023-07-20,3725.0,3750.0,3679.55,3746.4
2023-07-21,3746.4,3809.2,3721.2,3775.95
2023-07-24,3800.0,3811.0,3707.05,3764.35
2023-07-25,3784.2,3805.0,3760.05,3779.65
2023-07-26,3800.0,3847.2,3796.15,3831.45
2023-07-27,3839.95,3857.0,3824.5,3840.55
2023-07-28,3850.0,3864.95,3801.1,3814.95
2023-07-31,3822.55,3855.0,3762.0,3800.55
2023-08-01,3802.2,3850.0,3802.2,3848.55
2023-08-02,3859.95,3890.0,3824.0,3879.0
2023-08-03,3888.0,3912.7,3758.05,3797.95
2023-08-04,3770.15,3860.8,3768.25,3851.85
2023-08-07,3875.0,3890.0,3852.05,3880.1
2023-08-08,3886.3,3915.9,3852.25,3891.5
2023-08-09,3880.0,3970.0,3877.65,3955.65
2023-08-10,3970.0,4125.0,3956.05,4107.45
2023-08-11,4130.0,4190.0,4040.0,4073.65
2023-08-14,4107.9,4193.8,4052.55,4162.25
2023-08-16,4184.4,4290.5,4150.0,4264.55
2023-08-17,4285.0,4397.8,4252.55,4344.45
2023-08-18,4344.45,4410.0,4282.55,4348.65
2023-08-21,4374.9,4450.0,4285.0,4364.1
2023-08-22,4367.1,4387.1,4285.0,4359.4
2023-08-23,4369.95,4425.0,4359.8,4370.75
2023-08-24,4404.95,4519.75,4375.0,4505.55
2023-08-25,4499.0,4615.5,4473.05,4597.4
2023-08-28,4615.0,4980.0,4601.05,4889.9
2023-08-29,4895.0,4913.45,4805.25,4893.85
2023-08-30,4893.85,4940.0,4846.6,4900.5
2023-08-31,4920.0,4926.3,4803.0,4838.3
