date,open,high,low,close
2023-07-03,144.7,145.8,142.55,143.35
2023-07-04,144.6,145.35,142.2,143.05
2023-07-05,144.45,153.9,142.9,149.25
2023-07-06,149.5,151.15,146.65,148.8
2023-07-09,150.2,151.4,147.1,148.3
2023-07-10,149.2,150.8,148.0,148.3
2023-07-11,149.4,150.0,143.65,144.45
2023-07-12,146.25,146.75,141.2,143.2
2023-07-13,144.2,145.15,142.0,143.05
2023-07-16,144.25,145.7,142.5,143.2
2023-07-17,143.4,145.5,141.1,142.5
2023-07-18,142.55,144.5,141.55,143.55
2023-07-19,144.95,145.1,142.75,143.45
2023-07-20,143.0,144.25,140.1,143.0
2023-07-23,144.15,149.4,142.3,145.75
2023-07-24,145.75,148.9,141.8,142.9
2023-07-25,143.9,144.6,142.0,142.8
2023-07-26,143.85,144.65,141.45,142.6
2023-07-27,142.6,143.85,141.05,142.1
2023-07-30,144.75,145.95,143.1,145.2
2023-07-31,146.0,147.0,143.25,143.8
2023-08-01,145.5,162.95,145.5,158.7
2023-08-02,163.0,168.5,160.5,167.15
2023-08-03,167.55,168.5,164.15,166.8
2023-08-06,167.2,169.95,164.1,167.25
2023-08-07,166.2,166.7,160.85,163.35
2023-08-08,162.1,169.9,161.0,165.35
2023-08-09,165.95,167.8,161.15,162.2
2023-08-10,163.0,165.65,158.0,159.45
2023-08-13,160.95,163.9,155.6,162.25
2023-08-15,162.25,163.2,158.4,159.1
2023-08-16,159.1,160.65,156.0,157.65
2023-08-17,157.65,159.95,155.85,156.65
2023-08-20,156.7,158.45,152.15,153.15
2023-08-21,153.35,162.0,153.35,160.7
2023-08-22,162.0,163.85,160.35,161.25
2023-08-23,162.0,162.4,157.3,158.2
2023-08-24,159.0,160.9,156.3,157.6
2023-08-27,157.95,160.95,157.1,160.05
2023-08-28,161.45,161.95,157.55,158.3
2023-08-29,159.65,159.65,155.1,156.95
2023-08-30,157.5,159.35,154.15,157.15
2023-08-31,157.15,162.0,156.55,161.15
