date,open,high,low,close
2023-06-01,438.95,438.95,418.0,419.9
2023-06-02,425.95,427.0,415.6,417.6
2023-06-05,424.5,426.0,421.05,423.7
2023-06-06,422.6,431.55,420.0,426.1
2023-06-07,430.0,464.0,429.95,459.35
2023-06-08,469.45,469.45,452.0,456.6
2023-06-09,459.95,463.9,440.6,449.4
2023-06-12,451.85,455.0,445.5,446.7
2023-06-13,451.45,451.7,441.05,445.7
2023-06-14,453.95,453.95,438.25,441.1
2023-06-15,440.05,446.45,436.0,438.65
2023-06-16,445.25,445.95,434.25,436.3
2023-06-19,449.5,449.5,433.1,434.95
2023-06-20,449.0,449.0,435.0,436.35
2023-06-21,442.2,442.2,432.3,433.55
2023-06-22,437.1,438.75,423.95,427.65
2023-06-23,422.65,428.9,421.0,421.9
2023-06-26,424.1,427.1,419.85,420.35
2023-06-27,429.95,429.95,412.7,417.1
2023-06-28,422.3,428.75,415.25,426.3
2023-06-30,423.5,428.95,418.5,422.8
2023-07-03,429.95,429.95,420.9,426.45
2023-07-04,426.55,428.95,422.0,424.7
2023-07-05,421.5,427.4,421.5,424.05
2023-07-06,425.1,425.1,416.0,418.2
2023-07-07,415.0,422.35,415.0,417.0
2023-07-10,417.1,424.9,415.1,420.95
2023-07-11,424.1,427.7,420.35,421.2
2023-07-12,423.6,423.6,417.05,420.25
2023-07-13,422.1,429.0,416.2,420.15
2023-07-14,421.0,423.65,416.0,418.0
2023-07-17,425.0,430.0,412.0,412.75
2023-07-18,415.6,418.75,410.75,415.0
2023-07-19,416.45,420.0,413.15,417.75
2023-07-20,417.25,420.45,409.25,411.0
2023-07-21,413.95,415.9,405.0,406.05
2023-07-24,405.9,420.1,404.3,411.85
2023-07-25,412.65,427.9,410.0,425.75
2023-07-26,444.0,444.0,423.55,428.35
2023-07-27,429.8,437.95,426.9,431.75
2023-07-28,435.4,439.85,430.1,433.9
2023-07-31,439.0,439.0,421.2,427.5
2023-08-01,432.95,435.0,416.3,428.35
2023-08-02,423.9,432.0,415.85,417.85
2023-08-03,419.65,429.35,415.75,426.15
2023-08-04,426.2,429.95,420.5,425.8
2023-08-07,422.0,432.0,416.0,423.2
2023-08-08,420.9,431.9,420.7,425.15
2023-08-09,421.0,432.4,421.0,431.3
2023-08-10,434.45,440.95,427.0,432.65
2023-08-11,438.0,438.0,421.0,422.9
2023-08-14,410.05,419.0,394.0,403.2
2023-08-16,404.05,412.95,397.55,411.85
2023-08-17,411.85,413.45,403.0,404.0
2023-08-18,406.3,408.0,400.05,401.4
2023-08-21,404.3,404.3,395.95,400.05
2023-08-22,401.0,401.65,396.2,399.25
2023-08-23,401.05,404.9,396.95,402.9
2023-08-24,408.85,408.85,397.0,399.85
2023-08-25,395.25,404.6,390.0,392.0
2023-08-28,399.4,399.4,388.85,390.2
2023-08-29,391.55,392.95,386.0,387.8
2023-08-30,387.8,404.55,387.8,395.7
2023-08-31,399.6,407.0,388.1,395.35
