date,open,high,low,close
2023-07-03,437.9,446.9,437.55,445.5
2023-07-04,446.65,449.8,442.05,448.65
2023-07-05,446.85,448.7,439.1,441.1
2023-07-06,441.15,442.05,431.05,432.95
2023-07-09,436.0,437.0,427.05,430.15
2023-07-10,429.8,430.8,415.0,416.85
2023-07-11,418.0,418.0,408.4,415.45
2023-07-12,417.9,425.5,414.05,417.6
2023-07-13,419.7,424.2,412.5,416.45
2023-07-16,416.8,426.0,415.6,423.9
2023-07-17,426.1,426.1,402.9,405.15
2023-07-18,407.0,413.4,406.0,410.85
2023-07-19,412.0,413.7,408.0,409.15
2023-07-20,408.95,415.8,406.0,414.1
2023-07-23,415.0,416.15,409.05,411.15
2023-07-24,412.0,412.9,408.05,409.6
2023-07-25,410.5,414.0,406.5,409.45
2023-07-26,409.95,411.5,407.05,408.6
2023-07-27,409.9,411.9,406.55,407.2
2023-07-30,408.05,414.95,406.1,412.8
2023-07-31,397.0,411.85,396.05,408.4
2023-08-01,408.0,412.3,404.25,406.8
2023-08-02,405.8,412.5,402.85,411.55
2023-08-03,411.6,422.95,409.1,419.15
2023-08-06,420.0,421.7,408.0,415.1
2023-08-07,417.2,422.6,407.15,412.1
2023-08-08,412.75,418.25,410.0,415.5
2023-08-09,415.0,416.8,412.65,415.25
2023-08-10,415.25,417.55,414.15,415.1
2023-08-13,407.0,415.1,406.2,412.0
2023-08-15,411.0,415.0,409.0,413.2
2023-08-16,413.6,414.05,409.05,410.7
2023-08-17,410.65,416.0,405.6,409.7
2023-08-20,409.05,409.45,404.05,405.15
2023-08-21,405.4,407.7,403.95,404.7
2023-08-22,408.65,411.2,404.7,406.2
2023-08-23,408.0,410.1,404.4,405.85
2023-08-24,402.2,406.85,402.2,405.35
2023-08-27,407.45,409.9,403.9,407.3
2023-08-28,408.95,435.0,408.0,432.35
2023-08-29,434.25,444.0,434.0,442.0
2023-08-30,440.75,448.0,431.3,440.5
2023-08-31,438.0,443.95,432.85,438.95
