date,open,high,low,close
2023-06-01,55.7,58.55,55.7,58.15
2023-06-02,59.15,59.55,57.8,58.25
2023-06-05,58.55,59.55,57.7,58.2
2023-06-06,58.2,59.4,57.75,58.6
2023-06-07,58.05,59.1,57.8,58.85
2023-06-08,59.2,60.6,58.4,60.15
2023-06-09,60.9,61.85,60.05,60.25
2023-06-12,60.25,60.25,59.0,59.55
2023-06-13,59.7,59.9,58.65,58.8
2023-06-14,59.45,63.7,58.6,63.05
2023-06-15,64.1,66.75,62.75,63.6
2023-06-16,64.2,66.65,63.35,65.55
2023-06-19,66.0,66.0,63.25,63.4
2023-06-20,63.55,67.8,63.15,67.0
2023-06-21,67.35,67.8,66.8,67.0
2023-06-22,67.0,67.2,65.0,65.3
2023-06-23,65.75,65.75,63.1,63.6
2023-06-26,64.0,64.65,63.25,63.4
2023-06-27,63.3,65.3,63.3,63.75
2023-06-28,63.75,65.1,63.0,63.3
2023-06-30,63.3,64.5,62.3,63.3
2023-07-03,63.75,64.25,61.0,61.4
2023-07-04,61.95,63.0,60.05,60.7
2023-07-05,61.2,62.6,61.0,61.8
2023-07-06,61.3,64.0,61.3,63.5
2023-07-07,62.6,64.3,62.6,63.55
2023-07-10,63.05,64.2,61.8,62.2
2023-07-11,62.35,63.25,61.0,61.6
2023-07-12,62.15,63.55,61.85,62.7
2023-07-13,62.7,63.5,59.6,60.95
2023-07-14,61.7,61.85,59.7,61.2
2023-07-17,61.5,67.1,61.5,63.05
2023-07-18,63.6,64.25,62.55,63.35
2023-07-19,64.0,64.6,62.1,63.1
2023-07-20,63.7,63.7,62.0,62.4
2023-07-21,62.5,64.05,62.3,63.05
2023-07-24,63.2,64.0,63.0,63.3
2023-07-25,63.5,65.35,63.25,63.55
2023-07-26,63.8,64.2,62.85,63.1
2023-07-27,62.5,66.0,62.5,64.9
2023-07-28,64.5,65.8,64.25,64.7
2023-07-31,65.2,66.5,63.4,63.7
2023-08-01,63.9,64.9,63.15,63.45
2023-08-02,64.0,65.5,62.0,62.5
2023-08-03,63.15,63.75,62.25,62.45
2023-08-04,63.0,64.15,62.75,63.65
2023-08-07,63.95,64.9,62.55,62.9
2023-08-08,63.35,68.4,63.2,66.35
2023-08-09,67.0,68.4,64.8,67.5
2023-08-10,68.1,68.15,66.3,66.8
2023-08-11,67.0,67.4,65.5,65.8
2023-08-14,66.0,66.25,63.5,65.6
2023-08-16,65.6,66.0,64.6,65.3
2023-08-17,65.3,67.3,65.3,66.05
2023-08-18,65.8,69.4,65.75,67.05
2023-08-21,67.0,67.8,65.5,66.05
2023-08-22,66.6,67.5,65.3,65.6
2023-08-23,65.95,66.25,65.4,65.7
2023-08-24,65.6,66.55,64.15,65.25
2023-08-25,65.25,65.65,63.5,64.55
2023-08-28,65.5,66.4,64.5,65.25
2023-08-29,65.8,67.3,65.5,66.25
2023-08-30,66.4,66.95,64.9,65.2
2023-08-31,65.85,66.0,64.25,64.45
