date,open,high,low,close
2023-07-03,321.4,332.4,320.0,325.25
2023-07-04,331.95,388.8,331.0,380.4
2023-07-05,382.4,434.0,379.3,409.75
2023-07-06,409.75,444.4,392.35,436.65
2023-07-07,430.0,446.4,421.2,433.95
2023-07-10,438.45,451.45,423.15,426.3
2023-07-11,427.05,487.8,423.5,466.35
2023-07-12,470.9,475.0,451.2,459.75
2023-07-13,463.0,483.5,452.95,458.75
2023-07-14,456.3,476.05,456.1,472.55
2023-07-17,478.0,489.8,474.75,479.1
2023-07-18,483.0,485.0,455.0,461.8
2023-07-19,462.0,468.25,444.0,446.3
2023-07-20,446.0,459.85,445.0,452.1
2023-07-21,448.0,455.0,445.05,445.6
2023-07-24,454.0,498.0,452.0,490.6
2023-07-25,505.0,512.7,480.0,482.0
2023-07-26,486.35,498.0,462.55,481.4
2023-07-27,494.0,494.2,471.0,475.2
2023-07-28,475.2,520.7,474.8,506.85
2023-07-31,520.7,595.05,508.0,564.45
2023-08-01,571.4,642.6,546.65,551.8
2023-08-02,555.5,564.9,519.95,537.85
2023-08-03,537.0,574.6,537.0,567.05
2023-08-04,570.0,608.0,570.0,599.75
2023-08-07,607.0,613.9,551.7,558.35
2023-08-08,566.6,579.0,552.15,555.6
2023-08-09,556.6,563.4,541.5,546.05
2023-08-10,549.8,553.95,532.0,538.5
2023-08-11,544.85,572.5,521.95,527.85
2023-08-14,571.1,601.0,560.0,569.6
2023-08-16,574.8,607.0,569.0,598.7
2023-08-17,604.0,604.0,575.1,582.2
2023-08-18,585.8,586.0,555.8,567.3
2023-08-21,567.3,575.95,534.0,536.95
2023-08-22,536.95,574.95,536.95,565.9
2023-08-23,564.5,564.5,552.35,556.45
2023-08-24,559.0,567.4,545.15,547.45
2023-08-25,549.0,563.4,537.4,547.45
2023-08-28,544.0,552.0,526.0,531.1
2023-08-29,535.05,540.65,521.0,526.0
2023-08-30,526.0,538.0,524.2,527.85
2023-08-31,527.0,535.95,525.1,532.75
