date,open,high,low,close
2023-06-01,71.15,73.4,67.95,69.5
2023-06-02,70.55,74.0,69.2,71.1
2023-06-05,71.0,72.85,70.15,70.95
2023-06-06,73.0,73.15,70.75,71.35
2023-06-07,71.65,75.7,71.65,74.3
2023-06-08,74.9,77.45,72.2,76.25
2023-06-09,77.35,79.0,76.45,77.1
2023-06-12,77.1,77.1,74.5,74.9
2023-06-13,74.0,76.2,72.2,74.0
2023-06-14,74.8,75.5,72.85,73.55
2023-06-15,74.6,74.8,72.1,72.9
2023-06-16,72.9,74.95,72.85,73.8
2023-06-19,74.85,74.95,72.15,72.8
2023-06-20,72.8,73.45,71.25,72.0
2023-06-21,73.05,73.05,70.6,71.45
2023-06-22,71.35,72.4,70.8,71.2
2023-06-23,72.2,72.2,68.65,69.45
2023-06-26,70.0,70.0,68.05,68.65
2023-06-27,67.0,69.65,66.55,67.25
2023-06-28,67.3,68.25,66.1,66.85
2023-06-30,66.85,68.95,66.85,67.35
2023-07-03,67.4,68.55,64.35,65.25
2023-07-04,66.25,66.35,63.9,64.05
2023-07-05,61.7,64.95,61.7,63.8
2023-07-06,63.85,69.9,63.85,68.95
2023-07-07,70.05,71.1,67.25,67.75
2023-07-10,67.75,70.0,66.55,67.8
2023-07-11,68.25,69.7,66.45,67.55
2023-07-12,67.1,68.55,66.6,66.75
2023-07-13,66.45,67.65,62.1,62.5
2023-07-14,63.35,64.3,61.9,62.0
2023-07-17,62.05,68.0,61.7,64.4
2023-07-18,64.4,65.25,64.0,64.7
2023-07-19,64.7,66.0,63.65,64.1
2023-07-20,64.6,66.45,63.9,65.15
2023-07-21,64.15,65.2,63.9,64.35
2023-07-24,64.3,64.85,63.15,64.0
2023-07-25,65.4,65.4,63.5,64.0
2023-07-26,65.4,65.4,63.0,63.65
2023-07-27,63.65,65.2,63.65,64.1
2023-07-28,64.6,64.9,64.0,64.0
2023-07-31,64.0,66.25,63.4,64.0
2023-08-01,64.9,64.9,63.65,64.25
2023-08-02,64.9,65.0,62.4,62.9
2023-08-03,63.7,63.9,62.3,62.7
2023-08-04,63.55,63.7,62.7,62.95
2023-08-07,63.85,64.2,62.25,62.7
2023-08-08,63.65,63.75,60.3,60.8
2023-08-09,60.05,62.85,60.05,61.25
2023-08-10,62.3,62.3,60.05,61.3
2023-08-11,61.8,62.2,60.3,60.5
2023-08-14,60.9,60.9,59.2,60.4
2023-08-16,59.5,61.2,59.5,59.85
2023-08-17,60.8,60.8,58.0,59.3
2023-08-18,59.0,59.65,58.15,58.55
2023-08-21,58.8,59.8,57.55,58.1
2023-08-22,57.35,59.25,57.35,58.2
2023-08-23,59.6,59.6,58.2,58.8
2023-08-24,59.8,66.05,58.8,65.2
2023-08-25,64.6,65.8,63.45,64.45
2023-08-28,64.45,67.25,63.6,64.3
2023-08-29,65.4,67.9,64.5,66.6
2023-08-30,67.7,68.0,66.0,66.85
2023-08-31,67.4,74.4,65.85,70.55
