date,open,high,low,close
2023-06-01,231.65,232.25,229.95,230.25
2023-06-02,231.0,232.45,229.25,230.6
2023-06-05,232.95,233.3,229.85,230.4
2023-06-06,231.6,231.6,228.25,229.55
2023-06-07,231.0,239.9,230.05,239.4
2023-06-08,240.0,240.25,235.0,235.3
2023-06-09,238.75,240.0,233.35,234.35
2023-06-12,233.55,235.4,232.8,233.45
2023-06-13,234.25,237.85,234.0,237.05
2023-06-14,237.5,253.1,236.5,251.1
2023-06-15,251.5,254.4,248.2,249.75
2023-06-16,250.0,251.85,245.7,248.75
2023-06-19,250.0,251.7,247.65,248.45
2023-06-20,249.4,250.0,245.0,248.8
2023-06-21,249.55,256.8,245.7,247.2
2023-06-22,248.45,248.5,241.15,241.85
2023-06-23,242.75,242.9,238.05,241.3
2023-06-26,241.3,249.7,241.3,249.05
2023-06-27,249.5,250.4,245.25,246.6
2023-06-28,248.6,249.0,245.9,246.5
2023-06-30,248.5,249.35,245.8,247.95
2023-07-03,249.9,250.75,246.85,248.0
2023-07-04,249.5,249.75,246.1,247.0
2023-07-05,247.9,249.05,243.05,244.25
2023-07-06,244.95,245.15,243.05,243.7
2023-07-07,244.4,245.6,239.85,240.35
2023-07-10,241.45,241.45,237.7,240.3
2023-07-11,243.25,243.55,240.2,242.75
2023-07-12,243.0,245.45,243.0,244.25
2023-07-13,245.35,246.05,240.0,240.75
2023-07-14,240.8,244.75,240.05,244.1
2023-07-17,244.85,247.6,244.7,246.95
2023-07-18,247.75,249.8,245.0,248.25
2023-07-19,250.0,254.0,244.85,250.75
2023-07-20,246.5,253.9,246.5,252.65
2023-07-21,252.65,255.4,247.1,247.9
2023-07-24,249.15,251.65,247.4,250.25
2023-07-25,250.15,253.6,248.25,252.75
2023-07-26,252.0,258.8,252.0,254.25
2023-07-27,255.05,255.5,248.0,249.1
2023-07-28,249.9,251.65,247.7,250.95
2023-07-31,251.95,251.95,249.45,250.7
2023-08-01,252.1,253.0,250.0,251.95
2023-08-02,252.0,252.0,245.1,246.75
2023-08-03,247.95,247.95,244.4,245.55
2023-08-04,246.7,248.15,243.55,244.15
2023-08-07,244.4,246.9,242.85,245.8
2023-08-08,247.0,251.1,244.4,249.05
2023-08-09,249.95,252.1,248.15,251.6
2023-08-10,251.55,253.35,249.05,249.3
2023-08-11,249.0,249.05,236.05,243.3
2023-08-14,242.0,247.45,242.0,246.9
2023-08-16,246.9,246.9,244.05,245.25
2023-08-17,245.6,247.2,243.5,246.45
2023-08-18,246.9,247.65,244.0,245.3
2023-08-21,245.9,247.7,244.55,247.0
2023-08-22,247.95,249.5,246.15,247.75
2023-08-23,248.95,248.95,244.95,245.7
2023-08-24,246.1,249.45,246.1,246.75
2023-08-25,246.7,247.9,243.5,244.55
2023-08-28,244.1,247.5,242.3,246.45
2023-08-29,245.5,248.35,243.0,245.3
2023-08-30,245.8,250.0,245.8,248.6
2023-08-31,246.05,248.85,244.75,245.7
