date,open,high,low,close
2023-06-01,207.95,218.9,206.05,216.25
2023-06-02,215.05,223.5,215.05,222.5
2023-06-05,224.3,232.85,222.8,227.65
2023-06-06,229.6,229.7,220.65,222.45
2023-06-07,223.9,225.25,220.25,223.65
2023-06-08,229.2,232.7,220.5,227.35
2023-06-09,229.0,230.0,215.2,217.6
2023-06-12,219.35,223.55,216.25,217.4
2023-06-13,218.8,223.0,215.2,217.5
2023-06-14,218.8,223.35,216.5,217.65
2023-06-15,218.6,221.05,216.0,216.75
2023-06-16,217.45,219.55,212.0,213.85
2023-06-19,215.35,221.75,215.3,216.65
2023-06-20,217.4,218.45,213.6,214.45
2023-06-21,215.85,216.75,207.1,210.1
2023-06-22,210.1,218.55,210.1,217.55
2023-06-23,218.6,240.5,217.45,232.95
2023-06-26,232.9,232.9,213.85,220.75
2023-06-27,224.45,230.0,220.1,225.95
2023-06-28,228.0,228.2,221.0,223.2
2023-06-30,224.0,249.4,224.0,247.1
2023-07-03,247.8,247.8,238.1,241.8
2023-07-04,243.4,243.8,237.75,241.45
2023-07-05,241.95,242.45,235.0,236.35
2023-07-06,236.35,242.7,234.5,235.45
2023-07-07,235.05,237.6,232.0,235.9
2023-07-10,236.85,241.2,235.0,239.85
2023-07-11,241.1,245.0,238.5,243.55
2023-07-12,245.95,254.8,244.3,252.3
2023-07-13,254.65,255.8,247.4,249.3
2023-07-14,251.0,251.5,247.4,249.05
2023-07-17,249.1,249.9,235.9,244.7
2023-07-18,245.0,249.9,238.2,245.25
2023-07-19,246.5,253.2,244.3,249.2
2023-07-20,250.45,252.4,247.0,248.35
2023-07-21,248.0,262.0,247.95,253.7
2023-07-24,254.85,260.35,249.9,253.1
2023-07-25,255.8,268.2,253.25,255.4
2023-07-26,257.0,262.9,257.0,259.8
2023-07-27,262.4,263.75,257.05,259.05
2023-07-28,259.9,261.45,254.95,259.4
2023-07-31,260.65,265.0,259.0,260.7
2023-08-01,262.7,266.5,261.2,262.55
2023-08-02,263.35,269.75,257.4,261.6
2023-08-03,262.75,268.95,260.6,262.4
2023-08-04,262.55,265.75,260.9,261.7
2023-08-07,260.5,261.95,230.9,255.7
2023-08-08,252.6,261.0,250.0,254.7
2023-08-09,255.8,257.0,250.0,254.95
2023-08-10,254.95,256.6,250.0,251.05
2023-08-11,251.5,256.5,245.65,249.1
2023-08-14,250.15,256.35,239.2,244.85
2023-08-16,243.0,246.95,240.3,243.5
2023-08-17,245.0,250.35,238.2,246.7
2023-08-18,248.25,256.75,247.5,254.35
2023-08-21,257.25,264.8,253.6,260.3
2023-08-22,261.4,261.4,255.1,257.3
2023-08-23,255.05,258.6,253.15,254.3
2023-08-24,249.75,256.2,248.0,253.6
2023-08-25,254.9,268.3,254.25,261.4
2023-08-28,263.5,272.15,257.0,260.6
2023-08-29,262.35,263.95,256.65,261.8
2023-08-30,262.25,263.9,258.55,259.75
2023-08-31,261.85,274.3,260.25,265.0
