date,open,high,low,close
2023-06-01,554.85,564.0,549.6,555.2
2023-06-02,560.45,586.0,558.2,572.5
2023-06-05,578.9,578.9,554.1,555.9
2023-06-06,561.7,563.85,556.5,557.9
2023-06-07,563.05,564.0,555.1,555.95
2023-06-08,557.0,561.0,545.05,547.85
2023-06-09,547.85,569.75,547.85,550.9
2023-06-12,555.4,562.4,554.0,559.8
2023-06-13,564.0,580.0,561.45,570.9
2023-06-14,571.6,573.55,561.0,564.45
2023-06-15,564.45,583.75,564.45,577.85
2023-06-16,581.8,597.0,580.05,585.9
2023-06-19,590.05,598.0,583.5,585.75
2023-06-20,587.35,594.7,581.4,587.65
2023-06-21,592.7,602.0,584.1,586.9
2023-06-22,586.95,604.6,583.9,586.05
2023-06-23,588.0,592.9,577.9,580.95
2023-06-26,581.95,594.0,571.5,585.1
2023-06-27,585.9,597.0,574.0,575.7
2023-06-28,578.0,583.75,571.5,572.55
2023-06-30,575.0,584.9,572.95,581.8
2023-07-03,586.4,587.15,568.45,570.3
2023-07-04,574.4,574.4,556.0,558.05
2023-07-05,560.0,562.65,555.55,559.9
2023-07-06,562.0,564.6,557.0,557.8
2023-07-07,557.8,572.9,557.5,568.55
2023-07-10,574.15,580.9,565.5,575.8
2023-07-11,578.9,588.45,575.6,581.8
2023-07-12,582.6,594.35,581.45,590.25
2023-07-13,593.95,596.9,578.95,588.0
2023-07-14,592.0,593.7,579.05,586.95
2023-07-17,589.35,593.95,579.0,579.75
2023-07-18,580.0,583.45,568.9,573.75
2023-07-19,573.7,582.0,569.0,570.75
2023-07-20,572.0,578.65,569.25,571.2
2023-07-21,570.0,576.7,564.3,569.95
2023-07-24,570.0,577.2,567.1,568.9
2023-07-25,572.0,593.85,572.0,583.35
2023-07-26,583.95,588.3,574.05,576.15
2023-07-27,577.0,579.3,565.55,572.25
2023-07-28,572.1,587.0,571.05,585.8
2023-07-31,589.75,610.0,588.25,595.15
2023-08-01,593.95,599.4,578.55,581.15
2023-08-02,581.15,586.5,571.2,576.25
2023-08-03,572.1,575.6,567.55,571.85
2023-08-04,575.9,584.5,570.15,574.35
2023-08-07,576.4,582.4,571.05,579.15
2023-08-08,582.0,585.05,576.0,583.2
2023-08-09,583.25,592.5,569.2,576.1
2023-08-10,579.0,590.65,578.0,589.5
2023-08-11,590.0,593.05,581.6,590.85
2023-08-14,590.85,592.95,572.2,584.1
2023-08-16,581.6,624.9,581.6,613.8
2023-08-17,620.8,660.9,620.0,636.85
2023-08-18,639.9,649.25,617.0,625.75
2023-08-21,631.0,636.25,625.85,634.0
2023-08-22,636.0,642.0,630.7,636.95
2023-08-23,630.1,633.95,617.05,619.25
2023-08-24,626.6,627.85,603.0,605.2
2023-08-25,605.15,617.7,590.5,592.85
2023-08-28,595.0,614.0,591.05,609.65
2023-08-29,614.8,617.9,603.35,606.4
2023-08-30,611.55,611.55,598.0,599.7
2023-08-31,600.65,608.85,593.95,602.2
