date,open,high,low,close
2023-07-03,270.8,275.0,270.5,272.5
2023-07-04,272.7,277.0,271.0,273.15
2023-07-05,272.8,286.3,272.8,284.2
2023-07-06,285.0,289.2,284.25,286.4
2023-07-07,282.1,285.3,276.3,281.3
2023-07-10,284.8,292.0,284.05,289.2
2023-07-11,290.0,300.0,287.4,294.85
2023-07-12,294.85,306.45,292.05,300.05
2023-07-13,299.45,305.7,296.7,300.55
2023-07-14,301.2,312.0,301.0,308.55
2023-07-17,310.8,318.35,308.3,317.0
2023-07-18,318.5,324.0,312.3,322.0
2023-07-19,322.1,326.8,319.1,324.2
2023-07-20,325.15,332.0,321.15,329.25
2023-07-21,330.0,333.95,326.0,327.35
2023-07-24,330.1,339.0,328.0,334.4
2023-07-25,337.1,339.5,325.0,334.85
2023-07-26,335.85,340.4,328.15,336.15
2023-07-27,339.5,341.05,318.25,325.45
2023-07-28,326.9,342.0,326.05,338.1
2023-07-31,340.0,341.1,331.0,337.5
2023-08-01,338.5,341.9,334.3,336.85
2023-08-02,336.5,338.6,328.2,331.4
2023-08-03,332.6,336.0,330.5,332.7
2023-08-04,332.9,338.75,331.5,332.1
2023-08-07,333.45,341.0,330.05,338.2
2023-08-08,339.4,342.0,335.1,336.35
2023-08-09,336.35,339.1,331.6,337.5
2023-08-10,337.5,340.45,332.1,334.05
2023-08-11,334.9,334.9,328.1,329.95
2023-08-14,329.8,330.0,321.1,324.1
2023-08-16,324.5,325.0,320.7,324.8
2023-08-17,325.8,328.0,321.1,327.4
2023-08-18,328.2,346.55,326.5,340.45
2023-08-21,343.55,354.4,340.6,347.0
2023-08-22,350.0,351.95,339.0,341.9
2023-08-23,341.0,347.95,337.0,345.7
2023-08-24,345.5,352.8,344.3,350.5
2023-08-25,349.35,351.7,345.6,347.7
2023-08-28,347.0,351.1,344.3,348.45
2023-08-29,348.45,358.0,345.0,348.65
2023-08-30,349.7,351.8,341.15,345.2
2023-08-31,345.2,357.0,344.2,355.0
