date,open,high,low,close
2023-07-03,339.9,344.45,330.55,332.25
2023-07-04,335.1,335.2,325.3,327.75
2023-07-05,327.0,333.8,325.2,328.65
2023-07-06,330.0,336.5,327.7,330.8
2023-07-07,331.0,338.5,322.25,323.9
2023-07-10,326.8,326.9,313.3,315.1
2023-07-11,317.0,322.0,314.6,317.95
2023-07-12,320.7,332.75,319.35,329.25
2023-07-13,332.2,335.7,322.2,323.5
2023-07-14,325.3,336.0,323.8,332.7
2023-07-17,333.9,347.0,329.0,338.7
2023-07-18,340.0,341.1,323.65,325.2
2023-07-19,327.7,329.05,321.15,325.2
2023-07-20,328.5,355.0,326.35,340.65
2023-07-21,336.2,354.3,335.1,350.2
2023-07-24,357.0,386.75,357.0,370.75
2023-07-25,373.3,384.0,362.85,378.75
2023-07-26,379.65,391.6,369.3,381.25
2023-07-27,382.95,382.95,371.65,375.15
2023-07-28,376.55,377.95,360.3,362.75
2023-07-31,363.45,378.85,363.45,368.75
2023-08-01,371.0,374.45,355.3,360.4
2023-08-02,359.6,366.0,346.0,350.4
2023-08-03,346.5,365.0,346.5,362.25
2023-08-04,364.9,370.1,362.0,364.5
2023-08-07,367.5,373.9,366.0,367.6
2023-08-08,368.9,371.1,356.45,361.0
2023-08-09,376.8,376.8,351.4,355.05
2023-08-10,348.9,360.1,345.5,349.9
2023-08-11,351.8,351.9,335.15,336.7
2023-08-14,335.0,344.15,327.8,336.1
2023-08-16,336.1,341.45,330.55,338.7
2023-08-17,338.7,346.35,338.0,345.05
2023-08-18,345.4,349.0,339.75,347.55
2023-08-21,343.0,354.4,340.0,351.65
2023-08-22,353.9,356.45,351.4,354.8
2023-08-23,355.9,359.8,351.95,354.2
2023-08-24,356.35,368.7,353.85,360.05
2023-08-25,360.45,363.0,354.9,360.55
2023-08-28,365.0,376.5,365.0,370.15
2023-08-29,370.15,372.45,362.1,364.2
2023-08-30,366.55,372.8,364.2,369.3
2023-08-31,372.95,388.0,366.25,385.8
