date,open,high,low,close
2023-07-03,310.35,316.2,310.0,311.65
2023-07-04,312.0,313.9,308.7,309.6
2023-07-05,310.5,312.45,307.55,308.55
2023-07-06,308.6,311.1,307.4,308.45
2023-07-07,309.0,315.4,308.45,309.2
2023-07-10,309.35,311.85,302.7,304.05
2023-07-11,304.7,307.05,302.9,304.25
2023-07-12,304.0,306.25,301.0,301.4
2023-07-13,302.2,305.0,301.1,303.3
2023-07-14,304.7,305.15,300.0,303.75
2023-07-17,303.0,334.8,302.95,330.0
2023-07-18,350.0,362.2,338.25,346.15
2023-07-19,346.15,349.6,340.5,344.15
2023-07-20,341.6,344.1,333.1,335.2
2023-07-21,332.7,352.5,331.35,341.4
2023-07-24,344.6,348.75,340.8,342.2
2023-07-25,343.95,349.5,336.05,341.0
2023-07-26,342.0,345.6,338.5,340.45
2023-07-27,342.4,348.0,338.85,341.55
2023-07-28,340.15,343.9,337.25,339.05
2023-07-31,342.15,347.6,339.5,345.25
2023-08-01,349.8,354.7,346.0,350.9
2023-08-02,351.55,359.8,346.0,349.9
2023-08-03,360.0,374.85,355.55,367.35
2023-08-04,373.95,392.0,370.0,385.9
2023-08-07,390.0,391.95,375.0,379.15
2023-08-08,379.5,390.95,379.0,389.6
2023-08-09,394.0,395.0,383.2,384.85
2023-08-10,386.5,397.0,381.55,389.1
2023-08-11,392.0,392.05,386.0,387.6
2023-08-14,387.6,390.45,375.45,377.65
2023-08-16,372.05,390.45,371.9,389.45
2023-08-17,392.0,395.0,383.3,384.6
2023-08-18,384.95,385.8,369.5,371.5
2023-08-21,373.0,374.6,362.5,368.4
2023-08-22,369.0,377.15,361.0,364.55
2023-08-23,365.0,389.5,365.0,386.2
2023-08-24,389.9,392.85,383.3,385.95
2023-08-25,384.5,403.2,377.25,393.3
2023-08-28,394.0,400.3,391.55,394.75
2023-08-29,394.0,470.0,394.0,442.05
2023-08-30,444.4,465.0,438.4,456.25
2023-08-31,453.0,455.7,435.95,442.2
