date,open,high,low,close
2023-06-01,845.4,861.45,835.0,844.5
2023-06-02,850.35,857.15,841.85,847.55
2023-06-05,852.8,856.5,844.2,852.55
2023-06-06,857.05,870.25,841.0,843.45
2023-06-07,846.8,846.8,820.5,823.8
2023-06-08,826.3,829.05,787.5,790.9
2023-06-09,795.0,813.45,790.05,795.7
2023-06-12,792.25,804.65,775.0,798.0
2023-06-13,802.4,818.0,799.0,807.5
2023-06-14,810.0,828.25,801.0,807.5
2023-06-15,819.8,862.0,816.85,827.2
2023-06-16,835.65,838.75,806.0,821.25
2023-06-19,821.25,822.9,796.0,801.35
2023-06-20,804.15,821.55,803.4,813.35
2023-06-21,815.0,824.0,812.35,819.7
2023-06-22,819.7,820.0,800.8,803.55
2023-06-23,805.0,805.8,763.6,766.1
2023-06-26,768.85,801.0,755.0,799.2
2023-06-27,806.9,812.45,796.0,799.4
2023-06-28,805.8,806.2,789.0,793.55
2023-06-30,797.0,807.9,781.05,802.55
2023-07-03,802.55,823.6,793.55,818.35
2023-07-04,820.0,820.0,802.0,804.05
2023-07-05,809.8,829.5,803.15,825.65
2023-07-06,830.0,835.7,811.1,813.85
2023-07-07,819.7,829.75,812.85,821.15
2023-07-10,823.0,827.05,807.0,812.25
2023-07-11,815.0,827.45,806.9,825.25
2023-07-12,829.0,849.0,828.05,841.75
2023-07-13,845.0,846.95,823.0,832.85
2023-07-14,843.0,847.55,818.6,832.85
2023-07-17,834.4,842.2,824.5,828.9
2023-07-18,828.9,834.0,814.2,824.1
2023-07-19,816.3,830.0,816.3,819.85
2023-07-20,821.95,824.0,808.6,812.6
2023-07-21,814.3,824.6,795.0,800.2
2023-07-24,801.5,818.5,784.9,817.7
2023-07-25,816.5,816.5,799.0,804.6
2023-07-26,804.6,814.7,800.05,806.9
2023-07-27,809.8,813.45,800.0,800.55
2023-07-28,800.0,806.6,796.5,804.25
2023-07-31,804.25,807.55,795.5,804.4
2023-08-01,809.9,814.85,798.95,800.7
2023-08-02,803.8,809.85,800.05,808.1
2023-08-03,810.0,832.0,803.05,822.6
2023-08-04,834.9,839.05,821.95,825.3
2023-08-07,830.0,834.0,820.0,824.1
2023-08-08,825.8,831.0,814.0,820.25
2023-08-09,820.5,831.8,802.65,823.2
2023-08-10,825.9,828.0,815.1,818.5
2023-08-11,820.8,855.0,820.8,849.4
2023-08-14,850.05,872.0,833.8,868.15
2023-08-16,867.9,903.0,856.25,890.35
2023-08-17,898.8,934.65,874.7,893.65
2023-08-18,890.0,915.0,887.1,899.25
2023-08-21,899.6,912.0,890.2,899.3
2023-08-22,900.0,920.0,899.3,906.0
2023-08-23,908.9,911.7,880.2,887.25
2023-08-24,888.0,893.15,875.3,884.8
2023-08-25,884.25,884.8,865.25,873.85
2023-08-28,874.85,877.4,859.05,874.5
2023-08-29,877.95,894.0,875.05,888.95
2023-08-30,891.0,903.3,883.25,900.55
2023-08-31,903.85,909.0,888.35,899.5
