date,open,high,low,close
2023-07-03,2544.95,2544.95,2350.05,2373.25
2023-07-04,2392.0,2419.0,2350.0,2401.85
2023-07-05,2414.0,2468.95,2390.05,2449.65
2023-07-06,2450.0,2514.8,2449.9,2511.45
2023-07-09,2512.0,2580.7,2474.1,2520.75
2023-07-10,2530.05,2569.0,2490.3,2514.9
2023-07-11,2525.0,2538.0,2482.25,2492.9
2023-07-12,2491.0,2530.7,2489.0,2512.85
2023-07-13,2528.95,2670.0,2517.15,2648.25
2023-07-16,2651.05,2698.0,2651.0,2671.2
2023-07-17,2671.0,2677.85,2564.0,2572.6
2023-07-18,2573.0,2733.0,2573.0,2709.7
2023-07-19,2710.2,2735.45,2673.05,2709.1
2023-07-20,2729.9,2792.35,2700.0,2745.6
2023-07-23,2750.0,2788.45,2630.1,2660.55
2023-07-24,2678.0,2722.35,2595.55,2611.55
2023-07-25,2634.9,2724.0,2633.5,2679.2
2023-07-26,3100.0,3215.0,3010.0,3215.0
2023-07-27,3400.0,3520.0,3313.25,3388.65
2023-07-30,3350.05,3699.8,3313.9,3664.2
2023-07-31,3700.0,3738.0,3587.6,3629.2
2023-08-01,3601.0,3694.0,3475.0,3518.95
2023-08-02,3549.0,3549.0,3365.55,3464.7
2023-08-03,3485.0,3544.65,3435.0,3446.1
2023-08-06,3440.0,3486.1,3333.3,3373.85
2023-08-07,3375.0,3548.0,3375.0,3400.1
2023-08-08,3430.0,3489.85,3333.3,3339.25
2023-08-09,3375.95,3409.0,3280.85,3303.4
2023-08-10,3301.0,3489.4,3301.0,3344.85
2023-08-13,3366.9,3421.6,3319.3,3353.5
2023-08-15,3374.95,3442.35,3252.2,3296.55
2023-08-16,3348.9,3392.0,3334.55,3389.05
2023-08-17,3419.0,3444.0,3362.25,3398.6
2023-08-20,3398.6,3480.0,3370.0,3418.8
2023-08-21,3430.95,3548.0,3430.95,3519.65
2023-08-22,3594.0,3630.0,3532.25,3573.2
2023-08-23,3599.0,3717.0,3545.55,3566.2
2023-08-24,3576.5,3595.95,3425.0,3454.2
2023-08-27,3450.0,3540.0,3435.15,3490.65
2023-08-28,3499.95,3540.0,3476.5,3496.75
2023-08-29,3486.0,3499.0,3385.0,3391.8
2023-08-30,3395.0,3494.35,3316.05,3429.65
2023-08-31,3411.0,3411.0,3325.1,3364.4
