date,open,high,low,close
2023-06-01,502.3,514.4,500.8,513.4
2023-06-02,513.5,520.85,513.4,518.0
2023-06-05,523.4,523.6,508.0,510.1
2023-06-06,511.25,516.75,509.45,515.45
2023-06-07,515.45,518.75,512.75,515.1
2023-06-08,518.9,520.5,510.3,512.95
2023-06-09,513.0,516.7,506.0,507.75
2023-06-12,511.0,512.95,504.0,510.0
2023-06-13,510.9,519.1,508.5,517.65
2023-06-14,523.9,533.55,515.6,532.35
2023-06-15,535.0,550.0,533.05,549.15
2023-06-16,552.15,559.3,548.1,551.05
2023-06-19,551.05,562.5,551.05,554.15
2023-06-20,556.7,557.75,553.35,556.05
2023-06-21,557.4,564.8,552.3,560.1
2023-06-22,560.8,562.65,547.9,552.9
2023-06-23,552.1,561.3,547.9,557.1
2023-06-26,559.85,563.5,557.3,561.8
2023-06-27,561.0,574.65,561.0,570.7
2023-06-28,572.0,589.1,565.25,582.45
2023-06-30,588.0,588.0,578.0,583.05
2023-07-03,586.95,594.3,577.5,578.4
2023-07-04,581.4,582.85,571.1,574.1
2023-07-05,576.0,587.0,574.0,585.0
2023-07-06,585.0,592.0,576.0,588.1
2023-07-07,586.0,589.95,580.05,582.25
2023-07-10,585.2,588.1,580.1,581.6
2023-07-11,581.6,591.75,581.6,584.85
2023-07-12,587.0,595.4,583.3,593.4
2023-07-13,594.0,597.0,588.85,591.45
2023-07-14,591.1,597.9,589.1,595.35
2023-07-17,593.7,606.0,593.0,603.05
2023-07-18,603.05,605.8,594.7,602.05
2023-07-19,602.95,608.8,595.3,607.5
2023-07-20,608.85,618.9,605.6,617.55
2023-07-21,617.0,618.5,611.35,613.2
2023-07-24,613.2,616.5,611.75,613.8
2023-07-25,614.95,624.0,613.0,621.75
2023-07-26,623.0,625.1,618.9,622.75
2023-07-27,625.0,656.7,623.5,649.5
2023-07-28,645.2,646.75,637.8,640.5
2023-07-31,640.0,643.95,626.85,632.25
2023-08-01,635.0,641.9,629.3,633.9
2023-08-02,633.95,635.0,622.0,628.6
2023-08-03,625.05,651.35,625.05,640.0
2023-08-04,648.4,655.6,642.45,649.75
2023-08-07,650.0,665.0,649.45,655.2
2023-08-08,658.75,663.3,649.65,655.35
2023-08-09,657.5,664.75,654.6,661.55
2023-08-10,661.55,668.75,653.25,657.85
2023-08-11,661.8,666.6,644.95,650.95
2023-08-14,656.9,657.1,636.6,641.65
2023-08-16,640.0,659.8,637.6,657.4
2023-08-17,658.0,659.65,643.0,644.85
2023-08-18,650.9,659.0,643.85,647.85
2023-08-21,649.95,656.7,645.1,653.1
2023-08-22,653.45,660.85,647.8,650.9
2023-08-23,652.9,656.45,641.85,645.35
2023-08-24,648.1,652.5,639.0,640.85
2023-08-25,640.85,644.2,627.5,629.3
2023-08-28,630.95,639.25,627.0,634.3
2023-08-29,636.0,641.0,629.5,631.95
2023-08-30,633.55,637.8,624.8,628.1
2023-08-31,632.1,633.9,622.0,625.85
