time,open,high,low,close
2023-07-17 09:15:00,13.85,14.15,13.65,14.0
2023-07-17 10:15:00,14.0,14.0,13.75,13.75
2023-07-17 11:15:00,13.75,13.95,13.75,13.95
2023-07-17 12:15:00,13.95,13.95,13.85,13.85
2023-07-17 13:15:00,13.85,14.45,13.85,14.15
2023-07-17 14:15:00,14.15,14.2,13.85,13.85
2023-07-17 15:15:00,13.85,14.1,13.85,14.1
2023-07-18 09:15:00,14.0,14.0,13.7,13.8
2023-07-18 10:15:00,13.8,13.9,13.8,13.9
2023-07-18 11:15:00,13.9,13.95,13.85,13.95
2023-07-18 12:15:00,13.95,13.95,13.85,13.95
2023-07-18 13:15:00,13.95,13.95,13.85,13.85
2023-07-18 14:15:00,13.85,13.9,13.8,13.85
2023-07-18 15:15:00,13.85,13.95,13.8,13.8
2023-07-19 09:15:00,13.95,13.95,13.7,13.75
2023-07-19 10:15:00,13.75,13.85,13.65,13.65
2023-07-19 11:15:00,13.65,13.85,13.3,13.6
2023-07-19 12:15:00,13.6,14.15,13.55,13.95
2023-07-19 13:15:00,13.95,14.0,13.85,13.85
2023-07-19 14:15:00,13.85,14.15,13.85,14.1
2023-07-19 15:15:00,14.1,14.1,13.95,14.1
2023-07-20 09:15:00,13.95,14.1,13.75,13.95
2023-07-20 10:15:00,13.95,14.0,13.8,14.0
2023-07-20 11:15:00,14.0,14.0,13.85,13.85
2023-07-20 12:15:00,13.85,13.95,13.85,13.9
2023-07-20 13:15:00,13.85,13.95,13.85,13.95
2023-07-20 14:15:00,13.95,14.0,13.85,13.85
2023-07-20 15:15:00,13.85,13.9,13.85,13.85
2023-07-21 09:15:00,13.85,13.85,13.6,13.75
2023-07-21 10:15:00,13.75,13.95,13.65,13.8
2023-07-21 11:15:00,13.8,13.8,13.7,13.7
2023-07-21 12:15:00,13.7,13.85,13.7,13.7
2023-07-21 13:15:00,13.7,13.8,13.65,13.75
2023-07-21 14:15:00,13.75,13.75,13.55,13.6
2023-07-21 15:15:00,13.6,13.65,13.55,13.55
2023-07-24 09:15:00,13.6,13.65,13.5,13.5
2023-07-24 10:15:00,13.5,13.7,13.5,13.7
2023-07-24 11:15:00,13.7,13.7,13.7,13.7
2023-07-24 12:15:00,13.7,13.7,13.6,13.6
2023-07-24 13:15:00,13.7,13.7,13.5,13.55
2023-07-24 14:15:00,13.55,13.6,13.45,13.5
2023-07-24 15:15:00,13.5,13.55,13.3,13.45
2023-07-25 09:15:00,13.35,13.6,13.35,13.4
2023-07-25 10:15:00,13.35,13.4,13.3,13.4
2023-07-25 11:15:00,13.4,13.5,13.4,13.4
2023-07-25 12:15:00,13.4,13.65,13.4,13.65
2023-07-25 13:15:00,13.65,13.65,13.5,13.5
2023-07-25 14:15:00,13.5,13.55,13.5,13.5
2023-07-25 15:15:00,13.55,13.7,13.55,13.6
2023-07-26 09:15:00,13.8,13.8,13.5,13.65
2023-07-26 10:15:00,13.65,13.7,13.0,13.25
2023-07-26 11:15:00,13.25,13.4,13.25,13.4
2023-07-26 12:15:00,13.4,13.4,13.2,13.3
2023-07-26 13:15:00,13.3,13.4,13.3,13.35
2023-07-26 14:15:00,13.35,13.4,13.3,13.3
2023-07-26 15:15:00,13.3,13.4,13.2,13.4
2023-07-27 09:15:00,13.4,13.5,13.25,13.35
2023-07-27 10:15:00,13.35,13.35,13.25,13.35
2023-07-27 11:15:00,13.35,13.35,13.25,13.35
2023-07-27 12:15:00,13.35,13.4,13.35,13.4
2023-07-27 13:15:00,13.4,13.45,13.4,13.45
2023-07-27 14:15:00,13.45,13.5,13.25,13.25
2023-07-27 15:15:00,13.25,13.35,13.25,13.25
2023-07-28 09:15:00,13.5,13.5,13.2,13.2
2023-07-28 10:15:00,13.2,13.5,13.2,13.5
2023-07-28 11:15:00,13.5,13.5,13.25,13.25
