date,open,high,low,close
2023-06-01 09:15:00,51.74,51.74,51.51,51.59
2023-06-01 10:15:00,51.59,51.59,51.23,51.49
2023-06-01 11:15:00,51.49,51.53,51.23,51.29
2023-06-01 12:15:00,51.29,51.35,51.27,51.32
2023-06-01 13:15:00,51.3,51.35,51.21,51.3
2023-06-01 14:15:00,51.27,51.3,51.22,51.3
2023-06-01 15:15:00,51.3,51.35,51.2,51.2
2023-06-02 09:15:00,51.78,51.78,51.6,51.61
2023-06-02 10:15:00,51.61,51.74,51.5,51.74
2023-06-02 11:15:00,51.74,51.75,51.65,51.72
2023-06-02 12:15:00,51.67,51.72,51.61,51.71
2023-06-02 13:15:00,51.71,51.71,51.57,51.68
2023-06-02 14:15:00,51.63,51.69,51.57,51.6
2023-06-02 15:15:00,51.6,51.6,51.55,51.6
2023-06-05 09:15:00,51.36,51.36,50.81,51.05
2023-06-05 10:15:00,51.05,51.16,51.0,51.08
2023-06-05 11:15:00,51.05,51.08,50.85,51.04
2023-06-05 12:15:00,51.04,51.08,50.95,50.95
2023-06-05 13:15:00,50.97,51.04,50.84,50.91
2023-06-05 14:15:00,50.91,51.0,50.83,50.95
2023-06-05 15:15:00,50.95,51.04,50.91,50.99
2023-06-06 09:15:00,51.57,51.57,51.16,51.39
2023-06-06 10:15:00,51.47,51.48,51.2,51.46
2023-06-06 11:15:00,51.46,51.46,51.3,51.3
2023-06-06 12:15:00,51.28,51.44,51.2,51.37
2023-06-06 13:15:00,51.37,51.44,51.26,51.34
2023-06-06 14:15:00,51.34,51.47,51.34,51.46
2023-06-06 15:15:00,51.36,51.46,51.36,51.45
2023-06-07 09:15:00,51.36,51.69,51.32,51.45
2023-06-07 10:15:00,51.43,51.46,51.36,51.41
2023-06-07 11:15:00,51.41,51.44,51.25,51.28
2023-06-07 12:15:00,51.37,51.37,51.21,51.22
2023-06-07 13:15:00,51.24,51.29,51.2,51.25
2023-06-07 14:15:00,51.25,51.39,51.15,51.33
2023-06-07 15:15:00,51.32,51.48,51.3,51.4
2023-06-08 09:15:00,52.95,52.95,50.84,50.9
2023-06-08 10:15:00,50.9,51.0,50.86,51.0
2023-06-08 11:15:00,51.0,51.04,50.87,51.02
2023-06-08 12:15:00,51.02,51.02,50.9,50.94
2023-06-08 13:15:00,50.91,51.0,50.91,50.95
2023-06-08 14:15:00,51.0,51.04,50.95,50.96
2023-06-08 15:15:00,50.99,51.0,50.96,50.96
2023-06-09 09:15:00,51.45,51.45,51.06,51.24
2023-06-09 10:15:00,51.19,51.4,51.07,51.3
2023-06-09 11:15:00,51.39,51.39,51.21,51.27
2023-06-09 12:15:00,51.3,51.3,51.25,51.26
2023-06-09 13:15:00,51.3,51.38,51.25,51.28
2023-06-09 14:15:00,51.3,51.3,51.15,51.25
2023-06-09 15:15:00,51.25,51.25,51.11,51.2
2023-06-12 09:15:00,51.21,51.33,51.02,51.19
2023-06-12 10:15:00,51.19,51.24,51.09,51.23
2023-06-12 11:15:00,51.23,51.29,51.15,51.18
2023-06-12 12:15:00,51.18,51.24,51.16,51.24
2023-06-12 13:15:00,51.24,51.25,51.17,51.21
2023-06-12 14:15:00,51.21,51.33,51.13,51.19
2023-06-12 15:15:00,51.19,51.25,51.14,51.25
2023-06-13 09:15:00,51.21,51.38,49.65,51.26
2023-06-13 10:15:00,51.26,51.26,51.07,51.13
2023-06-13 11:15:00,51.13,51.17,51.08,51.13
2023-06-13 12:15:00,51.13,51.16,51.12,51.15
2023-06-13 13:15:00,51.15,51.29,51.12,51.24
2023-06-13 14:15:00,51.21,51.29,51.19,51.23
2023-06-13 15:15:00,51.23,51.23,51.21,51.23
2023-06-14 09:15:00,50.98,50.99,50.76,50.8
2023-06-14 10:15:00,50.8,50.83,50.73,50.74
2023-06-14 11:15:00,50.74,50.76,50.68,50.69
2023-06-14 12:15:00,50.69,50.75,50.66,50.74
2023-06-14 13:15:00,50.74,50.76,50.66,50.67
2023-06-14 14:15:00,50.67,50.69,50.62,50.69
2023-06-14 15:15:00,50.69,50.69,50.6,50.61
2023-06-15 09:15:00,50.65,50.65,50.35,50.45
2023-06-15 10:15:00,50.44,50.55,50.32,50.48
2023-06-15 11:15:00,50.48,50.48,50.3,50.44
2023-06-15 12:15:00,50.47,50.47,50.28,50.3
2023-06-15 13:15:00,50.33,50.35,50.25,50.3
2023-06-15 14:15:00,50.3,50.41,50.25,50.39
2023-06-15 15:15:00,50.38,50.41,50.38,50.4
2023-06-16 09:15:00,50.89,50.89,50.58,50.58
2023-06-16 10:15:00,50.59,50.75,50.56,50.73
2023-06-16 11:15:00,50.73,50.84,50.68,50.84
2023-06-16 12:15:00,50.73,50.84,50.73,50.76
2023-06-16 13:15:00,50.76,50.85,50.76,50.83
2023-06-16 14:15:00,50.78,50.94,50.69,50.88
2023-06-16 15:15:00,50.8,50.93,50.78,50.88
2023-06-19 09:15:00,50.74,50.88,50.51,50.68
2023-06-19 10:15:00,50.7,50.77,50.61,50.77
2023-06-19 11:15:00,50.74,50.81,50.62,50.69
2023-06-19 12:15:00,50.7,50.78,50.64,50.73
2023-06-19 13:15:00,50.72,50.73,50.53,50.65
2023-06-19 14:15:00,50.65,50.74,50.65,50.69
2023-06-19 15:15:00,50.69,50.74,50.56,50.65
2023-06-20 09:15:00,50.66,50.8,50.55,50.78
2023-06-20 10:15:00,50.76,50.76,50.64,50.69
2023-06-20 11:15:00,50.7,50.75,50.58,50.7
2023-06-20 12:15:00,50.69,50.77,50.63,50.76
2023-06-20 13:15:00,50.67,50.79,50.67,50.7
2023-06-20 14:15:00,50.67,50.79,50.66,50.79
2023-06-20 15:15:00,50.73,50.79,50.59,50.73
2023-06-21 09:15:00,50.57,50.57,50.28,50.3
2023-06-21 10:15:00,50.3,50.31,50.25,50.29
2023-06-21 11:15:00,50.29,50.31,50.21,50.27
2023-06-21 12:15:00,50.27,50.32,50.25,50.26
2023-06-21 13:15:00,50.26,50.31,50.25,50.25
2023-06-21 14:15:00,50.25,50.29,50.25,50.28
2023-06-21 15:15:00,50.27,50.28,50.2,50.27
2023-06-22 09:15:00,50.57,50.57,50.03,50.18
2023-06-22 10:15:00,50.16,50.19,50.05,50.11
2023-06-22 11:15:00,50.11,50.11,50.06,50.07
2023-06-22 12:15:00,50.05,50.1,50.03,50.1
2023-06-22 13:15:00,50.09,50.11,50.07,50.08
