time,open,high,low,close
2023-07-17 09:15:00,38.3,40.0,38.3,39.45
2023-07-17 10:15:00,39.45,39.85,39.0,39.65
2023-07-17 11:15:00,39.65,39.8,39.35,39.5
2023-07-17 12:15:00,39.6,39.7,39.4,39.45
2023-07-17 13:15:00,39.45,39.75,39.45,39.75
2023-07-17 14:15:00,39.75,39.75,39.2,39.45
2023-07-17 15:15:00,39.45,39.8,39.45,39.6
2023-07-18 09:15:00,40.0,40.15,39.2,39.45
2023-07-18 10:15:00,39.45,39.6,39.3,39.45
2023-07-18 11:15:00,39.4,39.4,38.6,38.65
2023-07-18 12:15:00,38.65,39.0,38.55,38.85
2023-07-18 13:15:00,38.85,38.95,38.8,38.8
2023-07-18 14:15:00,38.8,38.95,38.5,38.75
2023-07-18 15:15:00,38.75,38.95,38.65,38.7
2023-07-19 09:15:00,38.75,39.0,37.6,38.55
2023-07-19 10:15:00,38.65,38.7,38.4,38.5
2023-07-19 11:15:00,38.5,38.7,38.5,38.5
2023-07-19 12:15:00,38.5,39.0,38.5,38.55
2023-07-19 13:15:00,38.75,38.75,38.5,38.6
2023-07-19 14:15:00,38.6,38.8,38.6,38.7
2023-07-19 15:15:00,38.7,38.9,38.5,38.9
2023-07-20 09:15:00,39.45,39.7,38.7,39.35
2023-07-20 10:15:00,39.35,39.65,39.35,39.55
2023-07-20 11:15:00,39.55,39.7,39.05,39.05
2023-07-20 12:15:00,39.05,39.65,39.05,39.5
2023-07-20 13:15:00,39.5,39.65,39.35,39.35
2023-07-20 14:15:00,39.35,39.6,38.9,39.4
2023-07-20 15:15:00,39.4,39.65,39.35,39.65
2023-07-21 09:15:00,37.05,38.1,36.2,37.2
2023-07-21 10:15:00,37.2,37.25,36.75,36.85
2023-07-21 11:15:00,36.85,37.2,36.85,36.9
2023-07-21 12:15:00,36.9,37.15,36.8,37.0
2023-07-21 13:15:00,37.0,37.2,37.0,37.1
2023-07-21 14:15:00,37.1,37.25,37.0,37.05
2023-07-21 15:15:00,37.2,37.25,37.0,37.2
2023-07-24 09:15:00,37.5,37.5,35.65,36.0
2023-07-24 10:15:00,36.0,36.2,35.55,36.0
2023-07-24 11:15:00,36.0,36.3,35.95,36.05
2023-07-24 12:15:00,36.05,36.05,35.9,36.05
2023-07-24 13:15:00,36.05,36.2,35.9,36.2
2023-07-24 14:15:00,36.15,36.5,36.0,36.0
2023-07-24 15:15:00,36.0,36.15,36.0,36.15
2023-07-25 09:15:00,36.15,36.7,35.65,35.9
2023-07-25 10:15:00,35.9,36.0,35.8,35.85
2023-07-25 11:15:00,36.0,36.0,35.8,35.85
2023-07-25 12:15:00,35.85,36.0,35.85,35.95
2023-07-25 13:15:00,35.85,36.0,35.85,35.9
2023-07-25 14:15:00,35.9,36.05,35.85,35.95
2023-07-25 15:15:00,35.95,36.0,35.7,35.7
2023-07-26 09:15:00,35.85,36.15,35.7,35.8
2023-07-26 10:15:00,35.8,36.85,35.8,36.75
2023-07-26 11:15:00,36.75,37.6,36.6,37.25
2023-07-26 12:15:00,37.3,37.3,36.25,36.3
2023-07-26 13:15:00,36.3,36.75,36.25,36.6
2023-07-26 14:15:00,36.6,36.8,36.25,36.3
2023-07-26 15:15:00,36.3,37.45,36.25,36.6
2023-07-27 09:15:00,37.35,37.35,36.5,36.6
2023-07-27 10:15:00,36.6,36.8,36.45,36.45
2023-07-27 11:15:00,36.45,36.9,36.45,36.6
2023-07-27 12:15:00,36.75,36.75,36.4,36.45
2023-07-27 13:15:00,36.45,36.8,36.4,36.5
2023-07-27 14:15:00,36.4,36.55,36.3,36.35
2023-07-27 15:15:00,36.45,36.6,36.15,36.5
2023-07-28 09:15:00,36.5,36.5,35.95,36.25
2023-07-28 10:15:00,36.25,36.35,36.0,36.05
