date,open,high,low,close
2023-06-01 09:15:00,553.25,563.9,553.25,561.5
2023-06-01 10:15:00,561.3,562.25,559.75,562.15
2023-06-01 11:15:00,562.15,562.25,557.5,557.65
2023-06-01 12:15:00,557.8,558.9,557.05,557.95
2023-06-01 13:15:00,558.0,558.75,557.2,557.2
2023-06-01 14:15:00,557.2,559.35,556.85,557.35
2023-06-01 15:15:00,557.35,557.35,555.3,556.95
2023-06-02 09:15:00,558.0,559.75,555.85,558.2
2023-06-02 10:15:00,558.15,559.6,556.55,559.45
2023-06-02 11:15:00,559.25,560.0,556.5,556.5
2023-06-02 12:15:00,556.5,558.5,556.0,557.95
2023-06-02 13:15:00,557.95,558.1,556.6,557.6
2023-06-02 14:15:00,557.6,557.8,556.85,557.2
2023-06-02 15:15:00,557.15,558.5,556.8,558.5
2023-06-05 09:15:00,558.75,563.0,557.55,558.2
2023-06-05 10:15:00,558.15,558.5,556.1,556.45
2023-06-05 11:15:00,556.4,557.45,555.35,555.95
2023-06-05 12:15:00,556.0,556.0,553.5,553.55
2023-06-05 13:15:00,553.55,555.0,553.5,554.2
2023-06-05 14:15:00,554.15,556.9,551.6,551.8
2023-06-05 15:15:00,551.8,553.95,551.55,553.95
2023-06-06 09:15:00,554.35,554.35,545.6,547.0
2023-06-06 10:15:00,547.0,547.0,542.5,542.95
2023-06-06 11:15:00,542.75,543.45,541.55,542.25
2023-06-06 12:15:00,542.25,546.85,541.9,546.25
2023-06-06 13:15:00,546.4,548.45,545.85,547.45
2023-06-06 14:15:00,547.5,547.85,544.5,547.5
2023-06-06 15:15:00,547.65,549.45,547.5,549.0
2023-06-07 09:15:00,548.15,554.2,546.2,553.8
2023-06-07 10:15:00,553.8,555.9,553.5,554.35
2023-06-07 11:15:00,554.35,555.0,551.85,552.1
2023-06-07 12:15:00,552.3,552.95,552.0,552.5
2023-06-07 13:15:00,552.6,554.45,552.6,554.0
2023-06-07 14:15:00,554.35,558.2,554.05,556.7
2023-06-07 15:15:00,556.5,557.0,555.25,557.0
2023-06-08 09:15:00,558.3,560.0,555.35,556.25
2023-06-08 10:15:00,556.3,557.1,554.25,555.75
2023-06-08 11:15:00,555.45,555.75,552.15,554.0
2023-06-08 12:15:00,553.95,554.7,552.65,552.75
2023-06-08 13:15:00,553.05,553.5,551.9,552.0
2023-06-08 14:15:00,552.0,553.5,551.3,551.9
2023-06-08 15:15:00,551.9,552.85,551.7,552.3
2023-06-09 09:15:00,555.65,556.5,549.8,550.1
2023-06-09 10:15:00,550.3,551.4,546.6,551.0
2023-06-09 11:15:00,551.0,552.8,551.0,552.0
2023-06-09 12:15:00,552.0,552.25,549.2,551.0
2023-06-09 13:15:00,551.0,551.55,549.55,551.25
2023-06-09 14:15:00,551.3,551.4,549.5,550.0
2023-06-09 15:15:00,550.05,550.2,547.65,550.0
2023-06-12 09:15:00,548.0,552.85,546.65,552.55
2023-06-12 10:15:00,552.5,553.95,552.25,553.95
2023-06-12 11:15:00,553.65,554.4,552.2,552.25
2023-06-12 12:15:00,552.5,554.2,551.7,552.75
2023-06-12 13:15:00,552.5,554.0,552.5,553.9
2023-06-12 14:15:00,553.9,555.7,553.0,554.1
2023-06-12 15:15:00,554.2,554.55,552.15,553.65
2023-06-13 09:15:00,553.05,558.0,551.3,556.25
2023-06-13 10:15:00,556.3,559.8,556.0,559.7
2023-06-13 11:15:00,559.3,560.55,558.2,559.15
2023-06-13 12:15:00,559.15,560.35,558.65,560.0
2023-06-13 13:15:00,559.9,560.25,559.75,560.0
2023-06-13 14:15:00,560.3,562.9,559.75,560.35
2023-06-13 15:15:00,560.05,561.75,559.4,561.0
