date,open,high,low,close
2023-06-01 09:15:00,32.0,32.35,31.9,31.95
2023-06-01 10:15:00,32.0,32.0,31.8,31.85
2023-06-01 11:15:00,31.9,32.4,31.85,32.2
2023-06-01 12:15:00,32.2,32.5,32.15,32.3
2023-06-01 13:15:00,32.3,32.7,32.3,32.4
2023-06-01 14:15:00,32.35,32.55,32.3,32.4
2023-06-01 15:15:00,32.45,32.55,32.25,32.5
2023-06-02 09:15:00,32.8,33.25,32.5,32.65
2023-06-02 10:15:00,32.7,32.8,32.45,32.7
2023-06-02 11:15:00,32.7,33.6,32.7,33.15
2023-06-02 12:15:00,33.15,33.45,32.85,33.25
2023-06-02 13:15:00,33.25,33.5,33.1,33.15
2023-06-02 14:15:00,33.1,33.65,32.85,33.55
2023-06-02 15:15:00,33.5,34.6,33.5,34.2
2023-06-05 09:15:00,34.6,35.2,34.2,34.5
2023-06-05 10:15:00,34.55,34.65,34.2,34.4
2023-06-05 11:15:00,34.4,34.5,34.0,34.35
2023-06-05 12:15:00,34.35,34.6,34.15,34.35
2023-06-05 13:15:00,34.4,34.45,33.9,33.95
2023-06-05 14:15:00,33.9,34.3,33.85,34.15
2023-06-05 15:15:00,34.15,34.15,33.65,34.05
2023-06-06 09:15:00,34.1,34.2,33.5,33.65
2023-06-06 10:15:00,33.6,33.65,33.15,33.2
2023-06-06 11:15:00,33.25,33.4,33.2,33.35
2023-06-06 12:15:00,33.35,33.5,33.2,33.35
2023-06-06 13:15:00,33.4,33.5,33.35,33.45
2023-06-06 14:15:00,33.45,33.45,33.2,33.3
2023-06-06 15:15:00,33.35,33.5,33.25,33.35
2023-06-07 09:15:00,33.4,33.95,33.4,33.85
2023-06-07 10:15:00,33.95,34.35,33.8,33.95
2023-06-07 11:15:00,34.0,34.05,33.8,33.85
2023-06-07 12:15:00,33.85,33.95,33.8,33.85
2023-06-07 13:15:00,33.85,34.05,33.35,33.6
2023-06-07 14:15:00,33.55,33.75,33.45,33.5
2023-06-07 15:15:00,33.5,33.55,33.25,33.35
2023-06-08 09:15:00,33.5,34.4,33.5,34.1
2023-06-08 10:15:00,34.05,34.25,33.9,34.0
2023-06-08 11:15:00,34.0,34.0,33.0,33.3
2023-06-08 12:15:00,33.3,33.4,32.85,32.95
2023-06-08 13:15:00,32.95,33.05,32.7,32.9
2023-06-08 14:15:00,32.85,33.05,32.8,32.85
2023-06-08 15:15:00,32.85,32.9,32.75,32.9
2023-06-09 09:15:00,33.1,33.35,32.75,32.85
2023-06-09 10:15:00,32.85,33.75,32.4,33.0
2023-06-09 11:15:00,33.0,33.2,32.95,33.1
2023-06-09 12:15:00,33.1,33.2,32.9,32.95
2023-06-09 13:15:00,32.9,33.0,32.6,32.7
2023-06-09 14:15:00,32.7,32.9,32.6,32.85
2023-06-09 15:15:00,32.8,32.85,32.5,32.65
2023-06-12 09:15:00,32.7,34.3,32.4,33.35
2023-06-12 10:15:00,33.35,33.75,33.35,33.75
2023-06-12 11:15:00,33.75,35.15,33.55,35.0
2023-06-12 12:15:00,35.05,35.1,34.45,34.5
2023-06-12 13:15:00,34.55,35.0,34.3,34.7
2023-06-12 14:15:00,34.7,34.75,34.5,34.6
2023-06-12 15:15:00,34.6,34.65,34.4,34.5
2023-06-13 09:15:00,34.6,34.8,34.05,34.5
2023-06-13 10:15:00,34.5,35.1,34.25,34.8
2023-06-13 11:15:00,34.85,34.85,34.6,34.65
2023-06-13 12:15:00,34.6,34.75,34.4,34.45
2023-06-13 13:15:00,34.4,34.55,34.2,34.2
2023-06-13 14:15:00,34.3,34.4,34.15,34.25
2023-06-13 15:15:00,34.3,34.3,34.1,34.2
2023-06-14 09:15:00,34.3,34.6,33.9,34.3
2023-06-14 10:15:00,34.25,34.35,34.2,34.3
2023-06-14 11:15:00,34.35,34.4,33.85,34.05
2023-06-14 12:15:00,34.15,34.15,33.9,34.0
2023-06-14 13:15:00,33.95,34.1,33.9,33.95
2023-06-14 14:15:00,33.9,34.15,33.85,34.15
2023-06-14 15:15:00,34.05,34.15,34.0,34.1
2023-06-15 09:15:00,34.2,34.35,33.95,34.15
2023-06-15 10:15:00,34.15,34.35,34.05,34.1
2023-06-15 11:15:00,34.15,34.15,33.5,33.7
2023-06-15 12:15:00,33.75,33.8,33.65,33.7
2023-06-15 13:15:00,33.7,33.75,33.55,33.6
2023-06-15 14:15:00,33.55,33.75,33.4,33.7
2023-06-15 15:15:00,33.75,33.8,33.55,33.7
2023-06-16 09:15:00,33.7,34.75,33.45,34.2
2023-06-16 10:15:00,34.25,34.65,34.05,34.45
2023-06-16 11:15:00,34.4,34.45,34.25,34.4
2023-06-16 12:15:00,34.4,34.5,34.1,34.25
2023-06-16 13:15:00,34.2,34.45,34.05,34.25
2023-06-16 14:15:00,34.3,34.75,34.3,34.4
2023-06-16 15:15:00,34.5,34.5,34.2,34.25
2023-06-19 09:15:00,34.4,35.3,34.4,34.75
2023-06-19 10:15:00,34.75,34.75,34.5,34.65
2023-06-19 11:15:00,34.6,34.75,34.35,34.5
2023-06-19 12:15:00,34.5,34.55,34.3,34.4
2023-06-19 13:15:00,34.4,34.4,34.2,34.2
2023-06-19 14:15:00,34.35,34.5,34.15,34.5
2023-06-19 15:15:00,34.5,34.5,34.15,34.15
2023-06-20 09:15:00,34.35,34.7,34.3,34.35
2023-06-20 10:15:00,34.35,34.45,34.05,34.2
2023-06-20 11:15:00,34.25,34.35,34.1,34.25
2023-06-20 12:15:00,34.2,34.3,34.15,34.25
2023-06-20 13:15:00,34.25,34.3,34.15,34.2
2023-06-20 14:15:00,34.25,34.55,34.1,34.25
2023-06-20 15:15:00,34.35,34.35,34.15,34.3
2023-06-21 09:15:00,34.75,35.5,34.7,34.9
2023-06-21 10:15:00,34.9,34.95,34.6,34.65
2023-06-21 11:15:00,34.65,34.75,34.45,34.65
2023-06-21 12:15:00,34.65,34.65,34.45,34.5
2023-06-21 13:15:00,34.5,34.6,34.15,34.25
2023-06-21 14:15:00,34.25,34.3,33.7,34.2
2023-06-21 15:15:00,34.2,34.2,34.0,34.15
2023-06-22 09:15:00,34.2,36.1,34.0,35.9
2023-06-22 10:15:00,35.9,36.7,35.8,36.05
2023-06-22 11:15:00,36.1,36.1,35.55,35.6
2023-06-22 12:15:00,35.6,36.15,35.35,35.55
2023-06-22 13:15:00,35.55,36.1,35.55,35.8
2023-06-22 14:15:00,35.8,36.5,35.5,36.3
2023-06-22 15:15:00,36.25,36.35,36.05,36.25
2023-06-23 09:15:00,36.45,36.7,35.3,35.5
2023-06-23 10:15:00,35.55,35.75,35.35,35.55
2023-06-23 11:15:00,35.5,35.75,35.4,35.65
2023-06-23 12:15:00,35.65,36.0,35.45,35.55
2023-06-23 13:15:00,35.6,35.65,35.35,35.45
2023-06-23 14:15:00,35.4,35.65,35.3,35.45
2023-06-23 15:15:00,35.4,35.5,35.1,35.2
2023-06-26 09:15:00,35.4,35.4,34.05,34.75
2023-06-26 10:15:00,34.7,36.0,34.45,34.8
2023-06-26 11:15:00,34.8,34.8,34.45,34.5
2023-06-26 12:15:00,34.5,34.6,34.35,34.35
2023-06-26 13:15:00,34.4,34.45,34.25,34.35
2023-06-26 14:15:00,34.35,34.65,34.35,34.6
2023-06-26 15:15:00,34.6,34.8,34.5,34.65
2023-06-27 09:15:00,34.8,35.15,34.6,34.6
2023-06-27 10:15:00,34.65,34.85,34.65,34.75
2023-06-27 11:15:00,34.8,34.85,34.7,34.7
2023-06-27 12:15:00,34.7,34.75,34.2,34.2
2023-06-27 13:15:00,34.25,34.45,34.25,34.35
2023-06-27 14:15:00,34.3,34.55,34.3,34.45
2023-06-27 15:15:00,34.4,34.55,34.35,34.55
2023-06-28 09:15:00,34.6,34.75,34.35,34.45
2023-06-28 10:15:00,34.45,34.5,34.35,34.45
2023-06-28 11:15:00,34.45,34.45,34.2,34.2
2023-06-28 12:15:00,34.2,34.3,34.15,34.2
2023-06-28 13:15:00,34.3,34.35,34.05,34.15
2023-06-28 14:15:00,34.1,34.35,34.05,34.25
2023-06-28 15:15:00,34.25,34.3,34.05,34.25
2023-06-30 09:15:00,34.55,34.6,34.15,34.3
2023-06-30 10:15:00,34.35,34.5,34.25,34.35
2023-06-30 11:15:00,34.3,34.4,34.2,34.3
2023-06-30 12:15:00,34.3,34.35,34.05,34.15
2023-06-30 13:15:00,34.15,34.2,33.95,34.05
2023-06-30 14:15:00,34.1,34.1,33.95,34.05
2023-06-30 15:15:00,34.2,34.3,34.0,34.05
2023-07-03 09:15:00,34.3,34.35,34.0,34.1
2023-07-03 10:15:00,34.05,34.3,34.0,34.25
2023-07-03 11:15:00,34.15,34.5,34.1,34.4
2023-07-03 12:15:00,34.35,34.85,34.35,34.6
2023-07-03 13:15:00,34.65,34.75,34.5,34.5
2023-07-03 14:15:00,34.6,34.85,34.5,34.7
2023-07-03 15:15:00,34.75,34.8,34.65,34.75
