date,open,high,low,close
2023-06-01 09:15:00,16.6,17.2,16.6,16.95
2023-06-01 10:15:00,17.0,17.0,16.9,16.95
2023-06-01 11:15:00,17.0,17.35,16.95,17.15
2023-06-01 12:15:00,17.15,17.25,17.1,17.2
2023-06-01 13:15:00,17.25,17.25,17.05,17.05
2023-06-01 14:15:00,17.1,17.25,17.0,17.2
2023-06-01 15:15:00,17.2,17.25,17.1,17.15
2023-06-02 09:15:00,17.45,17.65,17.25,17.5
2023-06-02 10:15:00,17.5,17.5,17.3,17.35
2023-06-02 11:15:00,17.4,17.4,17.3,17.35
2023-06-02 12:15:00,17.35,17.4,17.3,17.35
2023-06-02 13:15:00,17.4,17.4,17.25,17.3
2023-06-02 14:15:00,17.25,17.35,17.15,17.25
2023-06-02 15:15:00,17.25,17.3,17.15,17.3
2023-06-05 09:15:00,17.3,17.45,17.15,17.25
2023-06-05 10:15:00,17.25,17.3,17.2,17.25
2023-06-05 11:15:00,17.25,17.3,17.2,17.25
2023-06-05 12:15:00,17.25,17.25,17.15,17.15
2023-06-05 13:15:00,17.15,17.2,17.1,17.2
2023-06-05 14:15:00,17.2,17.2,17.1,17.15
2023-06-05 15:15:00,17.15,17.2,17.1,17.1
2023-06-06 09:15:00,17.15,17.3,17.05,17.15
2023-06-06 10:15:00,17.15,17.2,17.05,17.15
2023-06-06 11:15:00,17.15,17.15,17.05,17.1
2023-06-06 12:15:00,17.1,17.15,17.05,17.1
2023-06-06 13:15:00,17.1,17.15,17.05,17.1
2023-06-06 14:15:00,17.1,17.2,17.05,17.15
2023-06-06 15:15:00,17.15,17.2,17.1,17.15
2023-06-07 09:15:00,17.2,17.5,17.15,17.35
2023-06-07 10:15:00,17.3,17.35,17.25,17.3
2023-06-07 11:15:00,17.3,17.35,17.25,17.3
2023-06-07 12:15:00,17.3,17.35,17.25,17.3
2023-06-07 13:15:00,17.25,17.3,17.2,17.25
2023-06-07 14:15:00,17.25,17.3,17.15,17.2
2023-06-07 15:15:00,17.25,17.25,17.15,17.15
2023-06-08 09:15:00,17.35,17.7,17.3,17.55
2023-06-08 10:15:00,17.55,17.55,17.45,17.5
2023-06-08 11:15:00,17.5,17.5,17.05,17.2
2023-06-08 12:15:00,17.25,17.25,17.15,17.2
2023-06-08 13:15:00,17.25,17.35,17.15,17.2
2023-06-08 14:15:00,17.25,17.25,17.05,17.15
2023-06-08 15:15:00,17.1,17.2,17.0,17.0
2023-06-09 09:15:00,17.15,17.2,16.9,17.0
2023-06-09 10:15:00,17.0,17.05,16.9,16.95
2023-06-09 11:15:00,16.95,17.0,16.9,17.0
2023-06-09 12:15:00,16.95,17.0,16.95,17.0
2023-06-09 13:15:00,17.0,17.0,16.9,16.9
2023-06-09 14:15:00,16.95,17.05,16.9,17.0
2023-06-09 15:15:00,17.0,17.05,16.9,17.05
2023-06-12 09:15:00,17.05,17.15,16.95,17.0
2023-06-12 10:15:00,17.0,17.05,16.95,17.05
2023-06-12 11:15:00,17.05,17.05,16.95,17.0
2023-06-12 12:15:00,17.0,17.05,16.95,17.05
2023-06-12 13:15:00,17.0,17.1,17.0,17.0
2023-06-12 14:15:00,17.05,17.1,17.0,17.05
2023-06-12 15:15:00,17.05,17.1,16.95,16.95
2023-06-13 09:15:00,17.1,17.2,17.1,17.15
2023-06-13 10:15:00,17.15,17.15,17.1,17.1
2023-06-13 11:15:00,17.1,17.15,17.05,17.05
2023-06-13 12:15:00,17.1,17.1,17.05,17.1
2023-06-13 13:15:00,17.1,17.15,17.05,17.05
2023-06-13 14:15:00,17.1,17.2,17.0,17.2
2023-06-13 15:15:00,17.15,17.2,17.1,17.1
2023-06-14 09:15:00,17.25,17.25,17.05,17.15
2023-06-14 10:15:00,17.1,17.15,17.05,17.05
2023-06-14 11:15:00,17.1,17.1,17.0,17.05
2023-06-14 12:15:00,17.1,17.1,17.0,17.1
2023-06-14 13:15:00,17.1,17.1,17.0,17.0
2023-06-14 14:15:00,17.05,17.1,17.0,17.05
2023-06-14 15:15:00,17.05,17.1,17.0,17.05
2023-06-15 09:15:00,17.15,17.2,17.1,17.2
2023-06-15 10:15:00,17.2,17.2,17.1,17.1
2023-06-15 11:15:00,17.1,17.15,17.0,17.0
2023-06-15 12:15:00,17.05,17.05,16.95,17.0
2023-06-15 13:15:00,17.0,17.05,16.95,17.0
2023-06-15 14:15:00,17.0,17.0,16.85,16.85
2023-06-15 15:15:00,16.9,16.9,16.8,16.8
2023-06-16 09:15:00,16.9,17.0,16.85,16.9
2023-06-16 10:15:00,16.9,16.95,16.85,16.85
2023-06-16 11:15:00,16.85,16.9,16.8,16.9
2023-06-16 12:15:00,16.9,16.9,16.8,16.8
2023-06-16 13:15:00,16.8,16.85,16.75,16.85
2023-06-16 14:15:00,16.85,16.85,16.75,16.75
2023-06-16 15:15:00,16.8,16.8,16.7,16.8
2023-06-19 09:15:00,16.7,17.35,16.65,16.9
2023-06-19 10:15:00,16.9,16.95,16.65,16.9
2023-06-19 11:15:00,16.9,16.9,16.8,16.85
2023-06-19 12:15:00,16.9,16.95,16.85,16.85
2023-06-19 13:15:00,16.85,16.9,16.8,16.9
2023-06-19 14:15:00,16.85,17.2,16.85,17.0
2023-06-19 15:15:00,17.0,17.0,16.8,16.85
2023-06-20 09:15:00,16.95,17.3,16.9,17.1
2023-06-20 10:15:00,17.15,17.2,17.05,17.15
2023-06-20 11:15:00,17.2,17.3,17.1,17.15
2023-06-20 12:15:00,17.2,17.3,17.1,17.2
2023-06-20 13:15:00,17.25,17.25,17.1,17.15
2023-06-20 14:15:00,17.15,17.35,17.15,17.3
2023-06-20 15:15:00,17.25,17.35,17.2,17.2
2023-06-21 09:15:00,17.3,17.45,17.25,17.35
2023-06-21 10:15:00,17.3,17.35,17.2,17.25
2023-06-21 11:15:00,17.25,17.25,17.05,17.2
2023-06-21 12:15:00,17.2,17.25,17.15,17.2
2023-06-21 13:15:00,17.2,17.2,17.1,17.15
2023-06-21 14:15:00,17.2,17.2,16.95,17.1
2023-06-21 15:15:00,17.1,17.1,17.0,17.05
2023-06-22 09:15:00,16.9,17.1,16.9,17.0
2023-06-22 10:15:00,17.0,17.05,16.95,17.0
2023-06-22 11:15:00,16.95,17.0,16.8,16.85
2023-06-22 12:15:00,16.8,16.9,16.8,16.8
2023-06-22 13:15:00,16.85,16.95,16.8,16.9
2023-06-22 14:15:00,16.9,16.95,16.8,16.85
2023-06-22 15:15:00,16.85,16.9,16.85,16.9
2023-06-23 09:15:00,16.95,16.95,16.55,16.65
2023-06-23 10:15:00,16.65,16.8,16.6,16.6
2023-06-23 11:15:00,16.65,16.7,16.6,16.7
2023-06-23 12:15:00,16.7,16.75,16.65,16.65
2023-06-23 13:15:00,16.65,16.7,16.6,16.6
2023-06-23 14:15:00,16.6,16.65,16.55,16.6
2023-06-23 15:15:00,16.6,16.7,16.55,16.55
2023-06-26 09:15:00,16.7,16.75,16.6,16.6
2023-06-26 10:15:00,16.65,16.7,16.6,16.65
2023-06-26 11:15:00,16.65,16.7,16.6,16.6
2023-06-26 12:15:00,16.65,16.65,16.55,16.6
2023-06-26 13:15:00,16.6,16.6,16.55,16.6
2023-06-26 14:15:00,16.6,16.65,16.55,16.65
2023-06-26 15:15:00,16.65,16.65,16.5,16.55
2023-06-27 09:15:00,16.65,16.8,16.65,16.7
2023-06-27 10:15:00,16.65,16.7,16.6,16.6
2023-06-27 11:15:00,16.65,16.8,16.6,16.75
2023-06-27 12:15:00,16.8,16.8,16.7,16.75
2023-06-27 13:15:00,16.75,16.9,16.75,16.8
2023-06-27 14:15:00,16.8,16.85,16.8,16.85
2023-06-27 15:15:00,16.85,16.95,16.8,16.9
2023-06-28 09:15:00,16.95,17.0,16.75,16.75
2023-06-28 10:15:00,16.75,16.85,16.7,16.75
2023-06-28 11:15:00,16.75,16.85,16.75,16.8
2023-06-28 12:15:00,16.8,16.9,16.65,16.75
2023-06-28 13:15:00,16.75,16.75,16.65,16.65
2023-06-28 14:15:00,16.7,16.75,16.65,16.75
