date,open,high,low,close
2023-06-01 09:15:00,541.4,564.7,541.4,560.5
2023-06-01 10:15:00,562.45,568.45,560.8,566.45
2023-06-01 11:15:00,566.6,566.6,562.05,566.35
2023-06-01 12:15:00,566.35,567.0,562.05,566.8
2023-06-01 13:15:00,566.75,567.0,563.25,564.8
2023-06-01 14:15:00,564.05,567.2,562.1,566.75
2023-06-01 15:15:00,563.05,565.65,558.0,561.95
2023-06-02 09:15:00,559.95,579.0,559.05,576.05
2023-06-02 10:15:00,576.0,579.0,572.3,578.5
2023-06-02 11:15:00,578.05,578.05,567.1,573.0
2023-06-02 12:15:00,574.0,583.8,573.05,582.0
2023-06-02 13:15:00,582.95,590.55,582.95,590.55
2023-06-02 14:15:00,590.55,590.55,588.0,590.55
2023-06-02 15:15:00,590.55,590.55,590.55,590.55
2023-06-05 09:15:00,599.0,609.0,580.0,580.95
2023-06-05 10:15:00,580.0,581.0,573.05,573.05
2023-06-05 11:15:00,573.0,580.0,573.0,577.7
2023-06-05 12:15:00,579.0,580.25,575.05,578.7
2023-06-05 13:15:00,578.5,578.9,567.3,570.55
2023-06-05 14:15:00,570.85,574.7,569.05,572.0
2023-06-05 15:15:00,572.0,573.95,561.05,561.05
2023-06-06 09:15:00,562.05,573.9,562.05,569.05
2023-06-06 10:15:00,569.1,571.6,565.05,568.0
2023-06-06 11:15:00,567.95,569.8,564.8,568.05
2023-06-06 12:15:00,568.05,568.3,564.1,565.0
2023-06-06 13:15:00,566.2,567.4,565.1,567.35
2023-06-06 14:15:00,567.9,568.0,562.0,562.0
2023-06-06 15:15:00,564.8,564.8,554.7,556.5
2023-06-07 09:15:00,553.35,566.7,551.4,560.0
2023-06-07 10:15:00,559.6,559.6,538.55,549.35
2023-06-07 11:15:00,547.1,548.75,531.8,544.25
2023-06-07 12:15:00,544.0,545.0,542.1,542.1
2023-06-07 13:15:00,543.3,544.9,540.35,544.4
2023-06-07 14:15:00,544.85,570.9,540.0,563.15
2023-06-07 15:15:00,564.0,565.45,557.15,558.0
2023-06-08 09:15:00,564.1,567.25,561.6,563.35
2023-06-08 10:15:00,564.45,564.5,561.0,561.1
2023-06-08 11:15:00,561.0,561.0,557.5,557.75
2023-06-08 12:15:00,557.95,559.35,556.0,557.5
2023-06-08 13:15:00,557.8,557.8,556.05,557.5
2023-06-08 14:15:00,557.8,557.8,550.0,552.0
2023-06-08 15:15:00,552.0,561.05,552.0,561.05
2023-06-09 09:15:00,547.1,569.7,547.1,557.45
2023-06-09 10:15:00,559.2,563.0,559.2,561.25
2023-06-09 11:15:00,561.1,569.15,561.1,566.9
2023-06-09 12:15:00,565.75,578.7,563.4,577.5
2023-06-09 13:15:00,581.5,582.2,577.0,582.2
2023-06-09 14:15:00,582.2,582.2,582.2,582.2
2023-06-09 15:15:00,582.2,582.2,582.2,582.2
2023-06-12 09:15:00,592.0,604.0,571.1,573.6
2023-06-12 10:15:00,573.6,586.4,563.0,579.5
2023-06-12 11:15:00,580.35,585.0,578.6,583.45
2023-06-12 12:15:00,581.8,582.6,581.7,581.7
2023-06-12 13:15:00,581.1,582.0,575.3,576.8
2023-06-12 14:15:00,576.8,585.0,576.1,582.7
2023-06-12 15:15:00,582.7,591.6,580.35,586.0
2023-06-13 09:15:00,589.9,593.0,586.3,593.0
2023-06-13 10:15:00,593.0,594.8,587.5,590.4
2023-06-13 11:15:00,587.55,589.95,586.05,587.25
2023-06-13 12:15:00,587.5,588.9,583.0,586.15
2023-06-13 13:15:00,585.95,585.95,583.0,583.0
2023-06-13 14:15:00,584.15,585.45,582.0,585.0
2023-06-13 15:15:00,583.4,585.45,583.05,584.3
2023-06-14 09:15:00,589.0,598.0,581.15,582.1
2023-06-14 10:15:00,582.95,584.3,569.1,576.0
2023-06-14 11:15:00,575.1,579.95,575.1,578.05
2023-06-14 12:15:00,579.85,584.3,578.05,580.2
2023-06-14 13:15:00,579.1,581.6,578.0,581.6
2023-06-14 14:15:00,580.9,585.0,580.9,584.0
2023-06-14 15:15:00,584.95,585.0,579.55,585.0
2023-06-15 09:15:00,589.9,596.95,583.9,590.35
2023-06-15 10:15:00,590.3,594.9,590.3,592.45
2023-06-15 11:15:00,594.25,594.25,585.0,585.0
2023-06-15 12:15:00,585.0,590.8,584.1,588.05
2023-06-15 13:15:00,588.0,588.0,584.1,585.5
2023-06-15 14:15:00,584.1,587.95,584.1,586.45
2023-06-15 15:15:00,587.0,590.0,587.0,590.0
2023-06-16 09:15:00,580.2,594.9,580.2,587.0
2023-06-16 10:15:00,587.0,589.95,584.0,586.4
2023-06-16 11:15:00,586.3,591.0,583.85,589.7
2023-06-16 12:15:00,589.7,589.7,587.5,588.0
2023-06-16 13:15:00,588.0,592.0,586.05,591.95
2023-06-16 14:15:00,593.0,594.0,589.0,589.0
2023-06-16 15:15:00,591.0,591.8,588.0,590.8
2023-06-19 09:15:00,597.0,608.0,586.6,591.45
2023-06-19 10:15:00,591.25,593.95,586.6,588.75
2023-06-19 11:15:00,588.65,598.0,586.7,588.5
2023-06-19 12:15:00,590.65,590.95,588.05,589.5
2023-06-19 13:15:00,591.8,591.9,587.1,590.75
2023-06-19 14:15:00,590.85,596.9,586.7,592.2
2023-06-19 15:15:00,593.1,596.9,593.1,595.0
2023-06-20 09:15:00,597.0,598.95,573.05,584.85
2023-06-20 10:15:00,584.8,587.8,581.0,586.9
2023-06-20 11:15:00,585.0,589.7,583.1,589.65
2023-06-20 12:15:00,589.65,589.7,581.15,583.05
2023-06-20 13:15:00,583.4,587.9,583.4,585.9
2023-06-20 14:15:00,586.9,586.9,581.95,581.95
2023-06-20 15:15:00,581.0,588.95,581.0,588.95
2023-06-21 09:15:00,582.95,583.6,576.1,578.0
2023-06-21 10:15:00,578.0,584.0,578.0,580.1
2023-06-21 11:15:00,580.15,582.8,580.0,581.0
2023-06-21 12:15:00,582.5,582.5,581.1,582.5
2023-06-21 13:15:00,581.15,582.5,581.1,582.0
2023-06-21 14:15:00,582.0,582.5,580.2,580.6
2023-06-21 15:15:00,580.6,580.6,579.5,579.55
2023-06-22 09:15:00,583.0,589.1,581.05,585.95
2023-06-22 10:15:00,587.95,589.1,583.1,586.1
2023-06-22 11:15:00,585.1,588.95,584.0,584.0
2023-06-22 12:15:00,584.0,584.95,584.0,584.05
2023-06-22 13:15:00,584.5,586.9,584.0,584.0
2023-06-22 14:15:00,584.0,586.85,584.0,584.0
2023-06-22 15:15:00,584.0,584.0,581.15,581.55
2023-06-23 09:15:00,585.1,585.1,560.4,572.0
2023-06-23 10:15:00,572.0,578.95,572.0,578.4
2023-06-23 11:15:00,578.95,580.5,575.0,580.2
2023-06-23 12:15:00,576.65,579.7,576.65,577.7
2023-06-23 13:15:00,577.75,577.75,575.05,576.0
2023-06-23 14:15:00,575.9,576.0,572.5,574.5
2023-06-23 15:15:00,566.0,567.0,560.8,567.0
2023-06-26 09:15:00,571.6,593.55,569.45,593.55
2023-06-26 10:15:00,593.55,593.55,584.05,593.55
2023-06-26 11:15:00,593.55,593.55,593.55,593.55
2023-06-26 12:15:00,593.55,593.55,575.2,577.95
2023-06-26 13:15:00,578.8,587.4,577.05,582.35
2023-06-26 14:15:00,580.0,584.5,577.0,580.0
2023-06-26 15:15:00,580.0,580.0,569.0,570.0
2023-06-27 09:15:00,569.7,570.0,563.0,564.95
2023-06-27 10:15:00,564.95,569.0,564.95,567.5
2023-06-27 11:15:00,568.3,568.45,566.2,567.05
2023-06-27 12:15:00,568.0,568.45,567.05,568.4
2023-06-27 13:15:00,568.45,568.45,564.95,565.0
2023-06-27 14:15:00,567.5,568.3,565.4,566.0
2023-06-27 15:15:00,565.55,567.3,554.0,554.05
2023-06-28 09:15:00,566.95,572.95,564.15,564.3
2023-06-28 10:15:00,565.95,580.0,563.05,570.9
2023-06-28 11:15:00,571.3,574.85,568.05,573.0
2023-06-28 12:15:00,572.45,588.4,570.75,583.55
2023-06-28 13:15:00,583.5,591.0,573.05,584.75
2023-06-28 14:15:00,584.45,584.45,575.5,575.9
2023-06-28 15:15:00,577.95,578.45,575.9,575.9
2023-06-30 09:15:00,589.0,589.0,570.0,579.75
2023-06-30 10:15:00,581.75,583.5,575.25,577.9
2023-06-30 11:15:00,576.75,578.7,575.55,578.65
2023-06-30 12:15:00,578.7,581.65,577.3,578.65
2023-06-30 13:15:00,578.6,578.6,571.1,571.4
2023-06-30 14:15:00,574.2,576.0,572.05,575.1
2023-06-30 15:15:00,575.2,593.95,575.2,589.3
2023-07-03 09:15:00,604.0,614.05,602.0,614.05
2023-07-03 10:15:00,614.05,614.05,603.0,609.5
2023-07-03 11:15:00,609.5,610.9,601.25,609.8
2023-07-03 12:15:00,610.8,611.0,609.6,610.0
2023-07-03 13:15:00,610.0,611.0,608.05,610.85
2023-07-03 14:15:00,610.85,611.0,604.05,606.75
2023-07-03 15:15:00,604.25,606.0,600.0,600.0
2023-07-04 09:15:00,605.0,619.1,601.0,604.9
2023-07-04 10:15:00,606.85,612.0,605.0,611.5
2023-07-04 11:15:00,611.0,611.5,609.0,609.05
2023-07-04 12:15:00,608.1,611.0,607.7,609.8
2023-07-04 13:15:00,609.85,609.85,600.0,600.0
2023-07-04 14:15:00,601.0,603.8,600.0,600.15
2023-07-04 15:15:00,601.0,613.95,600.0,612.0
2023-07-05 09:15:00,617.0,617.0,607.25,610.7
2023-07-05 10:15:00,610.95,610.95,607.0,610.7
2023-07-05 11:15:00,610.2,611.9,607.05,607.05
2023-07-05 12:15:00,607.05,610.5,607.0,610.5
2023-07-05 13:15:00,609.0,615.0,607.55,614.65
2023-07-05 14:15:00,614.6,617.0,608.0,610.1
2023-07-05 15:15:00,610.25,611.0,608.05,609.0
2023-07-06 09:15:00,610.05,625.0,607.1,621.25
2023-07-06 10:15:00,623.6,623.8,620.85,623.4
2023-07-06 11:15:00,623.0,623.0,617.1,619.7
2023-07-06 12:15:00,620.15,621.0,613.1,621.0
2023-07-06 13:15:00,621.0,624.9,620.55,623.05
2023-07-06 14:15:00,623.8,624.9,621.05,621.45
2023-07-06 15:15:00,624.5,624.9,622.6,624.9
2023-07-07 09:15:00,619.0,638.0,614.8,637.0
2023-07-07 10:15:00,637.95,654.4,635.0,652.95
2023-07-07 11:15:00,653.0,654.4,650.3,654.4
2023-07-07 12:15:00,654.4,654.4,654.4,654.4
2023-07-07 13:15:00,654.4,654.4,654.4,654.4
2023-07-07 14:15:00,654.4,654.4,654.4,654.4
2023-07-07 15:15:00,654.4,654.4,654.4,654.4
2023-07-10 09:15:00,683.9,687.1,683.9,687.1
2023-07-10 10:15:00,687.1,687.1,687.1,687.1
2023-07-10 11:15:00,687.1,687.1,687.1,687.1
2023-07-10 12:15:00,687.1,687.1,687.1,687.1
2023-07-10 13:15:00,687.1,687.1,687.1,687.1
2023-07-10 14:15:00,687.1,687.1,687.1,687.1
2023-07-10 15:15:00,687.1,687.1,687.1,687.1
2023-07-11 09:15:00,721.45,721.45,690.55,721.45
2023-07-11 10:15:00,721.45,721.45,675.1,675.1
2023-07-11 11:15:00,677.95,697.45,672.25,691.1
2023-07-11 12:15:00,693.95,694.0,675.05,683.8
2023-07-11 13:15:00,683.75,683.75,680.8,682.6
2023-07-11 14:15:00,682.5,683.0,668.05,669.0
2023-07-11 15:15:00,674.0,674.0,652.75,655.95
2023-07-12 09:15:00,662.8,678.95,658.0,665.0
