date,open,high,low,close
2023-06-01 09:15:00,543.95,547.0,538.6,539.0
2023-06-01 10:15:00,539.0,544.65,539.0,543.5
2023-06-01 11:15:00,544.5,544.5,542.35,544.5
2023-06-01 12:15:00,544.25,545.05,543.05,545.05
2023-06-01 13:15:00,546.9,546.9,543.7,546.65
2023-06-01 14:15:00,545.25,546.7,544.1,544.8
2023-06-01 15:15:00,544.0,546.5,543.0,543.0
2023-06-02 09:15:00,550.0,550.0,545.0,547.95
2023-06-02 10:15:00,547.05,547.85,546.0,547.85
2023-06-02 11:15:00,547.85,547.85,545.25,546.9
2023-06-02 12:15:00,546.9,547.5,545.0,545.75
2023-06-02 13:15:00,547.7,547.85,545.75,547.75
2023-06-02 14:15:00,547.5,547.9,545.0,545.25
2023-06-02 15:15:00,545.25,545.95,545.0,545.7
2023-06-05 09:15:00,553.35,558.9,548.1,554.9
2023-06-05 10:15:00,554.6,555.4,549.75,549.75
2023-06-05 11:15:00,550.0,609.55,545.0,609.0
2023-06-05 12:15:00,610.0,628.95,586.35,599.45
2023-06-05 13:15:00,597.6,599.35,590.25,591.25
2023-06-05 14:15:00,594.0,595.95,591.25,592.5
2023-06-05 15:15:00,593.0,598.0,590.3,597.0
2023-06-06 09:15:00,598.9,623.95,595.15,604.0
2023-06-06 10:15:00,604.0,604.0,584.1,587.1
2023-06-06 11:15:00,588.9,590.3,581.1,588.9
2023-06-06 12:15:00,587.0,589.05,584.1,584.25
2023-06-06 13:15:00,585.95,586.0,583.1,583.5
2023-06-06 14:15:00,583.25,586.9,578.6,579.8
2023-06-06 15:15:00,578.55,585.0,575.0,585.0
2023-06-07 09:15:00,595.0,595.0,581.05,581.2
2023-06-07 10:15:00,582.3,582.3,571.75,573.0
2023-06-07 11:15:00,573.5,579.9,573.5,578.5
2023-06-07 12:15:00,577.55,577.55,567.05,570.65
2023-06-07 13:15:00,572.0,573.0,570.0,573.0
2023-06-07 14:15:00,573.0,574.0,570.65,574.0
2023-06-07 15:15:00,574.0,577.4,572.0,572.0
2023-06-08 09:15:00,580.45,580.45,571.05,580.05
2023-06-08 10:15:00,580.25,586.2,579.1,580.95
2023-06-08 11:15:00,581.0,582.95,576.0,576.0
2023-06-08 12:15:00,576.0,587.55,576.0,584.0
2023-06-08 13:15:00,583.3,585.8,583.3,585.35
2023-06-08 14:15:00,584.0,585.05,583.25,583.95
2023-06-08 15:15:00,583.25,584.0,576.05,583.6
2023-06-09 09:15:00,585.65,586.35,575.0,584.6
2023-06-09 10:15:00,584.0,588.95,584.0,587.25
2023-06-09 11:15:00,588.95,589.3,587.0,587.0
2023-06-09 12:15:00,587.85,588.0,584.9,585.1
2023-06-09 13:15:00,585.15,587.95,585.0,587.95
